game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,19:34,,0,0,"TURNOVER  by GRIFFIN,JAROD",0,1,,,0,0,,,,,0,0,,,39,2374
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,19:32,"STEAL  by ELLIS,DOMINIQUE",0,0,,0,1,,,0,0,,,,,0,0,,,39,2372
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,19:17,"MISS 3PTR by TURNER,JAMES",0,0,,0,1,3ptr,miss,1,1,0.0,0.0,,,0,0,,,39,2357
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,19:17,,0,0,REBOUND DEF by TEAM,0,1,,,1,1,0.0,0.0,,,0,0,,,39,2357
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,19:04,,0,0,"MISS LAYUP by RAKES,BAILEY",0,1,,,1,1,0.0,0.0,layup,miss,1,0,0.0,,39,2344
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,19:04,,0,0,"REBOUND OFF by SPITZER,JAKOB",0,1,,,1,1,0.0,0.0,,,1,0,0.0,,39,2344
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,18:59,,0,0,"MISS TIPIN by SPITZER,JAKOB",0,1,,,1,1,0.0,0.0,,miss,2,0,0.0,,38,2339
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,18:59,"REBOUND DEF by ELLIS,DOMINIQUE",0,0,,0,1,,,1,1,0.0,0.0,,,2,0,0.0,,38,2339
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,18:44,"MISS 3PTR by ROWE,RYLAN",0,0,,0,1,3ptr,miss,2,2,0.0,0.0,,,2,0,0.0,,38,2324
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,18:44,"REBOUND OFF by TURNER,JAMES",0,0,,0,1,,,2,2,0.0,0.0,,,2,0,0.0,,38,2324
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,18:41,,0,0,"FOUL  by GRIFFIN,JAROD",0,1,,,2,2,0.0,0.0,foul,,2,0,0.0,,38,2321
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,18:41,TIMEOUT 30SEC by TEAM,0,0,,0,1,,,2,2,0.0,0.0,,,2,0,0.0,,38,2321
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,18:28,"TURNOVER  by TRISKO,NICK",0,0,,0,1,,,2,2,0.0,0.0,,,2,0,0.0,,38,2308
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,18:08,,0,0,"MISS 3PTR by GRIFFIN,JAROD",0,1,,,2,2,0.0,0.0,3ptr,miss,3,1,0.0,0.0,38,2288
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,18:08,"REBOUND DEF by TURNER,JAMES",0,0,,0,1,,,2,2,0.0,0.0,,,3,1,0.0,0.0,38,2288
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,17:59,"MISS 3PTR by WALLACE,KEITH",0,0,,0,1,3ptr,miss,3,3,0.0,0.0,,,3,1,0.0,0.0,37,2279
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,17:59,"REBOUND OFF by ROWE,RYLAN",0,0,,0,1,,,3,3,0.0,0.0,,,3,1,0.0,0.0,37,2279
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,17:54,"GOOD LAYUP by ROWE,RYLAN(in the paint)",2,0,,-2,1,layup,good,4,3,0.25,0.0,,,3,1,0.0,0.0,37,2274
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,17:36,,2,0,"MISS 3PTR by RAKES,BAILEY",-2,1,,,4,3,0.25,0.0,3ptr,miss,4,2,0.0,0.0,37,2256
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,17:36,"REBOUND DEF by TURNER,JAMES",2,0,,-2,1,,,4,3,0.25,0.0,,,4,2,0.0,0.0,37,2256
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,17:16,"MISS 3PTR by ROWE,RYLAN",2,0,,-2,1,3ptr,miss,5,4,0.2,0.0,,,4,2,0.0,0.0,37,2236
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,17:16,,2,0,"REBOUND DEF by GRIFFIN,JAROD",-2,1,,,5,4,0.2,0.0,,,4,2,0.0,0.0,37,2236
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,17:06,,2,3,"GOOD 3PTR by SINE,TUCKER",1,1,,,5,4,0.2,0.0,3ptr,good,5,3,0.2,0.333,37,2226
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,17:06,,2,3,"ASSIST  by GRIFFIN,JAROD",1,1,,,5,4,0.2,0.0,,,5,3,0.2,0.333,37,2226
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,16:39,,2,3,"FOUL  by SPITZER,JAKOB",1,1,,,5,4,0.2,0.0,foul,,5,3,0.2,0.333,36,2199
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,16:39,"MISS FT by TRISKO,NICK",2,3,,1,1,ft,miss,6,4,0.167,0.0,,,5,3,0.2,0.333,36,2199
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,16:39,REBOUND DEADB by TEAM,2,3,,1,1,,,6,4,0.167,0.0,,,5,3,0.2,0.333,36,2199
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,16:39,"GOOD FT by TRISKO,NICK",3,3,,0,1,ft,good,7,4,0.286,0.0,,,5,3,0.2,0.333,36,2199
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,16:39,,3,3,"SUB IN by GRUBER,SAM",0,1,,,7,4,0.286,0.0,,,5,3,0.2,0.333,36,2199
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,16:39,,3,3,"SUB IN by BATES,JACOB",0,1,,,7,4,0.286,0.0,,,5,3,0.2,0.333,36,2199
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,16:39,,3,3,"SUB IN by SCHMUCKER,ZACH",0,1,,,7,4,0.286,0.0,,,5,3,0.2,0.333,36,2199
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,16:39,,3,3,"SUB OUT by GUMP,MATT",0,1,,,7,4,0.286,0.0,,,5,3,0.2,0.333,36,2199
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,16:39,,3,3,"SUB OUT by SPITZER,JAKOB",0,1,,,7,4,0.286,0.0,,,5,3,0.2,0.333,36,2199
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,16:39,,3,3,"SUB OUT by GRIFFIN,JAROD",0,1,,,7,4,0.286,0.0,,,5,3,0.2,0.333,36,2199
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,16:22,,3,3,"MISS 3PTR by SINE,TUCKER",0,1,,,7,4,0.286,0.0,3ptr,miss,6,4,0.167,0.25,36,2182
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,16:22,"REBOUND DEF by ELLIS,DOMINIQUE",3,3,,0,1,,,7,4,0.286,0.0,,,6,4,0.167,0.25,36,2182
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,16:08,"GOOD JUMPER by TURNER,JAMES",5,3,,-2,1,jumper,good,8,4,0.375,0.0,,,6,4,0.167,0.25,36,2168
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,16:08,"ASSIST  by TRISKO,NICK",5,3,,-2,1,,,8,4,0.375,0.0,,,6,4,0.167,0.25,36,2168
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,15:52,,5,3,"TURNOVER  by SINE,TUCKER",-2,1,,,8,4,0.375,0.0,,,6,4,0.167,0.25,35,2152
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,15:51,"STEAL  by TURNER,JAMES",5,3,,-2,1,,,8,4,0.375,0.0,,,6,4,0.167,0.25,35,2151
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,15:48,"GOOD DUNK by TURNER,JAMES(fastbreak)(in the paint)",7,3,,-4,1,,good,9,4,0.444,0.0,,,6,4,0.167,0.25,35,2148
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,15:45,,7,3,TIMEOUT 30SEC by TEAM,-4,1,,,9,4,0.444,0.0,,,6,4,0.167,0.25,35,2145
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,15:37,,7,3,"MISS LAYUP by SINE,TUCKER",-4,1,,,9,4,0.444,0.0,layup,miss,7,4,0.143,0.25,35,2137
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,15:37,"REBOUND DEF by WALLACE,KEITH",7,3,,-4,1,,,9,4,0.444,0.0,,,7,4,0.143,0.25,35,2137
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,15:30,"MISS 3PTR by TRISKO,NICK",7,3,,-4,1,3ptr,miss,10,5,0.4,0.0,,,7,4,0.143,0.25,35,2130
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,15:30,,7,3,REBOUND DEF by TEAM,-4,1,,,10,5,0.4,0.0,,,7,4,0.143,0.25,35,2130
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,15:11,,7,3,"TURNOVER  by BATES,JACOB",-4,1,,,10,5,0.4,0.0,,,7,4,0.143,0.25,35,2111
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,15:09,"STEAL  by TURNER,JAMES",7,3,,-4,1,,,10,5,0.4,0.0,,,7,4,0.143,0.25,35,2109
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,15:06,"MISS LAYUP by TURNER,JAMES",7,3,,-4,1,layup,miss,11,5,0.364,0.0,,,7,4,0.143,0.25,35,2106
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,15:06,"REBOUND OFF by ELLIS,DOMINIQUE",7,3,,-4,1,,,11,5,0.364,0.0,,,7,4,0.143,0.25,35,2106
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,14:55,"GOOD TIPIN by ELLIS,DOMINIQUE(in the paint)",9,3,,-6,1,,good,12,5,0.417,0.0,,,7,4,0.143,0.25,34,2095
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,14:39,"FOUL  by WALLACE,KEITH",9,3,,-6,1,foul,,12,5,0.417,0.0,,,7,4,0.143,0.25,34,2079
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,14:39,"SUB IN by KENNEDY,DEMARCUS",9,3,,-6,1,,,12,5,0.417,0.0,,,7,4,0.143,0.25,34,2079
3,Spalding,Centre,87-77,87,77,1-2,1-2,11/23/16,Lose,175,No Location Recorded,7:00 p.m.,14:39,"SUB OUT by WALLACE,KEITH",9,3,,-6,1,,,12,5,0.417,0.0,,,7,4,0.143,0.25,34,2079
