game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
1,Greenville,Centre,113-132,113,132,0-1,1-0,11/08/19,Win,113,No Location Recorded,5:00 PM,19:51,,0,2,"GOOD LAYUP by BATES,JACOB(in the paint)",2,1,,,0,0,,,layup,good,1,0,1.0,,39,2391
1,Greenville,Centre,113-132,113,132,0-1,1-0,11/08/19,Win,113,No Location Recorded,5:00 PM,19:51,,0,2,"ASSIST  by WALKER,ART",2,1,,,0,0,,,,,1,0,1.0,,39,2391
1,Greenville,Centre,113-132,113,132,0-1,1-0,11/08/19,Win,113,No Location Recorded,5:00 PM,19:41,"GOOD JUMPER by GRADY,SONTIAGO",2,2,,0,1,jumper,good,1,0,1.0,,,,1,0,1.0,,39,2381
1,Greenville,Centre,113-132,113,132,0-1,1-0,11/08/19,Win,113,No Location Recorded,5:00 PM,19:32,,2,2,"TURNOVER  by BAUGHMAN,CARTER",0,1,,,1,0,1.0,,,,1,0,1.0,,39,2372
1,Greenville,Centre,113-132,113,132,0-1,1-0,11/08/19,Win,113,No Location Recorded,5:00 PM,19:22,"MISS 3PTR by JOHNSON,HENRY",2,2,,0,1,3ptr,miss,2,1,0.5,0.0,,,1,0,1.0,,39,2362
1,Greenville,Centre,113-132,113,132,0-1,1-0,11/08/19,Win,113,No Location Recorded,5:00 PM,19:22,,2,2,REBOUND DEF by TEAM,0,1,,,2,1,0.5,0.0,,,1,0,1.0,,39,2362
1,Greenville,Centre,113-132,113,132,0-1,1-0,11/08/19,Win,113,No Location Recorded,5:00 PM,19:20,"FOUL  by PINKARD,QUINCY",2,2,,0,1,foul,,2,1,0.5,0.0,,,1,0,1.0,,39,2360
1,Greenville,Centre,113-132,113,132,0-1,1-0,11/08/19,Win,113,No Location Recorded,5:00 PM,19:09,,2,2,"FOUL  by BAUGHMAN,CARTER",0,1,,,2,1,0.5,0.0,foul,,1,0,1.0,,39,2349
1,Greenville,Centre,113-132,113,132,0-1,1-0,11/08/19,Win,113,No Location Recorded,5:00 PM,19:09,,2,2,"TURNOVER  by BAUGHMAN,CARTER",0,1,,,2,1,0.5,0.0,,,1,0,1.0,,39,2349
1,Greenville,Centre,113-132,113,132,0-1,1-0,11/08/19,Win,113,No Location Recorded,5:00 PM,19:09,,2,2,"SUB IN by CRUMP,DAWSON",0,1,,,2,1,0.5,0.0,,,1,0,1.0,,39,2349
1,Greenville,Centre,113-132,113,132,0-1,1-0,11/08/19,Win,113,No Location Recorded,5:00 PM,19:09,,2,2,"SUB OUT by BAUGHMAN,CARTER",0,1,,,2,1,0.5,0.0,,,1,0,1.0,,39,2349
1,Greenville,Centre,113-132,113,132,0-1,1-0,11/08/19,Win,113,No Location Recorded,5:00 PM,18:59,"GOOD 3PTR by PINKARD,QUINCY",5,2,,-3,1,3ptr,good,3,2,0.667,0.5,,,1,0,1.0,,38,2339
1,Greenville,Centre,113-132,113,132,0-1,1-0,11/08/19,Win,113,No Location Recorded,5:00 PM,18:45,,5,4,"GOOD LAYUP by BATES,JACOB(in the paint)",-1,1,,,3,2,0.667,0.5,layup,good,2,0,1.0,,38,2325
1,Greenville,Centre,113-132,113,132,0-1,1-0,11/08/19,Win,113,No Location Recorded,5:00 PM,18:45,,5,4,"ASSIST  by RAKES,BAILEY",-1,1,,,3,2,0.667,0.5,,,2,0,1.0,,38,2325
1,Greenville,Centre,113-132,113,132,0-1,1-0,11/08/19,Win,113,No Location Recorded,5:00 PM,18:34,"TURNOVER  by SIMMONS,RILEY",5,4,,-1,1,,,3,2,0.667,0.5,,,2,0,1.0,,38,2314
1,Greenville,Centre,113-132,113,132,0-1,1-0,11/08/19,Win,113,No Location Recorded,5:00 PM,18:32,,5,4,"STEAL  by AYERS,PERRY",-1,1,,,3,2,0.667,0.5,,,2,0,1.0,,38,2312
1,Greenville,Centre,113-132,113,132,0-1,1-0,11/08/19,Win,113,No Location Recorded,5:00 PM,18:30,"FOUL  by JOHNSON,HENRY",5,4,,-1,1,foul,,3,2,0.667,0.5,,,2,0,1.0,,38,2310
