game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,19:33,"TURNOVER  by AYERS,PERRY",0,0,,0,1,,,0,0,,,,,0,0,,,39,2373
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,19:15,,0,0,"MISS 3PTR by NEWTON,RYAN",0,1,,,0,0,,,3ptr,miss,1,1,0.0,0.0,39,2355
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,19:15,,0,0,"REBOUND OFF by NEWTON,RYAN",0,1,,,0,0,,,,,1,1,0.0,0.0,39,2355
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,19:08,,0,2,"GOOD LAYUP by NEWTON,RYAN(in the paint)",2,1,,,0,0,,,layup,good,2,1,0.5,0.0,39,2348
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,19:08,"FOUL  by AYERS,PERRY",0,2,,2,1,foul,,0,0,,,,,2,1,0.5,0.0,39,2348
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,19:08,,0,2,"MISS FT by NEWTON,RYAN",2,1,,,0,0,,,ft,miss,3,1,0.333,0.0,39,2348
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,19:08,"REBOUND DEF by WALKER,ART",0,2,,2,1,,,0,0,,,,,3,1,0.333,0.0,39,2348
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,18:50,"GOOD 3PTR by BAUGHMAN,CARTER",3,2,,-1,1,3ptr,good,1,1,1.0,1.0,,,3,1,0.333,0.0,38,2330
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,18:50,"ASSIST  by WALKER,ART",3,2,,-1,1,,,1,1,1.0,1.0,,,3,1,0.333,0.0,38,2330
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,18:30,,3,4,"GOOD JUMPER by KHELA,MONTY(in the paint)",1,1,,,1,1,1.0,1.0,jumper,good,4,1,0.5,0.0,38,2310
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,17:58,"MISS LAYUP by RAKES,BAILEY",3,4,,1,1,layup,miss,2,1,0.5,1.0,,,4,1,0.5,0.0,37,2278
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,17:58,,3,4,"BLOCK  by VOLKENING,MICHAEL",1,1,,,2,1,0.5,1.0,,,4,1,0.5,0.0,37,2278
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,17:58,"REBOUND OFF by BATES,JACOB",3,4,,1,1,,,2,1,0.5,1.0,,,4,1,0.5,0.0,37,2278
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,17:56,,3,4,"FOUL  by KHELA,MONTY",1,1,,,2,1,0.5,1.0,foul,,4,1,0.5,0.0,37,2276
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,17:56,"MISS FT by BATES,JACOB",3,4,,1,1,ft,miss,3,1,0.333,1.0,,,4,1,0.5,0.0,37,2276
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,17:56,REBOUND DEADB by TEAM,3,4,,1,1,,,3,1,0.333,1.0,,,4,1,0.5,0.0,37,2276
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,17:56,"GOOD FT by BATES,JACOB",4,4,,0,1,ft,good,4,1,0.5,1.0,,,4,1,0.5,0.0,37,2276
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,17:44,,4,4,"MISS 3PTR by IONADI,ANTONIO",0,1,,,4,1,0.5,1.0,3ptr,miss,5,2,0.4,0.0,37,2264
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,17:44,REBOUND DEF by TEAM,4,4,,0,1,,,4,1,0.5,1.0,,,5,2,0.4,0.0,37,2264
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,17:24,"GOOD 3PTR by RAKES,BAILEY",7,4,,-3,1,3ptr,good,5,2,0.6,1.0,,,5,2,0.4,0.0,37,2244
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,17:24,"ASSIST  by BAUGHMAN,CARTER",7,4,,-3,1,,,5,2,0.6,1.0,,,5,2,0.4,0.0,37,2244
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,16:57,,7,4,"MISS 3PTR by KHELA,MONTY",-3,1,,,5,2,0.6,1.0,3ptr,miss,6,3,0.333,0.0,36,2217
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,16:57,,7,4,"REBOUND OFF by HANSEN,SAM",-3,1,,,5,2,0.6,1.0,,,6,3,0.333,0.0,36,2217
2,Centre,Case Western Reserve,75-79,75,79,1-1,2-0,11/09/19,Win,No Attendence Recorded,No Location Recorded,3:00 PM,16:50,,7,4,"MISS 3PTR by IONADI,ANTONIO",-3,1,,,5,2,0.6,1.0,3ptr,miss,7,4,0.286,0.0,36,2210
