game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,19:47,,0,0,"MISS LAYUP by SCHREIBER,KELLEN",0,1,,,0,0,,,layup,miss,1,0,0.0,,39,2387
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,19:47,"REBOUND DEF by BATES,JACOB",0,0,,0,1,,,0,0,,,,,1,0,0.0,,39,2387
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,19:21,"MISS 3PTR by RAKES,BAILEY",0,0,,0,1,3ptr,miss,1,1,0.0,0.0,,,1,0,0.0,,39,2361
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,19:21,,0,0,"REBOUND DEF by SCHREIBER,KELLEN",0,1,,,1,1,0.0,0.0,,,1,0,0.0,,39,2361
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,18:57,,0,0,"TURNOVER  by SCHREIBER,KELLEN",0,1,,,1,1,0.0,0.0,,,1,0,0.0,,38,2337
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,18:36,"MISS 3PTR by BATES,JACOB",0,0,,0,1,3ptr,miss,2,2,0.0,0.0,,,1,0,0.0,,38,2316
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,18:36,,0,0,"REBOUND DEF by GARLAND,COLTEN",0,1,,,2,2,0.0,0.0,,,1,0,0.0,,38,2316
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,18:20,,0,0,"TURNOVER  by HALLSTROM,HARRISON",0,1,,,2,2,0.0,0.0,,,1,0,0.0,,38,2300
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,18:20,"STEAL  by WALKER,ART",0,0,,0,1,,,2,2,0.0,0.0,,,1,0,0.0,,38,2300
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,18:13,"MISS LAYUP by RAKES,BAILEY",0,0,,0,1,layup,miss,3,2,0.0,0.0,,,1,0,0.0,,38,2293
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,18:13,,0,0,"REBOUND DEF by GARLAND,COLTEN",0,1,,,3,2,0.0,0.0,,,1,0,0.0,,38,2293
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,18:05,,0,0,"MISS JUMPER by DAVIDSON,JACK",0,1,,,3,2,0.0,0.0,jumper,miss,2,0,0.0,,38,2285
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,18:05,,0,0,"REBOUND OFF by HALLSTROM,HARRISON",0,1,,,3,2,0.0,0.0,,,2,0,0.0,,38,2285
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,18:01,"FOUL  by AYERS,PERRY",0,0,,0,1,foul,,3,2,0.0,0.0,,,2,0,0.0,,38,2281
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,17:52,,0,2,"GOOD LAYUP by HALLSTROM,HARRISON(in the paint)",2,1,,,3,2,0.0,0.0,layup,good,3,0,0.333,,37,2272
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,17:30,"MISS JUMPER by AYERS,PERRY",0,2,,2,1,jumper,miss,4,2,0.0,0.0,,,3,0,0.333,,37,2250
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,17:30,,0,2,"REBOUND DEF by HALLSTROM,HARRISON",2,1,,,4,2,0.0,0.0,,,3,0,0.333,,37,2250
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,17:22,,0,2,"MISS LAYUP by DAVIDSON,JACK",2,1,,,4,2,0.0,0.0,layup,miss,4,0,0.25,,37,2242
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,17:22,"REBOUND DEF by BATES,JACOB",0,2,,2,1,,,4,2,0.0,0.0,,,4,0,0.25,,37,2242
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,17:13,"GOOD LAYUP by BATES,JACOB(in the paint)",2,2,,0,1,layup,good,5,2,0.2,0.0,,,4,0,0.25,,37,2233
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,16:50,,2,2,"MISS 3PTR by DAVIDSON,JACK",0,1,,,5,2,0.2,0.0,3ptr,miss,5,1,0.2,0.0,36,2210
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,16:50,"REBOUND DEF by WALKER,ART",2,2,,0,1,,,5,2,0.2,0.0,,,5,1,0.2,0.0,36,2210
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,16:37,"GOOD JUMPER by AYERS,PERRY",4,2,,-2,1,jumper,good,6,2,0.333,0.0,,,5,1,0.2,0.0,36,2197
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,16:37,"ASSIST  by BATES,JACOB",4,2,,-2,1,,,6,2,0.333,0.0,,,5,1,0.2,0.0,36,2197
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,16:18,,4,4,"GOOD LAYUP by SCHREIBER,KELLEN(in the paint)",0,1,,,6,2,0.333,0.0,layup,good,6,1,0.333,0.0,36,2178
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,15:50,"TURNOVER  by WALKER,ART",4,4,,0,1,,,6,2,0.333,0.0,,,6,1,0.333,0.0,35,2150
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,15:50,,4,4,"STEAL  by WATSON,TYLER",0,1,,,6,2,0.333,0.0,,,6,1,0.333,0.0,35,2150
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,15:42,,4,6,"GOOD LAYUP by GARLAND,COLTEN(fastbreak)(in the paint)",2,1,,,6,2,0.333,0.0,layup,good,7,1,0.429,0.0,35,2142
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,15:23,"GOOD JUMPER by AYERS,PERRY",6,6,,0,1,jumper,good,7,2,0.429,0.0,,,7,1,0.429,0.0,35,2123
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,15:15,,6,6,"FOUL  by SCHREIBER,KELLEN",0,1,,,7,2,0.429,0.0,foul,,7,1,0.429,0.0,35,2115
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,14:42,"SUB IN by CRUMP,DAWSON",6,6,,0,1,,,7,2,0.429,0.0,,,7,1,0.429,0.0,34,2082
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,14:42,"SUB IN by SMITH,RJ",6,6,,0,1,,,7,2,0.429,0.0,,,7,1,0.429,0.0,34,2082
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,14:42,"SUB IN by PURVIS,KC",6,6,,0,1,,,7,2,0.429,0.0,,,7,1,0.429,0.0,34,2082
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,14:42,"SUB OUT by RAKES,BAILEY",6,6,,0,1,,,7,2,0.429,0.0,,,7,1,0.429,0.0,34,2082
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,14:42,"SUB OUT by WALKER,ART",6,6,,0,1,,,7,2,0.429,0.0,,,7,1,0.429,0.0,34,2082
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,14:42,"SUB OUT by BATES,JACOB",6,6,,0,1,,,7,2,0.429,0.0,,,7,1,0.429,0.0,34,2082
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,14:42,,6,6,"SUB IN by JONES,AHMONI",0,1,,,7,2,0.429,0.0,,,7,1,0.429,0.0,34,2082
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,14:42,,6,6,"SUB OUT by SCHREIBER,KELLEN",0,1,,,7,2,0.429,0.0,,,7,1,0.429,0.0,34,2082
3,Centre,Wabash College,77-76,77,76,"2-1,0-0 SAA","0-1,0-0 NCAC",11/14/19,Lose,841,No Location Recorded,7:00 PM,14:41,"GOOD FT by AYERS,PERRY",7,6,,-1,1,ft,good,8,2,0.5,0.0,,,7,1,0.429,0.0,34,2081
