Time Remaining,TU-M,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:37,"MISS 3PTR by SELLING,MATT",,,,,,,"MISS 3PTR by SELLING,MATT",1
--,"REBOUND OFF by HOPSON,HEATH",,,,,,,"REBOUND OFF by HOPSON,HEATH",1
19:34,"MISS JUMPER by LAMBERT,ZACH",,,,,,,"MISS JUMPER by LAMBERT,ZACH",1
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",1
19:19,,,,,"MISS LAYUP by ROSS,GREG",,,"MISS LAYUP by ROSS,GREG",1
--,"REBOUND DEF by HOPSON,HEATH",,,,,,,"REBOUND DEF by HOPSON,HEATH",1
19:02,"GOOD LAYUP by LAMBERT,ZACH(in the paint)",2 (+2),,0,,TU-M 2-0 (-2),,"GOOD LAYUP by LAMBERT,ZACH(in the paint)",1
18:44,,,,,"MISS LAYUP by ROSS,GREG",,,"MISS LAYUP by ROSS,GREG",1
18:44,"BLOCK  by WILT,JONATHAN",,,,,,,"BLOCK  by WILT,JONATHAN",1
--,,,,,"REBOUND OFF by ROSS,GREG",,,"REBOUND OFF by ROSS,GREG",1
18:41,"FOUL  by WILT,JONATHAN",,,,,,,"FOUL  by WILT,JONATHAN",1
18:41,,2 (+1),,1,"GOOD FT by ROSS,GREG",CENTRE_M 2-1 (-1),,"GOOD FT by ROSS,GREG",1
18:41,,2,,2,"GOOD FT by ROSS,GREG",CENTRE_M 2-2 (0),,"GOOD FT by ROSS,GREG",1
18:28,"GOOD LAYUP by LAMBERT,ZACH(in the paint)",4 (+2),,2,,TU-M 4-2 (-2),,"GOOD LAYUP by LAMBERT,ZACH(in the paint)",1
18:07,,,,,"MISS JUMPER by MULLANEY,JEFF",,,"MISS JUMPER by MULLANEY,JEFF",1
--,"REBOUND DEF by WILT,JONATHAN",,,,,,,"REBOUND DEF by WILT,JONATHAN",1
17:58,"MISS 3PTR by WILT,JONATHAN",,,,,,,"MISS 3PTR by WILT,JONATHAN",1
--,,,,,"REBOUND DEF by MULLANEY,JEFF",,,"REBOUND DEF by MULLANEY,JEFF",1
17:28,,,,,"MISS JUMPER by KARSNER,JOSH",,,"MISS JUMPER by KARSNER,JOSH",1
--,,,,,"REBOUND OFF by KARSNER,JOSH",,,"REBOUND OFF by KARSNER,JOSH",1
17:25,,,,,"MISS LAYUP by KARSNER,JOSH",,,"MISS LAYUP by KARSNER,JOSH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
16:58,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
16:58,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
16:51,"TURNOVER  by YOUNG,WILLIAM",,,,,,,"TURNOVER  by YOUNG,WILLIAM",1
16:49,,,,,"STEAL  by LOPEZ,COLLIN",,,"STEAL  by LOPEZ,COLLIN",1
16:42,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",,,"MISS LAYUP by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",,,"REBOUND OFF by WHITESIDE,DONOVAN",1
16:36,,4,,4,"GOOD JUMPER by MULLANEY,JEFF",CENTRE_M 4-4 (0),,"GOOD JUMPER by MULLANEY,JEFF",1
16:13,"TURNOVER  by YOUNG,WILLIAM",,,,,,,"TURNOVER  by YOUNG,WILLIAM",1
16:11,,,,,"STEAL  by ELLIS,BRYON",,,"STEAL  by ELLIS,BRYON",1
16:06,,,,,"MISS LAYUP by LOPEZ,COLLIN",,,"MISS LAYUP by LOPEZ,COLLIN",1
--,,,,,"REBOUND OFF by ROSS,GREG",,,"REBOUND OFF by ROSS,GREG",1
16:03,,,,,"MISS LAYUP by ROSS,GREG",,,"MISS LAYUP by ROSS,GREG",1
16:03,"BLOCK  by HOPSON,HEATH",,,,,,,"BLOCK  by HOPSON,HEATH",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
16:02,"FOUL  by HOPSON,HEATH",,,,,,,"FOUL  by HOPSON,HEATH",1
15:51,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",,,"MISS LAYUP by WHITESIDE,DONOVAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
15:35,,,,,"MISS JUMPER by ROSS,GREG",,,"MISS JUMPER by ROSS,GREG",1
--,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",,,"REBOUND OFF by WHITESIDE,DONOVAN",1
15:27,,4,,6 (+2),"GOOD JUMPER by ROSS,GREG",CENTRE_M 4-6 (+2),,"GOOD JUMPER by ROSS,GREG",1
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",1
15:02,,,,,"FOUL  by LOPEZ,COLLIN",,,"FOUL  by LOPEZ,COLLIN",1
