Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:42,"GOOD LAYUP by BROWN,TYLER(in the paint)",2 (+2),,0,,SEW 2-0 (-2),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
--,"ASSIST  by NELSON,ANVIL",,,,,,,"ASSIST  by NELSON,ANVIL",1
19:19,,2,,2,"GOOD LAYUP by ROSS,GREG(in the paint)",CENTRE_M 2-2 (0),,"GOOD LAYUP by ROSS,GREG(in the paint)",1
18:46,"MISS LAYUP by WILLIAMS,TRENT",,,,,,,"MISS LAYUP by WILLIAMS,TRENT",1
--,,,,,"REBOUND DEF by ELLIS,BRYON",,,"REBOUND DEF by ELLIS,BRYON",1
18:16,"FOUL  by WILLIAMS,TRENT",,,,,,,"FOUL  by WILLIAMS,TRENT",1
18:16,,2,,3 (+1),"GOOD FT by MULLANEY,JEFF",CENTRE_M 2-3 (+1),,"GOOD FT by MULLANEY,JEFF",1
18:16,,2,,4 (+2),"GOOD FT by MULLANEY,JEFF",CENTRE_M 2-4 (+2),,"GOOD FT by MULLANEY,JEFF",1
17:57,"FOUL  by NELSON,ANVIL",,,,,,,"FOUL  by NELSON,ANVIL",1
17:57,"TURNOVER  by NELSON,ANVIL",,,,,,,"TURNOVER  by NELSON,ANVIL",1
17:47,,,,,"MISS JUMPER by ROSS,GREG",,,"MISS JUMPER by ROSS,GREG",1
--,"REBOUND DEF by NELSON,ANVIL",,,,,,,"REBOUND DEF by NELSON,ANVIL",1
17:37,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",1
17:36,,,,,"STEAL  by ROSS,GREG",,,"STEAL  by ROSS,GREG",1
17:20,,,,,"TURNOVER  by LOPEZ,COLLIN",,,"TURNOVER  by LOPEZ,COLLIN",1
17:20,"STEAL  by WILLIAMS,TRENT",,,,,,,"STEAL  by WILLIAMS,TRENT",1
17:03,"MISS JUMPER by NELSON,ANVIL",,,,,,,"MISS JUMPER by NELSON,ANVIL",1
--,,,,,"REBOUND DEF by ELLIS,BRYON",,,"REBOUND DEF by ELLIS,BRYON",1
16:47,,2,,6 (+4),"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",CENTRE_M 2-6 (+4),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",1
16:23,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",1
16:08,,,,,"MISS LAYUP by KARSNER,JOSH",,,"MISS LAYUP by KARSNER,JOSH",1
--,"REBOUND DEF by NELSON,ANVIL",,,,,,,"REBOUND DEF by NELSON,ANVIL",1
15:57,"MISS 3PTR by WILLIAMS,TRENT",,,,,,,"MISS 3PTR by WILLIAMS,TRENT",1
--,,,,,"REBOUND DEF by ELLIS,BRYON",,,"REBOUND DEF by ELLIS,BRYON",1
