Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,TRANSYM,Game Score,Team Indicator,Play,Period
19:24,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",2 (+2),,0,,CENTRE 2-0 (+2),,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",1
18:51,,,,,"MISS 3PTR by CHRISTON,SIMON",,,"MISS 3PTR by CHRISTON,SIMON",1
--,,,,,"REBOUND OFF by SCHUH,BO",,,"REBOUND OFF by SCHUH,BO",1
18:49,,,,,"MISS JUMPER by JONES,ALEX",,,"MISS JUMPER by JONES,ALEX",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
18:40,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",1
18:31,"GOOD 3PTR by REPISHTI,BRYAN",5 (+5),,0,,CENTRE 5-0 (+5),,"GOOD 3PTR by REPISHTI,BRYAN",1
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
18:21,,,,,"MISS JUMPER by CHRISTON,SIMON",,,"MISS JUMPER by CHRISTON,SIMON",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
18:14,,,,,"FOUL  by DENCE,ROBERT",,,"FOUL  by DENCE,ROBERT",1
18:14,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:14,"GOOD FT by WESLEY,TYLER",6 (+6),,0,,CENTRE 6-0 (+6),,"GOOD FT by WESLEY,TYLER",1
17:53,"GOOD DUNK by WESLEY,TYLER(in the paint)",8 (+8),,0,,CENTRE 8-0 (+8),,"GOOD DUNK by WESLEY,TYLER(in the paint)",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
17:34,,,,,"TURNOVER  by STANSBERRY,PARKER",,,"TURNOVER  by STANSBERRY,PARKER",1
17:34,,,,,"SUB IN by JEFFRIES,DEREK",,,"SUB IN by JEFFRIES,DEREK",1
