Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,CEN,Game Score,Team Indicator,Play,Period
19:46,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",1
19:33,"GOOD 3PTR by BUTTS,KEYSHAWN",3 (+3),,0,,RHO 3-0 (-3),,"GOOD 3PTR by BUTTS,KEYSHAWN",1
19:11,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND DEF by BUTTS,KEYSHAWN",,,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",1
19:01,"MISS 3PTR by BUTTS,KEYSHAWN",,,,,,,"MISS 3PTR by BUTTS,KEYSHAWN",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
18:43,,3 (+1),,2,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CEN 3-2 (-1),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
18:31,"TURNOVER  by BUTTS,KEYSHAWN",,,,,,,"TURNOVER  by BUTTS,KEYSHAWN",1
18:18,"FOUL  by WEIR,JJ",,,,,,,"FOUL  by WEIR,JJ",1
18:18,,3,,3,"GOOD FT by SCINTA,BLAKE",CEN 3-3 (0),,"GOOD FT by SCINTA,BLAKE",1
18:18,,3,,4 (+1),"GOOD FT by SCINTA,BLAKE",CEN 3-4 (+1),,"GOOD FT by SCINTA,BLAKE",1
17:55,"TURNOVER  by WEIR,JJ",,,,,,,"TURNOVER  by WEIR,JJ",1
17:26,,,,,"MISS JUMPER by WESLEY,TYLER",,,"MISS JUMPER by WESLEY,TYLER",1
--,"REBOUND OFF by GEE,TYLER",,,,,,,"REBOUND OFF by GEE,TYLER",1
17:13,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND OFF by GEE,TYLER",,,,,,,"REBOUND OFF by GEE,TYLER",1
16:47,"MISS JUMPER by GALVIN,DANIEL",,,,,,,"MISS JUMPER by GALVIN,DANIEL",1
--,"REBOUND OFF by GEE,TYLER",,,,,,,"REBOUND OFF by GEE,TYLER",1
16:46,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",1
16:46,"MISS 3PTR by WEIR,JJ",,,,,,,"MISS 3PTR by WEIR,JJ",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
16:46,,3,,6 (+3),"GOOD LAYUP by SCINTA,BLAKE(fastbreak)(in the paint)",CEN 3-6 (+3),,"GOOD LAYUP by SCINTA,BLAKE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
16:04,,,,,"FOUL  by SINE,TUCKER",,,"FOUL  by SINE,TUCKER",1
16:04,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
16:04,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
15:47,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
15:47,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
15:47,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
15:39,"TURNOVER  by WEIR,JJ",,,,,,,"TURNOVER  by WEIR,JJ",1
15:38,,,,,"STEAL  by GUMP,MATT",,,"STEAL  by GUMP,MATT",1
15:35,,,,,"MISS LAYUP by GUMP,MATT",,,"MISS LAYUP by GUMP,MATT",1
--,"REBOUND DEF by GALVIN,DANIEL",,,,,,,"REBOUND DEF by GALVIN,DANIEL",1
15:23,"TURNOVER  by GALVIN,DANIEL",,,,,,,"TURNOVER  by GALVIN,DANIEL",1
15:23,"SUB IN by MCINTYRE,WILL",,,,,,,"SUB IN by MCINTYRE,WILL",1
15:23,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
14:53,,,,,"MISS JUMPER by GRIFFIN,JAROD",,,"MISS JUMPER by GRIFFIN,JAROD",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
14:41,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1
14:38,"STEAL  by WEIR,JJ",,,,,,,"STEAL  by WEIR,JJ",1
14:27,"GOOD LAYUP by BUTTS,KEYSHAWN(in the paint)",5,,6 (+1),,RHO 5-6 (+1),,"GOOD LAYUP by BUTTS,KEYSHAWN(in the paint)",1
--,"ASSIST  by GALVIN,DANIEL",,,,,,,"ASSIST  by GALVIN,DANIEL",1
14:09,,5,,8 (+3),"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CEN 5-8 (+3),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
13:46,"MISS JUMPER by GALVIN,DANIEL",,,,,,,"MISS JUMPER by GALVIN,DANIEL",1
--,"REBOUND OFF by MCINTYRE,WILL",,,,,,,"REBOUND OFF by MCINTYRE,WILL",1
13:34,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",7,,8 (+1),,RHO 7-8 (+1),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1
13:13,,7,,11 (+4),"GOOD 3PTR by GRUBER,SAM",CEN 7-11 (+4),,"GOOD 3PTR by GRUBER,SAM",1
--,,,,,"ASSIST  by SCHMUCKER,ZACH",,,"ASSIST  by SCHMUCKER,ZACH",1
12:49,"GOOD JUMPER by SULLIVAN,BRENNAN",9,,11 (+2),,RHO 9-11 (+2),,"GOOD JUMPER by SULLIVAN,BRENNAN",1
12:38,"FOUL  by MCINTYRE,WILL",,,,,,,"FOUL  by MCINTYRE,WILL",1
12:38,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
12:38,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
