Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
19:46,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",1
--,,,,,"REBOUND DEF by INUNGU,TOM",,,"REBOUND DEF by INUNGU,TOM",1
19:34,,,,,"MISS 3PTR by ANDINO,GEORGE",,,"MISS 3PTR by ANDINO,GEORGE",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
19:16,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
19:12,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",1
18:48,,,,,"MISS LAYUP by INUNGU,TOM",,,"MISS LAYUP by INUNGU,TOM",1
18:48,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
18:37,,,,,"FOUL  by SMITH,CONNOR",,,"FOUL  by SMITH,CONNOR",1
18:35,"GOOD 3PTR by SCINTA,BLAKE",3 (+3),,0,,CCM 3-0 (+3),,"GOOD 3PTR by SCINTA,BLAKE",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
18:17,,3,,3,"GOOD 3PTR by PERRY,WILL",OUM 3-3 (0),,"GOOD 3PTR by PERRY,WILL",1
--,,,,,"ASSIST  by SMITH,CONNOR",,,"ASSIST  by SMITH,CONNOR",1
17:55,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by ANDINO,GEORGE",,,"REBOUND DEF by ANDINO,GEORGE",1
17:39,,3,,6 (+3),"GOOD 3PTR by PERRY,WILL",OUM 3-6 (-3),,"GOOD 3PTR by PERRY,WILL",1
--,,,,,"ASSIST  by ANDINO,GEORGE",,,"ASSIST  by ANDINO,GEORGE",1
17:17,"MISS 3PTR by SCINTA,BLAKE",,,,,,,"MISS 3PTR by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",1
17:00,,,,,"MISS 3PTR by PERRY,WILL",,,"MISS 3PTR by PERRY,WILL",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
16:53,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",1
16:44,,3,,9 (+6),"GOOD 3PTR by LAWRENCE,CHRIS(fastbreak)",OUM 3-9 (-6),,"GOOD 3PTR by LAWRENCE,CHRIS(fastbreak)",1
16:43,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
16:19,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by INUNGU,TOM",,,"REBOUND DEF by INUNGU,TOM",1
16:03,,,,,"MISS JUMPER by ANDINO,GEORGE",,,"MISS JUMPER by ANDINO,GEORGE",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
15:37,"GOOD 3PTR by SINE,TUCKER",6,,9 (+3),,CCM 6-9 (-3),,"GOOD 3PTR by SINE,TUCKER",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
15:12,,,,,"MISS 3PTR by LAWRENCE,CHRIS",,,"MISS 3PTR by LAWRENCE,CHRIS",1
--,,,,,"REBOUND OFF by SMITH,CONNOR",,,"REBOUND OFF by SMITH,CONNOR",1
15:09,,6,,11 (+5),"GOOD JUMPER by SMITH,CONNOR",OUM 6-11 (-5),,"GOOD JUMPER by SMITH,CONNOR",1
14:45,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
14:41,"GOOD 3PTR by SINE,TUCKER",9,,11 (+2),,CCM 9-11 (-2),,"GOOD 3PTR by SINE,TUCKER",1
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",1
14:24,,,,,"MISS LAYUP by INUNGU,TOM",,,"MISS LAYUP by INUNGU,TOM",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
14:16,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
14:16,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
14:16,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
14:16,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
14:16,,,,,"SUB IN by WARDLAW,CHASE",,,"SUB IN by WARDLAW,CHASE",1
14:16,,,,,"SUB IN by SIGRIST,CONNOR",,,"SUB IN by SIGRIST,CONNOR",1
14:16,,,,,"SUB OUT by INUNGU,TOM",,,"SUB OUT by INUNGU,TOM",1
14:16,,,,,"SUB OUT by ANDINO,GEORGE",,,"SUB OUT by ANDINO,GEORGE",1
14:04,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
14:04,,,,,"BLOCK  by WARDLAW,CHASE",,,"BLOCK  by WARDLAW,CHASE",1
--,,,,,"REBOUND DEF by SIGRIST,CONNOR",,,"REBOUND DEF by SIGRIST,CONNOR",1
13:51,,,,,"MISS 3PTR by WARDLAW,CHASE",,,"MISS 3PTR by WARDLAW,CHASE",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
13:28,"GOOD 3PTR by GRIFFIN,JAROD",12 (+1),,11,,CCM 12-11 (+1),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,"ASSIST  by GRUBER,SAM",,,,,,,"ASSIST  by GRUBER,SAM",1
13:10,,,,,"MISS 3PTR by PERRY,WILL",,,"MISS 3PTR by PERRY,WILL",1
