Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
19:50,,,,,"TURNOVER  by SPRAGG,BAILEY",,,"TURNOVER  by SPRAGG,BAILEY",1
19:49,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",1
19:38,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
19:24,,,,,"TURNOVER  by MITCHELL,JAMES",,,"TURNOVER  by MITCHELL,JAMES",1
19:23,"STEAL  by WALKER,ART",,,,,,,"STEAL  by WALKER,ART",1
19:07,"GOOD LAYUP by AYERS,PERRY(in the paint)",2 (+2),,0,,CENTRE-M 2-0 (+2),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
18:56,,2,,2,"GOOD LAYUP by SPRAGG,BAILEY(in the paint)",CCM 2-2 (0),,"GOOD LAYUP by SPRAGG,BAILEY(in the paint)",1
--,,,,,"ASSIST  by JAUCH,JARED",,,"ASSIST  by JAUCH,JARED",1
18:45,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",1
--,,,,,"REBOUND DEF by PALMER,NICK",,,"REBOUND DEF by PALMER,NICK",1
18:27,,2,,4 (+2),"GOOD JUMPER by SPRAGG,BAILEY(in the paint)",CCM 2-4 (-2),,"GOOD JUMPER by SPRAGG,BAILEY(in the paint)",1
17:58,"GOOD LAYUP by SINE,TUCKER(in the paint)",4,,4,,CENTRE-M 4-4 (0),,"GOOD LAYUP by SINE,TUCKER(in the paint)",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
17:50,,,,,"TURNOVER  by JAUCH,JARED",,,"TURNOVER  by JAUCH,JARED",1
17:34,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by MITCHELL,JAMES",,,"REBOUND DEF by MITCHELL,JAMES",1
17:11,,,,,"MISS 3PTR by CRUMLY,WILL",,,"MISS 3PTR by CRUMLY,WILL",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
