Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:41,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,"REBOUND DEF by BROOKS,AUSTIN",,,,,,,"REBOUND DEF by BROOKS,AUSTIN",1
19:20,"MISS JUMPER by JOHNSON,MICAH(in the paint)",,,,,,,"MISS JUMPER by JOHNSON,MICAH(in the paint)",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:02,,,,,"TURNOVER  by CRUMP,DAWSON",,,"TURNOVER  by CRUMP,DAWSON",1
19:02,"STEAL  by JOHNSON,MICAH",,,,,,,"STEAL  by JOHNSON,MICAH",1
18:47,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",2 (+2),,0,,Berry 2-0 (-2),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",1
18:14,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
18:02,"GOOD 3PTR by JONES,DREW",5 (+5),,0,,Berry 5-0 (-5),,"GOOD 3PTR by JONES,DREW",1
17:42,,,,,"MISS JUMPER by KNOCHELMANN,PETE(in the paint)",,,"MISS JUMPER by KNOCHELMANN,PETE(in the paint)",1
--,"REBOUND DEF by BROOKS,AUSTIN",,,,,,,"REBOUND DEF by BROOKS,AUSTIN",1
17:32,"MISS 3PTR by WEHUNT,DAWSON",,,,,,,"MISS 3PTR by WEHUNT,DAWSON",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
17:17,,,,,"MISS JUMPER by WILLIAMS,JALEN",,,"MISS JUMPER by WILLIAMS,JALEN",1
--,"REBOUND DEF by JOHNSON,MICAH",,,,,,,"REBOUND DEF by JOHNSON,MICAH",1
17:06,"MISS 3PTR by JOHNSON,MICHAEL",,,,,,,"MISS 3PTR by JOHNSON,MICHAEL",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
16:55,,,,,"MISS LAYUP by CRUMP,DAWSON(in the paint)",,,"MISS LAYUP by CRUMP,DAWSON(in the paint)",1
16:55,"BLOCK  by JONES,DREW",,,,,,,"BLOCK  by JONES,DREW",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
16:55,,,,,"SUB OUT by BRITT,WILL",,,"SUB OUT by BRITT,WILL",1
16:55,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",1
16:55,,,,,"SUB IN by WELLS,GAGE",,,"SUB IN by WELLS,GAGE",1
16:55,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
16:55,,,,,"MISS FT by CRUMP,DAWSON",,,"MISS FT by CRUMP,DAWSON",1
16:55,,5 (+4),,1,"GOOD FT by CRUMP,DAWSON",Centre 5-1 (-4),,"GOOD FT by CRUMP,DAWSON",1
16:55,,5 (+1),,4,"GOOD 3PTR by RING,NOAH",Centre 5-4 (-1),,"GOOD 3PTR by RING,NOAH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:55,"FOUL TECH by JONES,DREW",,,,,,,"FOUL TECH by JONES,DREW",1
16:41,"MISS LAYUP by JOHNSON,MICAH(in the paint)",,,,,,,"MISS LAYUP by JOHNSON,MICAH(in the paint)",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
16:27,,5,,6 (+1),"GOOD JUMPER by GERALD,DUSTIN",Centre 5-6 (+1),,"GOOD JUMPER by GERALD,DUSTIN",1
16:26,"SUB OUT by JONES,DREW",,,,,,,"SUB OUT by JONES,DREW",1
16:26,"SUB IN by ELLIS,CHASE",,,,,,,"SUB IN by ELLIS,CHASE",1
16:07,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",7 (+1),,6,,Berry 7-6 (-1),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",1
15:45,,,,,"MISS JUMPER by GERALD,DUSTIN",,,"MISS JUMPER by GERALD,DUSTIN",1
--,"REBOUND DEF by ELLIS,CHASE",,,,,,,"REBOUND DEF by ELLIS,CHASE",1
15:29,"GOOD 3PTR by WEHUNT,DAWSON",10 (+4),,6,,Berry 10-6 (-4),,"GOOD 3PTR by WEHUNT,DAWSON",1
14:59,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",1
14:59,"BLOCK  by JOHNSON,MICHAEL",,,,,,,"BLOCK  by JOHNSON,MICHAEL",1
--,"REBOUND DEF by JOHNSON,MICHAEL",,,,,,,"REBOUND DEF by JOHNSON,MICHAEL",1
14:45,,,,,"FOUL  by GERALD,DUSTIN",,,"FOUL  by GERALD,DUSTIN",1
14:45,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
14:45,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
14:45,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
14:45,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
14:45,"SUB OUT by JOHNSON,MICAH",,,,,,,"SUB OUT by JOHNSON,MICAH",1
14:45,"SUB IN by MBENOUN,ROB",,,,,,,"SUB IN by MBENOUN,ROB",1
14:45,"GOOD FT by BROOKS,AUSTIN",11 (+5),,6,,Berry 11-6 (-5),,"GOOD FT by BROOKS,AUSTIN",1
14:45,"GOOD FT by BROOKS,AUSTIN",12 (+6),,6,,Berry 12-6 (-6),,"GOOD FT by BROOKS,AUSTIN",1
14:45,"SUB OUT by BROOKS,AUSTIN",,,,,,,"SUB OUT by BROOKS,AUSTIN",1
14:45,"SUB IN by COSTAS,RILEY",,,,,,,"SUB IN by COSTAS,RILEY",1
13:59,,,,,"MISS JUMPER by CRUMP,DAWSON",,,"MISS JUMPER by CRUMP,DAWSON",1
--,"REBOUND DEF by JOHNSON,MICHAEL",,,,,,,"REBOUND DEF by JOHNSON,MICHAEL",1
13:56,,,,,"FOUL  by CRUMP,DAWSON",,,"FOUL  by CRUMP,DAWSON",1
13:41,"MISS 3PTR by WEHUNT,DAWSON",,,,,,,"MISS 3PTR by WEHUNT,DAWSON",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
13:29,,,,,"MISS JUMPER by RING,NOAH(in the paint)",,,"MISS JUMPER by RING,NOAH(in the paint)",1
--,"REBOUND DEF by WEHUNT,DAWSON",,,,,,,"REBOUND DEF by WEHUNT,DAWSON",1
13:18,"SUB OUT by WEHUNT,DAWSON",,,,,,,"SUB OUT by WEHUNT,DAWSON",1
13:18,"SUB IN by ESTES,DJ",,,,,,,"SUB IN by ESTES,DJ",1
13:18,"TURNOVER  by COSTAS,RILEY",,,,,,,"TURNOVER  by COSTAS,RILEY",1
13:18,,,,,"STEAL  by WELLS,GAGE",,,"STEAL  by WELLS,GAGE",1
13:12,"FOUL  by ESTES,DJ",,,,,,,"FOUL  by ESTES,DJ",1
13:07,,12 (+5),,7,"GOOD FT by CRUMP,DAWSON(fastbreak)",Centre 12-7 (-5),,"GOOD FT by CRUMP,DAWSON(fastbreak)",1
13:07,,12 (+4),,8,"GOOD FT by CRUMP,DAWSON(fastbreak)",Centre 12-8 (-4),,"GOOD FT by CRUMP,DAWSON(fastbreak)",1
13:07,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
13:07,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",1
13:07,"SUB OUT by JOHNSON,MICHAEL",,,,,,,"SUB OUT by JOHNSON,MICHAEL",1
13:07,"SUB IN by JOHNSON,MICAH",,,,,,,"SUB IN by JOHNSON,MICAH",1
12:51,"MISS JUMPER by ESTES,DJ",,,,,,,"MISS JUMPER by ESTES,DJ",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:39,"TURNOVER  by MBENOUN,ROB",,,,,,,"TURNOVER  by MBENOUN,ROB",1
12:39,,,,,"STEAL  by WELLS,GAGE",,,"STEAL  by WELLS,GAGE",1
12:16,,,,,"TURNOVER  by WELLS,GAGE",,,"TURNOVER  by WELLS,GAGE",1
12:16,"SUB OUT by MBENOUN,ROB",,,,,,,"SUB OUT by MBENOUN,ROB",1
12:16,"SUB IN by HONROTH,OWEN",,,,,,,"SUB IN by HONROTH,OWEN",1
12:06,"MISS LAYUP by COSTAS,RILEY(in the paint)",,,,,,,"MISS LAYUP by COSTAS,RILEY(in the paint)",1
--,"REBOUND OFF by ELLIS,CHASE",,,,,,,"REBOUND OFF by ELLIS,CHASE",1
11:53,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",1
11:53,"TURNOVER  by ELLIS,CHASE",,,,,,,"TURNOVER  by ELLIS,CHASE",1
11:53,,,,,"STEAL  by WILSON,DREW",,,"STEAL  by WILSON,DREW",1
