,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,0767,Sewanee,Centre,1,85-46,"13,33","43,42",9-5,10-3,2-2,4-0,01/18/14,3:00 PM,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,975,False,19:41,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",1,jumper,missed,sewanee,"williams,jorden",,"['lopez,collin', 'scinta,blake', 'wesley,tyler', 'whiteside,donovan', 'murray,ryan']","['williams,jorden', 'born,leo', 'brown,seth', 'carter,keshonn', 'caldwell,marcellus']",1181
1,0767,Sewanee,Centre,1,85-46,"13,33","43,42",9-5,10-3,2-2,4-0,01/18/14,3:00 PM,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,975,False,--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1,defensive rebound,,centre,"wesley,tyler",,"['lopez,collin', 'scinta,blake', 'wesley,tyler', 'whiteside,donovan', 'murray,ryan']","['williams,jorden', 'born,leo', 'brown,seth', 'carter,keshonn', 'caldwell,marcellus']",
2,0767,Sewanee,Centre,1,85-46,"13,33","43,42",9-5,10-3,2-2,4-0,01/18/14,3:00 PM,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,975,False,19:18,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",1,three pointer,missed,centre,"whiteside,donovan",,"['lopez,collin', 'scinta,blake', 'wesley,tyler', 'whiteside,donovan', 'murray,ryan']","['williams,jorden', 'born,leo', 'brown,seth', 'carter,keshonn', 'caldwell,marcellus']",1158
3,0767,Sewanee,Centre,1,85-46,"13,33","43,42",9-5,10-3,2-2,4-0,01/18/14,3:00 PM,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,975,False,--,,,,,"REBOUND DEF by BORN,LEO",,,"REBOUND DEF by BORN,LEO",1,defensive rebound,,sewanee,"born,leo",,"['lopez,collin', 'scinta,blake', 'wesley,tyler', 'whiteside,donovan', 'murray,ryan']","['williams,jorden', 'born,leo', 'brown,seth', 'carter,keshonn', 'caldwell,marcellus']",
4,0767,Sewanee,Centre,1,85-46,"13,33","43,42",9-5,10-3,2-2,4-0,01/18/14,3:00 PM,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,975,False,19:05,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1,turnover,,sewanee,"carter,keshonn",,"['lopez,collin', 'scinta,blake', 'wesley,tyler', 'whiteside,donovan', 'murray,ryan']","['williams,jorden', 'born,leo', 'brown,seth', 'carter,keshonn', 'caldwell,marcellus']",1145
5,0767,Sewanee,Centre,1,85-46,"13,33","43,42",9-5,10-3,2-2,4-0,01/18/14,3:00 PM,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,975,False,19:05,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",1,steal,,centre,,,"['lopez,collin', 'scinta,blake', 'wesley,tyler', 'whiteside,donovan', 'murray,ryan']","['williams,jorden', 'born,leo', 'brown,seth', 'carter,keshonn', 'caldwell,marcellus']",1145
6,0767,Sewanee,Centre,1,85-46,"13,33","43,42",9-5,10-3,2-2,4-0,01/18/14,3:00 PM,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,975,False,18:51,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1,jumper,missed,centre,"scinta,blake",,"['lopez,collin', 'scinta,blake', 'wesley,tyler', 'whiteside,donovan', 'murray,ryan']","['williams,jorden', 'born,leo', 'brown,seth', 'carter,keshonn', 'caldwell,marcellus']",1131
7,0767,Sewanee,Centre,1,85-46,"13,33","43,42",9-5,10-3,2-2,4-0,01/18/14,3:00 PM,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,975,False,--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1,offensive rebound,,centre,"wesley,tyler",,"['lopez,collin', 'scinta,blake', 'wesley,tyler', 'whiteside,donovan', 'murray,ryan']","['williams,jorden', 'born,leo', 'brown,seth', 'carter,keshonn', 'caldwell,marcellus']",
8,0767,Sewanee,Centre,1,85-46,"13,33","43,42",9-5,10-3,2-2,4-0,01/18/14,3:00 PM,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,975,False,18:48,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2 ,,0,,CENTRE 2-0 (+2),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1,layup,good,centre,"wesley,tyler",2,"['lopez,collin', 'scinta,blake', 'wesley,tyler', 'whiteside,donovan', 'murray,ryan']","['williams,jorden', 'born,leo', 'brown,seth', 'carter,keshonn', 'caldwell,marcellus']",1128
9,0767,Sewanee,Centre,1,85-46,"13,33","43,42",9-5,10-3,2-2,4-0,01/18/14,3:00 PM,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,975,False,17:52,,2,,3 ,"GOOD 3PTR by BROWN,SETH",SEWANEE 2-3 (-1),,"GOOD 3PTR by BROWN,SETH",1,three pointer,good,sewanee,"brown,seth",3,"['lopez,collin', 'scinta,blake', 'wesley,tyler', 'whiteside,donovan', 'murray,ryan']","['williams,jorden', 'born,leo', 'brown,seth', 'carter,keshonn', 'caldwell,marcellus']",1072
10,0767,Sewanee,Centre,1,85-46,"13,33","43,42",9-5,10-3,2-2,4-0,01/18/14,3:00 PM,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,975,False,17:52,,2,,3 ,"FOUL  by BROWN,SETH",,,"FOUL  by BROWN,SETH",1,foul,,sewanee,"brown,seth",,"['lopez,collin', 'scinta,blake', 'wesley,tyler', 'whiteside,donovan', 'murray,ryan']","['williams,jorden', 'born,leo', 'brown,seth', 'carter,keshonn', 'caldwell,marcellus']",1072
11,0767,Sewanee,Centre,1,85-46,"13,33","43,42",9-5,10-3,2-2,4-0,01/18/14,3:00 PM,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,975,False,17:52,"GOOD FT by WESLEY,TYLER",3,,3,,CENTRE 3-3 (0),,"GOOD FT by WESLEY,TYLER",1,free throw,good,centre,"wesley,tyler",1,"['lopez,collin', 'scinta,blake', 'wesley,tyler', 'whiteside,donovan', 'murray,ryan']","['williams,jorden', 'born,leo', 'brown,seth', 'carter,keshonn', 'caldwell,marcellus']",1072
