,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,0862,Centre,Maryville,0,70-83,"52,31","43,27",1-0,0-1,N/A,N/A,11/15/17,7:30 PM,N/A,"Danville, KY (Alumni Gymnasium)",Win,2,False,419,False,19:46,"GOOD JUMPER by SONGSTER,CALVIN",2 ,,0,,MVCM 2-0 (-2),,"GOOD JUMPER by SONGSTER,CALVIN",1,jumper,good,maryville,"songster,calvin",2,"['nokes,colt', 'songster,calvin', 'hoppa,dante', 'estes,kaleb', 'bowman,emier']","['sine,tucker', 'ayers,perry', 'griffin,jarod', 'spitzer,jakob', 'rakes,bailey']",1186
1,0862,Centre,Maryville,0,70-83,"52,31","43,27",1-0,0-1,N/A,N/A,11/15/17,7:30 PM,N/A,"Danville, KY (Alumni Gymnasium)",Win,2,False,419,False,--,"ASSIST  by ESTES,KALEB",2 ,,0,,,,"ASSIST  by ESTES,KALEB",1,assist,,maryville,"estes,kaleb",,"['nokes,colt', 'songster,calvin', 'hoppa,dante', 'estes,kaleb', 'bowman,emier']","['sine,tucker', 'ayers,perry', 'griffin,jarod', 'spitzer,jakob', 'rakes,bailey']",
2,0862,Centre,Maryville,0,70-83,"52,31","43,27",1-0,0-1,N/A,N/A,11/15/17,7:30 PM,N/A,"Danville, KY (Alumni Gymnasium)",Win,2,False,419,False,19:32,"FOUL  by NOKES,COLT",2 ,,0,,,,"FOUL  by NOKES,COLT",1,foul,,maryville,"nokes,colt",,"['nokes,colt', 'songster,calvin', 'hoppa,dante', 'estes,kaleb', 'bowman,emier']","['sine,tucker', 'ayers,perry', 'griffin,jarod', 'spitzer,jakob', 'rakes,bailey']",1172
3,0862,Centre,Maryville,0,70-83,"52,31","43,27",1-0,0-1,N/A,N/A,11/15/17,7:30 PM,N/A,"Danville, KY (Alumni Gymnasium)",Win,2,False,419,False,19:22,,2 ,,0,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",1,layup,missed,centre,"ayers,perry",,"['nokes,colt', 'songster,calvin', 'hoppa,dante', 'estes,kaleb', 'bowman,emier']","['sine,tucker', 'ayers,perry', 'griffin,jarod', 'spitzer,jakob', 'rakes,bailey']",1162
4,0862,Centre,Maryville,0,70-83,"52,31","43,27",1-0,0-1,N/A,N/A,11/15/17,7:30 PM,N/A,"Danville, KY (Alumni Gymnasium)",Win,2,False,419,False,19:22,"BLOCK  by BOWMAN,EMIER",2 ,,0,,,,"BLOCK  by BOWMAN,EMIER",1,block,,maryville,"bowman,emier",,"['nokes,colt', 'songster,calvin', 'hoppa,dante', 'estes,kaleb', 'bowman,emier']","['sine,tucker', 'ayers,perry', 'griffin,jarod', 'spitzer,jakob', 'rakes,bailey']",1162
5,0862,Centre,Maryville,0,70-83,"52,31","43,27",1-0,0-1,N/A,N/A,11/15/17,7:30 PM,N/A,"Danville, KY (Alumni Gymnasium)",Win,2,False,419,False,--,,2 ,,0,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,centre,,,"['nokes,colt', 'songster,calvin', 'hoppa,dante', 'estes,kaleb', 'bowman,emier']","['sine,tucker', 'ayers,perry', 'griffin,jarod', 'spitzer,jakob', 'rakes,bailey']",
6,0862,Centre,Maryville,0,70-83,"52,31","43,27",1-0,0-1,N/A,N/A,11/15/17,7:30 PM,N/A,"Danville, KY (Alumni Gymnasium)",Win,2,False,419,False,19:04,,2,,3 ,"GOOD 3PTR by GRIFFIN,JAROD",CENTRE-M 2-3 (+1),,"GOOD 3PTR by GRIFFIN,JAROD",1,three pointer,good,centre,"griffin,jarod",3,"['nokes,colt', 'songster,calvin', 'hoppa,dante', 'estes,kaleb', 'bowman,emier']","['sine,tucker', 'ayers,perry', 'griffin,jarod', 'spitzer,jakob', 'rakes,bailey']",1144
7,0862,Centre,Maryville,0,70-83,"52,31","43,27",1-0,0-1,N/A,N/A,11/15/17,7:30 PM,N/A,"Danville, KY (Alumni Gymnasium)",Win,2,False,419,False,--,,2,,3 ,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1,assist,,centre,"sine,tucker",,"['nokes,colt', 'songster,calvin', 'hoppa,dante', 'estes,kaleb', 'bowman,emier']","['sine,tucker', 'ayers,perry', 'griffin,jarod', 'spitzer,jakob', 'rakes,bailey']",
8,0862,Centre,Maryville,0,70-83,"52,31","43,27",1-0,0-1,N/A,N/A,11/15/17,7:30 PM,N/A,"Danville, KY (Alumni Gymnasium)",Win,2,False,419,False,18:44,"MISS JUMPER by HOPPA,DANTE",2,,3 ,,,,"MISS JUMPER by HOPPA,DANTE",1,jumper,missed,maryville,"hoppa,dante",,"['nokes,colt', 'songster,calvin', 'hoppa,dante', 'estes,kaleb', 'bowman,emier']","['sine,tucker', 'ayers,perry', 'griffin,jarod', 'spitzer,jakob', 'rakes,bailey']",1124
9,0862,Centre,Maryville,0,70-83,"52,31","43,27",1-0,0-1,N/A,N/A,11/15/17,7:30 PM,N/A,"Danville, KY (Alumni Gymnasium)",Win,2,False,419,False,--,"REBOUND OFF by SONGSTER,CALVIN",2,,3 ,,,,"REBOUND OFF by SONGSTER,CALVIN",1,offensive rebound,,maryville,"songster,calvin",,"['nokes,colt', 'songster,calvin', 'hoppa,dante', 'estes,kaleb', 'bowman,emier']","['sine,tucker', 'ayers,perry', 'griffin,jarod', 'spitzer,jakob', 'rakes,bailey']",
