,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,4857,Centre,Berry,1,83-61,"36,25","43,40",11-11,18-2,5-6,9-1,02/11/22,8:00 PM,N/A,"Alumni Gymnasium, Danville, KY",Lose,2,False,100,False,19:43,,0,,2 ,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",Centre 0-2 (+2),,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",1,layup,good,centre,"baughman,carter",2,"['rusciano,robbie', 'costas,riley', 'brooks,austin', 'johnson,michael', 'honroth,owen']","['gerald,dustin', 'smith,rj', 'baughman,carter', 'blair,andy', 'williams,jalen']",1183
1,4857,Centre,Berry,1,83-61,"36,25","43,40",11-11,18-2,5-6,9-1,02/11/22,8:00 PM,N/A,"Alumni Gymnasium, Danville, KY",Lose,2,False,100,False,19:22,"MISS 3PTR by HONROTH,OWEN",0,,2 ,,,,"MISS 3PTR by HONROTH,OWEN",1,three pointer,missed,berry,"honroth,owen",,"['rusciano,robbie', 'costas,riley', 'brooks,austin', 'johnson,michael', 'honroth,owen']","['gerald,dustin', 'smith,rj', 'baughman,carter', 'blair,andy', 'williams,jalen']",1162
2,4857,Centre,Berry,1,83-61,"36,25","43,40",11-11,18-2,5-6,9-1,02/11/22,8:00 PM,N/A,"Alumni Gymnasium, Danville, KY",Lose,2,False,100,False,--,,0,,2 ,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1,defensive rebound,,centre,"smith,rj",,"['rusciano,robbie', 'costas,riley', 'brooks,austin', 'johnson,michael', 'honroth,owen']","['gerald,dustin', 'smith,rj', 'baughman,carter', 'blair,andy', 'williams,jalen']",
3,4857,Centre,Berry,1,83-61,"36,25","43,40",11-11,18-2,5-6,9-1,02/11/22,8:00 PM,N/A,"Alumni Gymnasium, Danville, KY",Lose,2,False,100,False,19:02,,0,,2 ,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",1,three pointer,missed,centre,"williams,jalen",,"['rusciano,robbie', 'costas,riley', 'brooks,austin', 'johnson,michael', 'honroth,owen']","['gerald,dustin', 'smith,rj', 'baughman,carter', 'blair,andy', 'williams,jalen']",1142
4,4857,Centre,Berry,1,83-61,"36,25","43,40",11-11,18-2,5-6,9-1,02/11/22,8:00 PM,N/A,"Alumni Gymnasium, Danville, KY",Lose,2,False,100,False,--,"REBOUND DEF by BROOKS,AUSTIN",0,,2 ,,,,"REBOUND DEF by BROOKS,AUSTIN",1,defensive rebound,,berry,"brooks,austin",,"['rusciano,robbie', 'costas,riley', 'brooks,austin', 'johnson,michael', 'honroth,owen']","['gerald,dustin', 'smith,rj', 'baughman,carter', 'blair,andy', 'williams,jalen']",
5,4857,Centre,Berry,1,83-61,"36,25","43,40",11-11,18-2,5-6,9-1,02/11/22,8:00 PM,N/A,"Alumni Gymnasium, Danville, KY",Lose,2,False,100,False,18:50,"MISS 3PTR by RUSCIANO,ROBBIE",0,,2 ,,,,"MISS 3PTR by RUSCIANO,ROBBIE",1,three pointer,missed,berry,"rusciano,robbie",,"['rusciano,robbie', 'costas,riley', 'brooks,austin', 'johnson,michael', 'honroth,owen']","['gerald,dustin', 'smith,rj', 'baughman,carter', 'blair,andy', 'williams,jalen']",1130
6,4857,Centre,Berry,1,83-61,"36,25","43,40",11-11,18-2,5-6,9-1,02/11/22,8:00 PM,N/A,"Alumni Gymnasium, Danville, KY",Lose,2,False,100,False,--,"REBOUND OFF by COSTAS,RILEY",0,,2 ,,,,"REBOUND OFF by COSTAS,RILEY",1,offensive rebound,,berry,"costas,riley",,"['rusciano,robbie', 'costas,riley', 'brooks,austin', 'johnson,michael', 'honroth,owen']","['gerald,dustin', 'smith,rj', 'baughman,carter', 'blair,andy', 'williams,jalen']",
7,4857,Centre,Berry,1,83-61,"36,25","43,40",11-11,18-2,5-6,9-1,02/11/22,8:00 PM,N/A,"Alumni Gymnasium, Danville, KY",Lose,2,False,100,False,18:42,"GOOD LAYUP by COSTAS,RILEY(in the paint)",2,,2,,Berry 2-2 (0),,"GOOD LAYUP by COSTAS,RILEY(in the paint)",1,layup,good,berry,"costas,riley",2,"['rusciano,robbie', 'costas,riley', 'brooks,austin', 'johnson,michael', 'honroth,owen']","['gerald,dustin', 'smith,rj', 'baughman,carter', 'blair,andy', 'williams,jalen']",1122
8,4857,Centre,Berry,1,83-61,"36,25","43,40",11-11,18-2,5-6,9-1,02/11/22,8:00 PM,N/A,"Alumni Gymnasium, Danville, KY",Lose,2,False,100,False,18:31,,2,,4 ,"GOOD JUMPER by SMITH,RJ",Centre 2-4 (+2),,"GOOD JUMPER by SMITH,RJ",1,jumper,good,centre,"smith,rj",2,"['rusciano,robbie', 'costas,riley', 'brooks,austin', 'johnson,michael', 'honroth,owen']","['gerald,dustin', 'smith,rj', 'baughman,carter', 'blair,andy', 'williams,jalen']",1111
9,4857,Centre,Berry,1,83-61,"36,25","43,40",11-11,18-2,5-6,9-1,02/11/22,8:00 PM,N/A,"Alumni Gymnasium, Danville, KY",Lose,2,False,100,False,18:22,"GOOD 3PTR by RUSCIANO,ROBBIE",5 ,,4,,Berry 5-4 (-1),,"GOOD 3PTR by RUSCIANO,ROBBIE",1,three pointer,good,berry,"rusciano,robbie",3,"['rusciano,robbie', 'costas,riley', 'brooks,austin', 'johnson,michael', 'honroth,owen']","['gerald,dustin', 'smith,rj', 'baughman,carter', 'blair,andy', 'williams,jalen']",1102
