,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,5293,Guilford,Centre,0,39-76,"32,44","18,21",10-2,3-8,3-0,0-1,12/30/22,3:00 PM,N/A,"Ragan-Brown Field House, Greensboro, NC",Win,2,False,150,False,19:43,,,,,"MISS 3PTR by DEARMAN,TYLER",,,"MISS 3PTR by DEARMAN,TYLER",1,three pointer,missed,guilford,"dearman,tyler",,"['stinnett,cade', 'baughman,carter', 'moore,chez', 'ring,noah', 'taylor,marshall']","['davis,jorden', 'burch,julius', 'proctor,luke', 'dearman,tyler', 'farrish,caleb']",1183
1,5293,Guilford,Centre,0,39-76,"32,44","18,21",10-2,3-8,3-0,0-1,12/30/22,3:00 PM,N/A,"Ragan-Brown Field House, Greensboro, NC",Win,2,False,150,False,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,guilford,,,"['stinnett,cade', 'baughman,carter', 'moore,chez', 'ring,noah', 'taylor,marshall']","['davis,jorden', 'burch,julius', 'proctor,luke', 'dearman,tyler', 'farrish,caleb']",
2,5293,Guilford,Centre,0,39-76,"32,44","18,21",10-2,3-8,3-0,0-1,12/30/22,3:00 PM,N/A,"Ragan-Brown Field House, Greensboro, NC",Win,2,False,150,False,19:29,,,,,"MISS LAYUP by FARRISH,CALEB(in the paint)",,,"MISS LAYUP by FARRISH,CALEB(in the paint)",1,layup,missed,guilford,"farrish,caleb",,"['stinnett,cade', 'baughman,carter', 'moore,chez', 'ring,noah', 'taylor,marshall']","['davis,jorden', 'burch,julius', 'proctor,luke', 'dearman,tyler', 'farrish,caleb']",1169
3,5293,Guilford,Centre,0,39-76,"32,44","18,21",10-2,3-8,3-0,0-1,12/30/22,3:00 PM,N/A,"Ragan-Brown Field House, Greensboro, NC",Win,2,False,150,False,--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",1,defensive rebound,,centre,"ring,noah",,"['stinnett,cade', 'baughman,carter', 'moore,chez', 'ring,noah', 'taylor,marshall']","['davis,jorden', 'burch,julius', 'proctor,luke', 'dearman,tyler', 'farrish,caleb']",
4,5293,Guilford,Centre,0,39-76,"32,44","18,21",10-2,3-8,3-0,0-1,12/30/22,3:00 PM,N/A,"Ragan-Brown Field House, Greensboro, NC",Win,2,False,150,False,19:06,"MISS JUMPER by MOORE,CHEZ",,,,,,,"MISS JUMPER by MOORE,CHEZ",1,jumper,missed,centre,"moore,chez",,"['stinnett,cade', 'baughman,carter', 'moore,chez', 'ring,noah', 'taylor,marshall']","['davis,jorden', 'burch,julius', 'proctor,luke', 'dearman,tyler', 'farrish,caleb']",1146
5,5293,Guilford,Centre,0,39-76,"32,44","18,21",10-2,3-8,3-0,0-1,12/30/22,3:00 PM,N/A,"Ragan-Brown Field House, Greensboro, NC",Win,2,False,150,False,--,,,,,"REBOUND DEF by BURCH,JULIUS",,,"REBOUND DEF by BURCH,JULIUS",1,defensive rebound,,guilford,"burch,julius",,"['stinnett,cade', 'baughman,carter', 'moore,chez', 'ring,noah', 'taylor,marshall']","['davis,jorden', 'burch,julius', 'proctor,luke', 'dearman,tyler', 'farrish,caleb']",
6,5293,Guilford,Centre,0,39-76,"32,44","18,21",10-2,3-8,3-0,0-1,12/30/22,3:00 PM,N/A,"Ragan-Brown Field House, Greensboro, NC",Win,2,False,150,False,18:45,,,,,"MISS 3PTR by PROCTOR,LUKE",,,"MISS 3PTR by PROCTOR,LUKE",1,three pointer,missed,guilford,"proctor,luke",,"['stinnett,cade', 'baughman,carter', 'moore,chez', 'ring,noah', 'taylor,marshall']","['davis,jorden', 'burch,julius', 'proctor,luke', 'dearman,tyler', 'farrish,caleb']",1125
7,5293,Guilford,Centre,0,39-76,"32,44","18,21",10-2,3-8,3-0,0-1,12/30/22,3:00 PM,N/A,"Ragan-Brown Field House, Greensboro, NC",Win,2,False,150,False,--,,,,,"REBOUND OFF by FARRISH,CALEB",,,"REBOUND OFF by FARRISH,CALEB",1,offensive rebound,,guilford,"farrish,caleb",,"['stinnett,cade', 'baughman,carter', 'moore,chez', 'ring,noah', 'taylor,marshall']","['davis,jorden', 'burch,julius', 'proctor,luke', 'dearman,tyler', 'farrish,caleb']",
8,5293,Guilford,Centre,0,39-76,"32,44","18,21",10-2,3-8,3-0,0-1,12/30/22,3:00 PM,N/A,"Ragan-Brown Field House, Greensboro, NC",Win,2,False,150,False,18:33,,,,,"MISS LAYUP by DEARMAN,TYLER(in the paint)",,,"MISS LAYUP by DEARMAN,TYLER(in the paint)",1,layup,missed,guilford,"dearman,tyler",,"['stinnett,cade', 'baughman,carter', 'moore,chez', 'ring,noah', 'taylor,marshall']","['davis,jorden', 'burch,julius', 'proctor,luke', 'dearman,tyler', 'farrish,caleb']",1113
9,5293,Guilford,Centre,0,39-76,"32,44","18,21",10-2,3-8,3-0,0-1,12/30/22,3:00 PM,N/A,"Ragan-Brown Field House, Greensboro, NC",Win,2,False,150,False,--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",1,defensive rebound,,centre,"ring,noah",,"['stinnett,cade', 'baughman,carter', 'moore,chez', 'ring,noah', 'taylor,marshall']","['davis,jorden', 'burch,julius', 'proctor,luke', 'dearman,tyler', 'farrish,caleb']",
