,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway,PlayOfPoss
0,0,701,John Carroll University,Centre College,0,92-91,"39,38,14","36,41,15",0-1,2-0,,,11/18/11,5:18 PM,,"Cincinnati, OH MSJ Harrington Center",Lose,3,True,160,False,19:51,,,,,"MISS LAYUP by SHONTZ,COREY",,,"MISS LAYUP by SHONTZ,COREY",1,layup,missed,john carroll university,"shontz,corey",,"['ellis,bryon', 'ross,greg', 'mullaney,jeff', 'karsner,josh', 'griggs,matt']","['hartnett,michael', 'meyer,joe', 'shontz,corey', 'hester,mark', 'hubbard,kyle']",1191.0,centre college,1,0,0.0,1
1,1,701,John Carroll University,Centre College,0,92-91,"39,38,14","36,41,15",0-1,2-0,,,11/18/11,5:18 PM,,"Cincinnati, OH MSJ Harrington Center",Lose,3,True,160,False,--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1,defensive rebound,,centre college,"karsner,josh",,"['ellis,bryon', 'ross,greg', 'mullaney,jeff', 'karsner,josh', 'griggs,matt']","['hartnett,michael', 'meyer,joe', 'shontz,corey', 'hester,mark', 'hubbard,kyle']",,centre college,1,0,0.0,0
2,2,701,John Carroll University,Centre College,0,92-91,"39,38,14","36,41,15",0-1,2-0,,,11/18/11,5:18 PM,,"Cincinnati, OH MSJ Harrington Center",Lose,3,True,160,False,19:26,"MISS LAYUP by MULLANEY,JEFF",,,,,,,"MISS LAYUP by MULLANEY,JEFF",1,layup,missed,centre college,"mullaney,jeff",,"['ellis,bryon', 'ross,greg', 'mullaney,jeff', 'karsner,josh', 'griggs,matt']","['hartnett,michael', 'meyer,joe', 'shontz,corey', 'hester,mark', 'hubbard,kyle']",1166.0,centre college,1,0,0.0,0
3,3,701,John Carroll University,Centre College,0,92-91,"39,38,14","36,41,15",0-1,2-0,,,11/18/11,5:18 PM,,"Cincinnati, OH MSJ Harrington Center",Lose,3,True,160,False,--,,,,,"REBOUND DEF by SHONTZ,COREY",,,"REBOUND DEF by SHONTZ,COREY",1,defensive rebound,,john carroll university,"shontz,corey",,"['ellis,bryon', 'ross,greg', 'mullaney,jeff', 'karsner,josh', 'griggs,matt']","['hartnett,michael', 'meyer,joe', 'shontz,corey', 'hester,mark', 'hubbard,kyle']",,centre college,1,0,0.0,0
4,4,701,John Carroll University,Centre College,0,92-91,"39,38,14","36,41,15",0-1,2-0,,,11/18/11,5:18 PM,,"Cincinnati, OH MSJ Harrington Center",Lose,3,True,160,False,19:13,,,,,"MISS 3PTR by MEYER,JOE",,,"MISS 3PTR by MEYER,JOE",1,three pointer,missed,john carroll university,"meyer,joe",,"['ellis,bryon', 'ross,greg', 'mullaney,jeff', 'karsner,josh', 'griggs,matt']","['hartnett,michael', 'meyer,joe', 'shontz,corey', 'hester,mark', 'hubbard,kyle']",1153.0,john carroll university,2,0,0.0,1
5,5,701,John Carroll University,Centre College,0,92-91,"39,38,14","36,41,15",0-1,2-0,,,11/18/11,5:18 PM,,"Cincinnati, OH MSJ Harrington Center",Lose,3,True,160,False,--,"REBOUND DEF by ELLIS,BRYON",,,,,,,"REBOUND DEF by ELLIS,BRYON",1,defensive rebound,,centre college,"ellis,bryon",,"['ellis,bryon', 'ross,greg', 'mullaney,jeff', 'karsner,josh', 'griggs,matt']","['hartnett,michael', 'meyer,joe', 'shontz,corey', 'hester,mark', 'hubbard,kyle']",,john carroll university,2,0,0.0,0
6,6,701,John Carroll University,Centre College,0,92-91,"39,38,14","36,41,15",0-1,2-0,,,11/18/11,5:18 PM,,"Cincinnati, OH MSJ Harrington Center",Lose,3,True,160,False,18:53,"MISS LAYUP by KARSNER,JOSH",,,,,,,"MISS LAYUP by KARSNER,JOSH",1,layup,missed,centre college,"karsner,josh",,"['ellis,bryon', 'ross,greg', 'mullaney,jeff', 'karsner,josh', 'griggs,matt']","['hartnett,michael', 'meyer,joe', 'shontz,corey', 'hester,mark', 'hubbard,kyle']",1133.0,centre college,3,0,0.0,1
7,7,701,John Carroll University,Centre College,0,92-91,"39,38,14","36,41,15",0-1,2-0,,,11/18/11,5:18 PM,,"Cincinnati, OH MSJ Harrington Center",Lose,3,True,160,False,--,"REBOUND OFF by KARSNER,JOSH",,,,,,,"REBOUND OFF by KARSNER,JOSH",1,offensive rebound,,centre college,"karsner,josh",,"['ellis,bryon', 'ross,greg', 'mullaney,jeff', 'karsner,josh', 'griggs,matt']","['hartnett,michael', 'meyer,joe', 'shontz,corey', 'hester,mark', 'hubbard,kyle']",,centre college,3,0,0.0,0
8,8,701,John Carroll University,Centre College,0,92-91,"39,38,14","36,41,15",0-1,2-0,,,11/18/11,5:18 PM,,"Cincinnati, OH MSJ Harrington Center",Lose,3,True,160,False,18:49,"GOOD LAYUP by KARSNER,JOSH(in the paint)",2.0,,0.0,,CENTRE_M 2-0 (+2),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",1,layup,good,centre college,"karsner,josh",2.0,"['ellis,bryon', 'ross,greg', 'mullaney,jeff', 'karsner,josh', 'griggs,matt']","['hartnett,michael', 'meyer,joe', 'shontz,corey', 'hester,mark', 'hubbard,kyle']",1129.0,centre college,3,0,0.0,0
9,9,701,John Carroll University,Centre College,0,92-91,"39,38,14","36,41,15",0-1,2-0,,,11/18/11,5:18 PM,,"Cincinnati, OH MSJ Harrington Center",Lose,3,True,160,False,18:38,,2.0,,3.0,"GOOD 3PTR by HARTNETT,MICHAEL",JCU 2-3 (-1),,"GOOD 3PTR by HARTNETT,MICHAEL",1,three pointer,good,john carroll university,"hartnett,michael",3.0,"['ellis,bryon', 'ross,greg', 'mullaney,jeff', 'karsner,josh', 'griggs,matt']","['hartnett,michael', 'meyer,joe', 'shontz,corey', 'hester,mark', 'hubbard,kyle']",1118.0,centre college,3,0,0.0,0
