,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway,PlayOfPoss
0,0,705,Millsaps,Centre College,1,65-50,"22,28","38,27",3-2 (0-1 SCAC,4-2 (1-0 SCAC,,,12/02/11,8:00 p.m.,,"Jackson, Miss.",Lose,2,False,221,False,19:46,,0,,2,"GOOD JUMPER by BROWN,JEFF",MSPS 0-2 (-2),,"GOOD JUMPER by BROWN,JEFF",1,jumper,good,millsaps,"brown,jeff",2.0,"['ross,greg', 'mullaney,jeff', 'karsner,josh', 'griggs,matt', 'ellis,bryon']","['brown,jeff', 'meades,taylor', 'merkel,brian', 'kinnear,kyle', 'white,tim']",1186.0,millsaps,1,0,0.0,1
1,1,705,Millsaps,Centre College,1,65-50,"22,28","38,27",3-2 (0-1 SCAC,4-2 (1-0 SCAC,,,12/02/11,8:00 p.m.,,"Jackson, Miss.",Lose,2,False,221,False,--,,0,,2,"ASSIST  by MEADES,TAYLOR",,,"ASSIST  by MEADES,TAYLOR",1,assist,,millsaps,"meades,taylor",,"['ross,greg', 'mullaney,jeff', 'karsner,josh', 'griggs,matt', 'ellis,bryon']","['brown,jeff', 'meades,taylor', 'merkel,brian', 'kinnear,kyle', 'white,tim']",,millsaps,1,0,0.0,0
2,2,705,Millsaps,Centre College,1,65-50,"22,28","38,27",3-2 (0-1 SCAC,4-2 (1-0 SCAC,,,12/02/11,8:00 p.m.,,"Jackson, Miss.",Lose,2,False,221,False,19:31,,0,,2,"FOUL  by WHITE,TIM",,,"FOUL  by WHITE,TIM",1,foul,,millsaps,"white,tim",,"['ross,greg', 'mullaney,jeff', 'karsner,josh', 'griggs,matt', 'ellis,bryon']","['brown,jeff', 'meades,taylor', 'merkel,brian', 'kinnear,kyle', 'white,tim']",1171.0,millsaps,1,0,0.0,0
3,3,705,Millsaps,Centre College,1,65-50,"22,28","38,27",3-2 (0-1 SCAC,4-2 (1-0 SCAC,,,12/02/11,8:00 p.m.,,"Jackson, Miss.",Lose,2,False,221,False,19:17,"TURNOVER  by ROSS,GREG",0,,2,,,,"TURNOVER  by ROSS,GREG",1,turnover,,centre college,"ross,greg",,"['ross,greg', 'mullaney,jeff', 'karsner,josh', 'griggs,matt', 'ellis,bryon']","['brown,jeff', 'meades,taylor', 'merkel,brian', 'kinnear,kyle', 'white,tim']",1157.0,millsaps,1,0,0.0,0
4,4,705,Millsaps,Centre College,1,65-50,"22,28","38,27",3-2 (0-1 SCAC,4-2 (1-0 SCAC,,,12/02/11,8:00 p.m.,,"Jackson, Miss.",Lose,2,False,221,False,19:16,,0,,2,"STEAL  by MERKEL,BRIAN",,,"STEAL  by MERKEL,BRIAN",1,steal,,millsaps,,,"['ross,greg', 'mullaney,jeff', 'karsner,josh', 'griggs,matt', 'ellis,bryon']","['brown,jeff', 'meades,taylor', 'merkel,brian', 'kinnear,kyle', 'white,tim']",1156.0,millsaps,1,0,0.0,0
5,5,705,Millsaps,Centre College,1,65-50,"22,28","38,27",3-2 (0-1 SCAC,4-2 (1-0 SCAC,,,12/02/11,8:00 p.m.,,"Jackson, Miss.",Lose,2,False,221,False,19:10,,0,,4,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",MSPS 0-4 (-4),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",1,layup,good,millsaps,"meades,taylor",2.0,"['ross,greg', 'mullaney,jeff', 'karsner,josh', 'griggs,matt', 'ellis,bryon']","['brown,jeff', 'meades,taylor', 'merkel,brian', 'kinnear,kyle', 'white,tim']",1150.0,millsaps,1,0,0.0,0
6,6,705,Millsaps,Centre College,1,65-50,"22,28","38,27",3-2 (0-1 SCAC,4-2 (1-0 SCAC,,,12/02/11,8:00 p.m.,,"Jackson, Miss.",Lose,2,False,221,False,19:10,"FOUL  by ELLIS,BRYON",0,,4,,,,"FOUL  by ELLIS,BRYON",1,foul,,centre college,"ellis,bryon",,"['ross,greg', 'mullaney,jeff', 'karsner,josh', 'griggs,matt', 'ellis,bryon']","['brown,jeff', 'meades,taylor', 'merkel,brian', 'kinnear,kyle', 'white,tim']",1150.0,millsaps,1,0,0.0,0
7,7,705,Millsaps,Centre College,1,65-50,"22,28","38,27",3-2 (0-1 SCAC,4-2 (1-0 SCAC,,,12/02/11,8:00 p.m.,,"Jackson, Miss.",Lose,2,False,221,False,19:10,,0,,5,"GOOD FT by MEADES,TAYLOR",MSPS 0-5 (-5),,"GOOD FT by MEADES,TAYLOR",1,free throw,good,millsaps,"meades,taylor",1.0,"['ross,greg', 'mullaney,jeff', 'karsner,josh', 'griggs,matt', 'ellis,bryon']","['brown,jeff', 'meades,taylor', 'merkel,brian', 'kinnear,kyle', 'white,tim']",1150.0,millsaps,1,0,0.0,0
8,8,705,Millsaps,Centre College,1,65-50,"22,28","38,27",3-2 (0-1 SCAC,4-2 (1-0 SCAC,,,12/02/11,8:00 p.m.,,"Jackson, Miss.",Lose,2,False,221,False,18:48,"MISS 3PTR by ELLIS,BRYON",0,,5,,,,"MISS 3PTR by ELLIS,BRYON",1,three pointer,missed,centre college,"ellis,bryon",,"['ross,greg', 'mullaney,jeff', 'karsner,josh', 'griggs,matt', 'ellis,bryon']","['brown,jeff', 'meades,taylor', 'merkel,brian', 'kinnear,kyle', 'white,tim']",1128.0,millsaps,1,0,0.0,0
9,9,705,Millsaps,Centre College,1,65-50,"22,28","38,27",3-2 (0-1 SCAC,4-2 (1-0 SCAC,,,12/02/11,8:00 p.m.,,"Jackson, Miss.",Lose,2,False,221,False,--,,0,,5,"REBOUND DEF by BROWN,JEFF",,,"REBOUND DEF by BROWN,JEFF",1,defensive rebound,,millsaps,"brown,jeff",,"['ross,greg', 'mullaney,jeff', 'karsner,josh', 'griggs,matt', 'ellis,bryon']","['brown,jeff', 'meades,taylor', 'merkel,brian', 'kinnear,kyle', 'white,tim']",,millsaps,1,0,0.0,0
