,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway,PlayOfPoss
0,0,714,Hendrix,Centre,1,77-65,"32,33","33,44",3-12,10-5,2-5,4-3,01/15/12,3 p.m.,,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,191,False,19:42,,0,,3,"GOOD 3PTR by GOODMAN,CHRIS",HC 0-3 (-3),,"GOOD 3PTR by GOODMAN,CHRIS",1,three pointer,good,hendrix,"goodman,chris",3.0,"['karsner,josh', 'lopez,collin', 'mullaney,jeff', 'ross,greg', 'ellis,bryon']","['heathscott,nick', 'martin,ammon', 'goodman,chris', 'primm,colton', 'riley,jaren']",1182.0,hendrix,1,0,0.0,1
1,1,714,Hendrix,Centre,1,77-65,"32,33","33,44",3-12,10-5,2-5,4-3,01/15/12,3 p.m.,,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,191,False,--,,0,,3,"ASSIST  by MARTIN,AMMON",,,"ASSIST  by MARTIN,AMMON",1,assist,,hendrix,"martin,ammon",,"['karsner,josh', 'lopez,collin', 'mullaney,jeff', 'ross,greg', 'ellis,bryon']","['heathscott,nick', 'martin,ammon', 'goodman,chris', 'primm,colton', 'riley,jaren']",,hendrix,1,0,0.0,0
2,2,714,Hendrix,Centre,1,77-65,"32,33","33,44",3-12,10-5,2-5,4-3,01/15/12,3 p.m.,,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,191,False,19:19,"TURNOVER  by KARSNER,JOSH",0,,3,,,,"TURNOVER  by KARSNER,JOSH",1,turnover,,centre,"karsner,josh",,"['karsner,josh', 'lopez,collin', 'mullaney,jeff', 'ross,greg', 'ellis,bryon']","['heathscott,nick', 'martin,ammon', 'goodman,chris', 'primm,colton', 'riley,jaren']",1159.0,hendrix,1,0,0.0,0
3,3,714,Hendrix,Centre,1,77-65,"32,33","33,44",3-12,10-5,2-5,4-3,01/15/12,3 p.m.,,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,191,False,19:19,"FOUL  by KARSNER,JOSH",0,,3,,,,"FOUL  by KARSNER,JOSH",1,foul,,centre,"karsner,josh",,"['karsner,josh', 'lopez,collin', 'mullaney,jeff', 'ross,greg', 'ellis,bryon']","['heathscott,nick', 'martin,ammon', 'goodman,chris', 'primm,colton', 'riley,jaren']",1159.0,hendrix,1,0,0.0,0
4,4,714,Hendrix,Centre,1,77-65,"32,33","33,44",3-12,10-5,2-5,4-3,01/15/12,3 p.m.,,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,191,False,18:58,,0,,3,"MISS LAYUP by PRIMM,COLTON",,,"MISS LAYUP by PRIMM,COLTON",1,layup,missed,hendrix,"primm,colton",,"['karsner,josh', 'lopez,collin', 'mullaney,jeff', 'ross,greg', 'ellis,bryon']","['heathscott,nick', 'martin,ammon', 'goodman,chris', 'primm,colton', 'riley,jaren']",1138.0,hendrix,1,0,0.0,0
5,5,714,Hendrix,Centre,1,77-65,"32,33","33,44",3-12,10-5,2-5,4-3,01/15/12,3 p.m.,,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,191,False,--,"REBOUND DEF by ROSS,GREG",0,,3,,,,"REBOUND DEF by ROSS,GREG",1,defensive rebound,,centre,"ross,greg",,"['karsner,josh', 'lopez,collin', 'mullaney,jeff', 'ross,greg', 'ellis,bryon']","['heathscott,nick', 'martin,ammon', 'goodman,chris', 'primm,colton', 'riley,jaren']",,hendrix,1,0,0.0,0
6,6,714,Hendrix,Centre,1,77-65,"32,33","33,44",3-12,10-5,2-5,4-3,01/15/12,3 p.m.,,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,191,False,18:50,"GOOD LAYUP by KARSNER,JOSH(in the paint)",2,,3,,CENTRE_M 2-3 (-1),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",1,layup,good,centre,"karsner,josh",2.0,"['karsner,josh', 'lopez,collin', 'mullaney,jeff', 'ross,greg', 'ellis,bryon']","['heathscott,nick', 'martin,ammon', 'goodman,chris', 'primm,colton', 'riley,jaren']",1130.0,centre,2,0,0.0,1
7,7,714,Hendrix,Centre,1,77-65,"32,33","33,44",3-12,10-5,2-5,4-3,01/15/12,3 p.m.,,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,191,False,--,"ASSIST  by LOPEZ,COLLIN",2,,3,,,,"ASSIST  by LOPEZ,COLLIN",1,assist,,centre,"lopez,collin",,"['karsner,josh', 'lopez,collin', 'mullaney,jeff', 'ross,greg', 'ellis,bryon']","['heathscott,nick', 'martin,ammon', 'goodman,chris', 'primm,colton', 'riley,jaren']",,centre,2,0,0.0,0
8,8,714,Hendrix,Centre,1,77-65,"32,33","33,44",3-12,10-5,2-5,4-3,01/15/12,3 p.m.,,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,191,False,18:47,,2,,3,"FOUL  by PRIMM,COLTON",,,"FOUL  by PRIMM,COLTON",1,foul,,hendrix,"primm,colton",,"['karsner,josh', 'lopez,collin', 'mullaney,jeff', 'ross,greg', 'ellis,bryon']","['heathscott,nick', 'martin,ammon', 'goodman,chris', 'primm,colton', 'riley,jaren']",1127.0,centre,2,0,0.0,0
9,9,714,Hendrix,Centre,1,77-65,"32,33","33,44",3-12,10-5,2-5,4-3,01/15/12,3 p.m.,,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,191,False,18:47,"GOOD FT by KARSNER,JOSH",3,,3,,CENTRE_M 3-3 (0),,"GOOD FT by KARSNER,JOSH",1,free throw,good,centre,"karsner,josh",1.0,"['karsner,josh', 'lopez,collin', 'mullaney,jeff', 'ross,greg', 'ellis,bryon']","['heathscott,nick', 'martin,ammon', 'goodman,chris', 'primm,colton', 'riley,jaren']",1127.0,centre,2,0,0.0,0
