,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway,1stPlayOfPoss
0,0,5301,Centre,Millsaps,1,77-92,"39,53","39,38",5-13,4-14,2-6,2-6,01/27/23,8:00 PM,,"Alumni Gymnasium, Danville, KY",Win,2,False,508,False,19:31,"MISS LAYUP by UGHOVWA,NICHOLAS(in the paint)",,,,,,,"MISS LAYUP by UGHOVWA,NICHOLAS(in the paint)",1,layup,missed,millsaps,"ughovwa,nicholas",,"['watson,doug', 'bonnecaze,stewart', 'gasca,dakota', 'ursin,aaron', 'ughovwa,nicholas']","['stinnett,cade', 'wilson,drew', 'moore,chez', 'baughman,carter', 'raymer,colby']",1171.0,centre,1,0,0.0,1
1,1,5301,Centre,Millsaps,1,77-92,"39,53","39,38",5-13,4-14,2-6,2-6,01/27/23,8:00 PM,,"Alumni Gymnasium, Danville, KY",Win,2,False,508,False,--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1,defensive rebound,,centre,"moore,chez",,"['watson,doug', 'bonnecaze,stewart', 'gasca,dakota', 'ursin,aaron', 'ughovwa,nicholas']","['stinnett,cade', 'wilson,drew', 'moore,chez', 'baughman,carter', 'raymer,colby']",,centre,1,0,0.0,0
2,2,5301,Centre,Millsaps,1,77-92,"39,53","39,38",5-13,4-14,2-6,2-6,01/27/23,8:00 PM,,"Alumni Gymnasium, Danville, KY",Win,2,False,508,False,19:15,,0.0,,3.0,"GOOD 3PTR by BAUGHMAN,CARTER",Centre 0-3 (+3),,"GOOD 3PTR by BAUGHMAN,CARTER",1,three pointer,good,centre,"baughman,carter",3.0,"['watson,doug', 'bonnecaze,stewart', 'gasca,dakota', 'ursin,aaron', 'ughovwa,nicholas']","['stinnett,cade', 'wilson,drew', 'moore,chez', 'baughman,carter', 'raymer,colby']",1155.0,centre,1,0,0.0,0
3,3,5301,Centre,Millsaps,1,77-92,"39,53","39,38",5-13,4-14,2-6,2-6,01/27/23,8:00 PM,,"Alumni Gymnasium, Danville, KY",Win,2,False,508,False,--,,0.0,,3.0,"ASSIST  by STINNETT,CADE",,,"ASSIST  by STINNETT,CADE",1,assist,,centre,"stinnett,cade",,"['watson,doug', 'bonnecaze,stewart', 'gasca,dakota', 'ursin,aaron', 'ughovwa,nicholas']","['stinnett,cade', 'wilson,drew', 'moore,chez', 'baughman,carter', 'raymer,colby']",,centre,1,0,0.0,0
4,4,5301,Centre,Millsaps,1,77-92,"39,53","39,38",5-13,4-14,2-6,2-6,01/27/23,8:00 PM,,"Alumni Gymnasium, Danville, KY",Win,2,False,508,False,19:07,"GOOD 3PTR by GASCA,DAKOTA",3.0,,3.0,,Mill 3-3 (0),,"GOOD 3PTR by GASCA,DAKOTA",1,three pointer,good,millsaps,"gasca,dakota",3.0,"['watson,doug', 'bonnecaze,stewart', 'gasca,dakota', 'ursin,aaron', 'ughovwa,nicholas']","['stinnett,cade', 'wilson,drew', 'moore,chez', 'baughman,carter', 'raymer,colby']",1147.0,centre,1,0,0.0,0
5,5,5301,Centre,Millsaps,1,77-92,"39,53","39,38",5-13,4-14,2-6,2-6,01/27/23,8:00 PM,,"Alumni Gymnasium, Danville, KY",Win,2,False,508,False,--,"ASSIST  by WATSON,DOUG",3.0,,3.0,,,,"ASSIST  by WATSON,DOUG",1,assist,,millsaps,"watson,doug",,"['watson,doug', 'bonnecaze,stewart', 'gasca,dakota', 'ursin,aaron', 'ughovwa,nicholas']","['stinnett,cade', 'wilson,drew', 'moore,chez', 'baughman,carter', 'raymer,colby']",,centre,1,0,0.0,0
6,6,5301,Centre,Millsaps,1,77-92,"39,53","39,38",5-13,4-14,2-6,2-6,01/27/23,8:00 PM,,"Alumni Gymnasium, Danville, KY",Win,2,False,508,False,18:47,,3.0,,3.0,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1,three pointer,missed,centre,"baughman,carter",,"['watson,doug', 'bonnecaze,stewart', 'gasca,dakota', 'ursin,aaron', 'ughovwa,nicholas']","['stinnett,cade', 'wilson,drew', 'moore,chez', 'baughman,carter', 'raymer,colby']",1127.0,centre,1,0,0.0,0
7,7,5301,Centre,Millsaps,1,77-92,"39,53","39,38",5-13,4-14,2-6,2-6,01/27/23,8:00 PM,,"Alumni Gymnasium, Danville, KY",Win,2,False,508,False,--,,3.0,,3.0,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",1,offensive rebound,,centre,"moore,chez",,"['watson,doug', 'bonnecaze,stewart', 'gasca,dakota', 'ursin,aaron', 'ughovwa,nicholas']","['stinnett,cade', 'wilson,drew', 'moore,chez', 'baughman,carter', 'raymer,colby']",,centre,1,0,0.0,0
8,8,5301,Centre,Millsaps,1,77-92,"39,53","39,38",5-13,4-14,2-6,2-6,01/27/23,8:00 PM,,"Alumni Gymnasium, Danville, KY",Win,2,False,508,False,18:28,,3.0,,5.0,"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 3-5 (+2),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1,layup,good,centre,"moore,chez",2.0,"['watson,doug', 'bonnecaze,stewart', 'gasca,dakota', 'ursin,aaron', 'ughovwa,nicholas']","['stinnett,cade', 'wilson,drew', 'moore,chez', 'baughman,carter', 'raymer,colby']",1108.0,centre,1,0,0.0,0
9,9,5301,Centre,Millsaps,1,77-92,"39,53","39,38",5-13,4-14,2-6,2-6,01/27/23,8:00 PM,,"Alumni Gymnasium, Danville, KY",Win,2,False,508,False,18:28,,3.0,,5.0,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1,layup,missed,centre,"moore,chez",,"['watson,doug', 'bonnecaze,stewart', 'gasca,dakota', 'ursin,aaron', 'ughovwa,nicholas']","['stinnett,cade', 'wilson,drew', 'moore,chez', 'baughman,carter', 'raymer,colby']",1108.0,centre,1,0,0.0,0
