,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway,1stPlayOfPoss
0,0,5308,Berry,Centre,1,64-86,"47,39","32,32",24-2,5-20,14-0,2-12,02/19/23,3:00 PM,,"The Cage Center, Rome, GA",Win,2,False,512,False,19:38,"MISS LAYUP by TAYLOR,MARSHALL(in the paint)",,,,,,,"MISS LAYUP by TAYLOR,MARSHALL(in the paint)",1,layup,missed,centre,"taylor,marshall",,"['stinnett,cade', 'baughman,carter', 'knochelmann,pete', 'taylor,marshall', 'wilson,drew']","['ellis,chase', 'campbell,blake', 'benham,braxton', 'honroth,owen', 'costas,riley']",1178.0,berry,1,0,0.0,1
1,1,5308,Berry,Centre,1,64-86,"47,39","32,32",24-2,5-20,14-0,2-12,02/19/23,3:00 PM,,"The Cage Center, Rome, GA",Win,2,False,512,False,--,,,,,"REBOUND DEF by COSTAS,RILEY",,,"REBOUND DEF by COSTAS,RILEY",1,defensive rebound,,berry,"costas,riley",,"['stinnett,cade', 'baughman,carter', 'knochelmann,pete', 'taylor,marshall', 'wilson,drew']","['ellis,chase', 'campbell,blake', 'benham,braxton', 'honroth,owen', 'costas,riley']",,berry,1,0,0.0,0
2,2,5308,Berry,Centre,1,64-86,"47,39","32,32",24-2,5-20,14-0,2-12,02/19/23,3:00 PM,,"The Cage Center, Rome, GA",Win,2,False,512,False,19:31,,,,,"TURNOVER  by HONROTH,OWEN",,,"TURNOVER  by HONROTH,OWEN",1,turnover,,berry,"honroth,owen",,"['stinnett,cade', 'baughman,carter', 'knochelmann,pete', 'taylor,marshall', 'wilson,drew']","['ellis,chase', 'campbell,blake', 'benham,braxton', 'honroth,owen', 'costas,riley']",1171.0,berry,1,0,0.0,0
3,3,5308,Berry,Centre,1,64-86,"47,39","32,32",24-2,5-20,14-0,2-12,02/19/23,3:00 PM,,"The Cage Center, Rome, GA",Win,2,False,512,False,19:31,"STEAL  by STINNETT,CADE",,,,,,,"STEAL  by STINNETT,CADE",1,steal,,centre,,,"['stinnett,cade', 'baughman,carter', 'knochelmann,pete', 'taylor,marshall', 'wilson,drew']","['ellis,chase', 'campbell,blake', 'benham,braxton', 'honroth,owen', 'costas,riley']",1171.0,berry,1,0,0.0,0
4,4,5308,Berry,Centre,1,64-86,"47,39","32,32",24-2,5-20,14-0,2-12,02/19/23,3:00 PM,,"The Cage Center, Rome, GA",Win,2,False,512,False,19:22,"GOOD JUMPER by KNOCHELMANN,PETE(in the paint)",2.0,,0.0,,Centre 2-0 (+2),,"GOOD JUMPER by KNOCHELMANN,PETE(in the paint)",1,jumper,good,centre,"knochelmann,pete",2.0,"['stinnett,cade', 'baughman,carter', 'knochelmann,pete', 'taylor,marshall', 'wilson,drew']","['ellis,chase', 'campbell,blake', 'benham,braxton', 'honroth,owen', 'costas,riley']",1162.0,centre,2,0,0.0,1
5,5,5308,Berry,Centre,1,64-86,"47,39","32,32",24-2,5-20,14-0,2-12,02/19/23,3:00 PM,,"The Cage Center, Rome, GA",Win,2,False,512,False,--,"ASSIST  by BAUGHMAN,CARTER",2.0,,0.0,,,,"ASSIST  by BAUGHMAN,CARTER",1,assist,,centre,"baughman,carter",,"['stinnett,cade', 'baughman,carter', 'knochelmann,pete', 'taylor,marshall', 'wilson,drew']","['ellis,chase', 'campbell,blake', 'benham,braxton', 'honroth,owen', 'costas,riley']",,centre,2,0,0.0,0
6,6,5308,Berry,Centre,1,64-86,"47,39","32,32",24-2,5-20,14-0,2-12,02/19/23,3:00 PM,,"The Cage Center, Rome, GA",Win,2,False,512,False,19:22,,2.0,,0.0,"FOUL  by CAMPBELL,BLAKE",,,"FOUL  by CAMPBELL,BLAKE",1,foul,,berry,"campbell,blake",,"['stinnett,cade', 'baughman,carter', 'knochelmann,pete', 'taylor,marshall', 'wilson,drew']","['ellis,chase', 'campbell,blake', 'benham,braxton', 'honroth,owen', 'costas,riley']",1162.0,centre,2,0,0.0,0
7,7,5308,Berry,Centre,1,64-86,"47,39","32,32",24-2,5-20,14-0,2-12,02/19/23,3:00 PM,,"The Cage Center, Rome, GA",Win,2,False,512,False,19:22,"GOOD FT by KNOCHELMANN,PETE",3.0,,0.0,,Centre 3-0 (+3),,"GOOD FT by KNOCHELMANN,PETE",1,free throw,good,centre,"knochelmann,pete",1.0,"['stinnett,cade', 'baughman,carter', 'knochelmann,pete', 'taylor,marshall', 'wilson,drew']","['ellis,chase', 'campbell,blake', 'benham,braxton', 'honroth,owen', 'costas,riley']",1162.0,centre,2,0,0.0,0
8,8,5308,Berry,Centre,1,64-86,"47,39","32,32",24-2,5-20,14-0,2-12,02/19/23,3:00 PM,,"The Cage Center, Rome, GA",Win,2,False,512,False,18:55,,3.0,,2.0,"GOOD LAYUP by ELLIS,CHASE(in the paint)",Berry 3-2 (+1),,"GOOD LAYUP by ELLIS,CHASE(in the paint)",1,layup,good,berry,"ellis,chase",2.0,"['stinnett,cade', 'baughman,carter', 'knochelmann,pete', 'taylor,marshall', 'wilson,drew']","['ellis,chase', 'campbell,blake', 'benham,braxton', 'honroth,owen', 'costas,riley']",1135.0,centre,2,0,0.0,0
9,9,5308,Berry,Centre,1,64-86,"47,39","32,32",24-2,5-20,14-0,2-12,02/19/23,3:00 PM,,"The Cage Center, Rome, GA",Win,2,False,512,False,18:39,"TURNOVER  by TAYLOR,MARSHALL",3.0,,2.0,,,,"TURNOVER  by TAYLOR,MARSHALL",1,turnover,,centre,"taylor,marshall",,"['stinnett,cade', 'baughman,carter', 'knochelmann,pete', 'taylor,marshall', 'wilson,drew']","['ellis,chase', 'campbell,blake', 'benham,braxton', 'honroth,owen', 'costas,riley']",1119.0,centre,2,0,0.0,0
