game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,19:44,,0,3,"GOOD 3PTR by MEADES,TAYLOR",3,1,,,0,0,,,3ptr,good,1,1,1.0,1.0,39,2384
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,19:20,"MISS JUMPER by CALDARERA,LUKE",0,3,,3,1,jumper,miss,1,0,0.0,,,,1,1,1.0,1.0,39,2360
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,19:20,"REBOUND OFF by BEALL,RYAN",0,3,,3,1,,,1,0,0.0,,,,1,1,1.0,1.0,39,2360
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,19:14,"GOOD 3PTR by KITZINGER,ROBERT",3,3,,0,1,3ptr,good,2,1,0.5,1.0,,,1,1,1.0,1.0,39,2354
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,19:14,"ASSIST  by BEALL,RYAN",3,3,,0,1,,,2,1,0.5,1.0,,,1,1,1.0,1.0,39,2354
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,18:47,,3,3,"TURNOVER  by MERKEL,BRIAN",0,1,,,2,1,0.5,1.0,,,1,1,1.0,1.0,38,2327
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,18:27,"GOOD JUMPER by CALDARERA,LUKE",5,3,,-2,1,jumper,good,3,1,0.667,1.0,,,1,1,1.0,1.0,38,2307
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,18:27,"ASSIST  by KITZINGER,ROBERT",5,3,,-2,1,,,3,1,0.667,1.0,,,1,1,1.0,1.0,38,2307
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,18:05,,5,3,"TURNOVER  by MEADES,TAYLOR",-2,1,,,3,1,0.667,1.0,,,1,1,1.0,1.0,38,2285
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,18:04,"STEAL  by LAMBERT,ZACH",5,3,,-2,1,,,3,1,0.667,1.0,,,1,1,1.0,1.0,38,2284
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,17:54,"MISS 3PTR by KITZINGER,ROBERT",5,3,,-2,1,3ptr,miss,4,2,0.5,0.5,,,1,1,1.0,1.0,37,2274
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,17:54,"REBOUND OFF by ALLAN,CLARKE",5,3,,-2,1,,,4,2,0.5,0.5,,,1,1,1.0,1.0,37,2274
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,17:50,,5,3,"FOUL  by MONTGOMERY,JAYSON",-2,1,,,4,2,0.5,0.5,foul,,1,1,1.0,1.0,37,2270
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,17:50,"MISS FT by ALLAN,CLARKE",5,3,,-2,1,ft,miss,5,2,0.4,0.5,,,1,1,1.0,1.0,37,2270
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,17:50,REBOUND DEADB by TEAM,5,3,,-2,1,,,5,2,0.4,0.5,,,1,1,1.0,1.0,37,2270
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,17:50,"GOOD FT by ALLAN,CLARKE",6,3,,-3,1,ft,good,6,2,0.5,0.5,,,1,1,1.0,1.0,37,2270
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,17:20,,6,3,"MISS JUMPER by MERKEL,BRIAN",-3,1,,,6,2,0.5,0.5,jumper,miss,2,1,0.5,1.0,37,2240
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,17:20,"REBOUND DEF by KITZINGER,ROBERT",6,3,,-3,1,,,6,2,0.5,0.5,,,2,1,0.5,1.0,37,2240
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,17:03,"GOOD LAYUP by CALDARERA,LUKE(in the paint)",8,3,,-5,1,layup,good,7,2,0.571,0.5,,,2,1,0.5,1.0,37,2223
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,17:03,,8,3,"FOUL  by SUMLER,LV",-5,1,,,7,2,0.571,0.5,foul,,2,1,0.5,1.0,37,2223
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,17:03,"MISS FT by CALDARERA,LUKE",8,3,,-5,1,ft,miss,8,2,0.5,0.5,,,2,1,0.5,1.0,37,2223
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,17:03,,8,3,"REBOUND DEF by CORTESE,NICK",-5,1,,,8,2,0.5,0.5,,,2,1,0.5,1.0,37,2223
20,Trinity (Tex.),Millsaps,53-45,53,45,"10-10, 7-5 SCAC","8-12, 3-9 SCAC",02/04/11,Lose,367,No Location Recorded,8:00 p.m.,16:39,"FOUL  by KITZINGER,ROBERT",8,3,,-5,1,foul,,8,2,0.5,0.5,,,2,1,0.5,1.0,36,2199
