game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,19:42,,0,0,"TURNOVER  by GILLIGAN,TULLY",0,1,,,0,0,,,,,0,0,,,39,2382
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,19:29,"MISS LAYUP by GALOW,ANDREW",0,0,,0,1,layup,miss,1,0,0.0,,,,0,0,,,39,2369
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,19:29,REBOUND DEADB by TEAM,0,0,,0,1,,,1,0,0.0,,,,0,0,,,39,2369
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,19:24,"FOUL  by LIVSEY,GEOFF",0,0,,0,1,foul,,1,0,0.0,,,,0,0,,,39,2364
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,19:11,,0,2,"GOOD JUMPER by CORTESE,NICK",2,1,,,1,0,0.0,,jumper,good,1,0,1.0,,39,2351
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,19:09,"FOUL  by MILLER,DREW",0,2,,2,1,foul,,1,0,0.0,,,,1,0,1.0,,39,2349
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,19:09,,0,3,"GOOD FT by CORTESE,NICK",3,1,,,1,0,0.0,,ft,good,2,0,1.0,,39,2349
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,18:49,"TURNOVER  by MILLER,DREW",0,3,,3,1,,,1,0,0.0,,,,2,0,1.0,,38,2329
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,18:29,"FOUL  by MILLER,DREW",0,3,,3,1,foul,,1,0,0.0,,,,2,0,1.0,,38,2309
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,18:29,,0,4,"GOOD FT by CORTESE,NICK",4,1,,,1,0,0.0,,ft,good,3,0,1.0,,38,2309
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,18:29,,0,5,"GOOD FT by CORTESE,NICK",5,1,,,1,0,0.0,,ft,good,4,0,1.0,,38,2309
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,18:29,"SUB IN by GALLAGHER,MICHAEL",0,5,,5,1,,,1,0,0.0,,,,4,0,1.0,,38,2309
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,18:29,"SUB OUT by MILLER,DREW",0,5,,5,1,,,1,0,0.0,,,,4,0,1.0,,38,2309
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,18:05,"MISS 3PTR by GALLAGHER,MICHAEL",0,5,,5,1,3ptr,miss,2,1,0.0,0.0,,,4,0,1.0,,38,2285
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,18:05,"REBOUND OFF by LIVSEY,GEOFF",0,5,,5,1,,,2,1,0.0,0.0,,,4,0,1.0,,38,2285
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,18:04,,0,5,"FOUL  by ALLISON,BRANDON",5,1,,,2,1,0.0,0.0,foul,,4,0,1.0,,38,2284
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,18:04,"GOOD FT by LIVSEY,GEOFF",1,5,,4,1,ft,good,3,1,0.333,0.0,,,4,0,1.0,,38,2284
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,18:04,"GOOD FT by LIVSEY,GEOFF",2,5,,3,1,ft,good,4,1,0.5,0.0,,,4,0,1.0,,38,2284
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,17:46,,2,5,"MISS 3PTR by KASTNER,MURRAY",3,1,,,4,1,0.5,0.0,3ptr,miss,5,1,0.8,0.0,37,2266
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,17:46,"REBOUND DEF by GALOW,ANDREW",2,5,,3,1,,,4,1,0.5,0.0,,,5,1,0.8,0.0,37,2266
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,17:27,"MISS LAYUP by HARTWELL,THEO",2,5,,3,1,layup,miss,5,1,0.4,0.0,,,5,1,0.8,0.0,37,2247
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,17:13,"MISS LAYUP by HARTWELL,THEO",2,5,,3,1,layup,miss,6,1,0.333,0.0,,,5,1,0.8,0.0,37,2233
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,17:13,,2,5,"REBOUND DEF by GILLIGAN,TULLY",3,1,,,6,1,0.333,0.0,,,5,1,0.8,0.0,37,2233
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,17:03,,2,5,"FOUL  by GILLIGAN,TULLY",3,1,,,6,1,0.333,0.0,foul,,5,1,0.8,0.0,37,2223
20,Rhodes,Millsaps,65-63,65,63,"11-8, 6-2","4-15, 2-6",02/01/13,Lose,No Attendence Recorded,No Location Recorded,8:00 PM,16:48,"GOOD LAYUP by HARTWELL,THEO(in the paint)",4,5,,1,1,layup,good,7,1,0.429,0.0,,,5,1,0.8,0.0,36,2208
