game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
4,Millsaps,Covenant,67-70,67,70,1-3,3-1,11/23/13,Win,345,No Location Recorded,4 p.m.,19:58,,0,0,"TURNOVER  by BOYD,CHRIS",0,1,,,0,0,,,,,0,0,,,39,2398
4,Millsaps,Covenant,67-70,67,70,1-3,3-1,11/23/13,Win,345,No Location Recorded,4 p.m.,19:46,,0,0,"FOUL  by TURNER,MICAH",0,1,,,0,0,,,foul,,0,0,,,39,2386
4,Millsaps,Covenant,67-70,67,70,1-3,3-1,11/23/13,Win,345,No Location Recorded,4 p.m.,19:46,"GOOD FT by GILLIGAN,TULLY",1,0,,-1,1,ft,good,1,0,1.0,,,,0,0,,,39,2386
4,Millsaps,Covenant,67-70,67,70,1-3,3-1,11/23/13,Win,345,No Location Recorded,4 p.m.,19:46,"MISS FT by GILLIGAN,TULLY",1,0,,-1,1,ft,miss,2,0,0.5,,,,0,0,,,39,2386
4,Millsaps,Covenant,67-70,67,70,1-3,3-1,11/23/13,Win,345,No Location Recorded,4 p.m.,19:46,"REBOUND OFF by BERGER,RYAN",1,0,,-1,1,,,2,0,0.5,,,,0,0,,,39,2386
4,Millsaps,Covenant,67-70,67,70,1-3,3-1,11/23/13,Win,345,No Location Recorded,4 p.m.,19:21,"TURNOVER  by BERGER,RYAN",1,0,,-1,1,,,2,0,0.5,,,,0,0,,,39,2361
4,Millsaps,Covenant,67-70,67,70,1-3,3-1,11/23/13,Win,345,No Location Recorded,4 p.m.,19:20,,1,0,"STEAL  by DELANEY,JAKE",-1,1,,,2,0,0.5,,,,0,0,,,39,2360
4,Millsaps,Covenant,67-70,67,70,1-3,3-1,11/23/13,Win,345,No Location Recorded,4 p.m.,19:06,,1,2,"GOOD JUMPER by MCGRIFF,COLTON",1,1,,,2,0,0.5,,jumper,good,1,0,1.0,,39,2346
4,Millsaps,Covenant,67-70,67,70,1-3,3-1,11/23/13,Win,345,No Location Recorded,4 p.m.,18:47,"MISS JUMPER by KASTNER,MURRAY",1,2,,1,1,jumper,miss,3,0,0.333,,,,1,0,1.0,,38,2327
4,Millsaps,Covenant,67-70,67,70,1-3,3-1,11/23/13,Win,345,No Location Recorded,4 p.m.,18:47,,1,2,"REBOUND DEF by BOYD,CHRIS",1,1,,,3,0,0.333,,,,1,0,1.0,,38,2327
4,Millsaps,Covenant,67-70,67,70,1-3,3-1,11/23/13,Win,345,No Location Recorded,4 p.m.,18:30,,1,5,"GOOD 3PTR by MCGRIFF,COLTON",4,1,,,3,0,0.333,,3ptr,good,2,1,1.0,1.0,38,2310
4,Millsaps,Covenant,67-70,67,70,1-3,3-1,11/23/13,Win,345,No Location Recorded,4 p.m.,18:30,,1,5,"ASSIST  by FRIERSON,NATE",4,1,,,3,0,0.333,,,,2,1,1.0,1.0,38,2310
4,Millsaps,Covenant,67-70,67,70,1-3,3-1,11/23/13,Win,345,No Location Recorded,4 p.m.,18:22,,1,5,"FOUL  by DELANEY,JAKE",4,1,,,3,0,0.333,,foul,,2,1,1.0,1.0,38,2302
