game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
23,BCM,Millsaps,62-86,62,86,9-14,4-19,02/14/16,Win,117,No Location Recorded,3:00 PM,19:36,,0,0,"FOUL  by GAGEN,BRENNAN",0,1,,,0,0,,,foul,,0,0,,,39,2376
23,BCM,Millsaps,62-86,62,86,9-14,4-19,02/14/16,Win,117,No Location Recorded,3:00 PM,19:30,,0,0,"FOUL  by JONES,BLAKE",0,1,,,0,0,,,foul,,0,0,,,39,2370
23,BCM,Millsaps,62-86,62,86,9-14,4-19,02/14/16,Win,117,No Location Recorded,3:00 PM,19:28,"MISS LAYUP by SCHERRMAN,BLAKE",0,0,,0,1,layup,miss,1,0,0.0,,,,0,0,,,39,2368
23,BCM,Millsaps,62-86,62,86,9-14,4-19,02/14/16,Win,117,No Location Recorded,3:00 PM,19:28,,0,0,"REBOUND DEF by ATKINSON,QUINN",0,1,,,1,0,0.0,,,,0,0,,,39,2368
23,BCM,Millsaps,62-86,62,86,9-14,4-19,02/14/16,Win,117,No Location Recorded,3:00 PM,19:22,"FOUL  by MCCLOUD,ALTON",0,0,,0,1,foul,,1,0,0.0,,,,0,0,,,39,2362
23,BCM,Millsaps,62-86,62,86,9-14,4-19,02/14/16,Win,117,No Location Recorded,3:00 PM,19:20,,0,0,"MISS LAYUP by GERCHOW,ALEX",0,1,,,1,0,0.0,,layup,miss,1,0,0.0,,39,2360
23,BCM,Millsaps,62-86,62,86,9-14,4-19,02/14/16,Win,117,No Location Recorded,3:00 PM,19:20,"REBOUND DEF by MCCLOUD,LEE",0,0,,0,1,,,1,0,0.0,,,,1,0,0.0,,39,2360
23,BCM,Millsaps,62-86,62,86,9-14,4-19,02/14/16,Win,117,No Location Recorded,3:00 PM,19:13,"MISS 3PTR by SCHERRMAN,BLAKE",0,0,,0,1,3ptr,miss,2,1,0.0,0.0,,,1,0,0.0,,39,2353
23,BCM,Millsaps,62-86,62,86,9-14,4-19,02/14/16,Win,117,No Location Recorded,3:00 PM,19:13,"REBOUND OFF by JACOBS,OWEN",0,0,,0,1,,,2,1,0.0,0.0,,,1,0,0.0,,39,2353
23,BCM,Millsaps,62-86,62,86,9-14,4-19,02/14/16,Win,117,No Location Recorded,3:00 PM,19:09,"GOOD LAYUP by JACOBS,OWEN(in the paint)",2,0,,-2,1,layup,good,3,1,0.333,0.0,,,1,0,0.0,,39,2349
23,BCM,Millsaps,62-86,62,86,9-14,4-19,02/14/16,Win,117,No Location Recorded,3:00 PM,19:09,,2,0,"FOUL  by ROBERTSON,MARC",-2,1,,,3,1,0.333,0.0,foul,,1,0,0.0,,39,2349
23,BCM,Millsaps,62-86,62,86,9-14,4-19,02/14/16,Win,117,No Location Recorded,3:00 PM,19:09,,2,0,TIMEOUT 30SEC by TEAM,-2,1,,,3,1,0.333,0.0,,,1,0,0.0,,39,2349
23,BCM,Millsaps,62-86,62,86,9-14,4-19,02/14/16,Win,117,No Location Recorded,3:00 PM,19:09,"MISS FT by JACOBS,OWEN",2,0,,-2,1,ft,miss,4,1,0.25,0.0,,,1,0,0.0,,39,2349
23,BCM,Millsaps,62-86,62,86,9-14,4-19,02/14/16,Win,117,No Location Recorded,3:00 PM,19:09,,2,0,"REBOUND DEF by ROBERTSON,MARC",-2,1,,,4,1,0.25,0.0,,,1,0,0.0,,39,2349
23,BCM,Millsaps,62-86,62,86,9-14,4-19,02/14/16,Win,117,No Location Recorded,3:00 PM,18:53,,2,0,"MISS LAYUP by GERCHOW,ALEX",-2,1,,,4,1,0.25,0.0,layup,miss,2,0,0.0,,38,2333
