game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
4,Austin College,Millsaps,66-63,66,63,4-0,0-4,11/22/15,Lose,362,No Location Recorded,3:30 p.m.,19:44,"GOOD JUMPER by BAEHL,BRIAN(in the paint)",2,0,,-2,1,jumper,good,1,0,1.0,,,,0,0,,,39,2384
4,Austin College,Millsaps,66-63,66,63,4-0,0-4,11/22/15,Lose,362,No Location Recorded,3:30 p.m.,19:28,,2,0,"TURNOVER  by ROBERTSON,MARC",-2,1,,,1,0,1.0,,,,0,0,,,39,2368
4,Austin College,Millsaps,66-63,66,63,4-0,0-4,11/22/15,Lose,362,No Location Recorded,3:30 p.m.,19:09,"MISS 3PTR by SULLIVAN,ALAN",2,0,,-2,1,3ptr,miss,2,1,0.5,0.0,,,0,0,,,39,2349
4,Austin College,Millsaps,66-63,66,63,4-0,0-4,11/22/15,Lose,362,No Location Recorded,3:30 p.m.,19:09,,2,0,"REBOUND DEF by MCSWAIN,JOSHUA",-2,1,,,2,1,0.5,0.0,,,0,0,,,39,2349
4,Austin College,Millsaps,66-63,66,63,4-0,0-4,11/22/15,Lose,362,No Location Recorded,3:30 p.m.,18:37,,2,3,"GOOD 3PTR by ATKINSON,QUINN",1,1,,,2,1,0.5,0.0,3ptr,good,1,1,1.0,1.0,38,2317
4,Austin College,Millsaps,66-63,66,63,4-0,0-4,11/22/15,Lose,362,No Location Recorded,3:30 p.m.,18:37,,2,3,"ASSIST  by JONES,BLAKE",1,1,,,2,1,0.5,0.0,,,1,1,1.0,1.0,38,2317
4,Austin College,Millsaps,66-63,66,63,4-0,0-4,11/22/15,Lose,362,No Location Recorded,3:30 p.m.,18:27,"TURNOVER  by HUDSON,CEDRIC",2,3,,1,1,,,2,1,0.5,0.0,,,1,1,1.0,1.0,38,2307
4,Austin College,Millsaps,66-63,66,63,4-0,0-4,11/22/15,Lose,362,No Location Recorded,3:30 p.m.,18:27,"FOUL  by HUDSON,CEDRIC",2,3,,1,1,foul,,2,1,0.5,0.0,,,1,1,1.0,1.0,38,2307
4,Austin College,Millsaps,66-63,66,63,4-0,0-4,11/22/15,Lose,362,No Location Recorded,3:30 p.m.,18:15,,2,3,"TURNOVER  by JONES,BLAKE",1,1,,,2,1,0.5,0.0,,,1,1,1.0,1.0,38,2295
4,Austin College,Millsaps,66-63,66,63,4-0,0-4,11/22/15,Lose,362,No Location Recorded,3:30 p.m.,18:02,,2,3,"FOUL  by JONES,BLAKE",1,1,,,2,1,0.5,0.0,foul,,1,1,1.0,1.0,38,2282
4,Austin College,Millsaps,66-63,66,63,4-0,0-4,11/22/15,Lose,362,No Location Recorded,3:30 p.m.,18:02,,2,3,"SUB IN by GERCHOW,ALEX",1,1,,,2,1,0.5,0.0,,,1,1,1.0,1.0,38,2282
4,Austin College,Millsaps,66-63,66,63,4-0,0-4,11/22/15,Lose,362,No Location Recorded,3:30 p.m.,18:02,,2,3,"SUB OUT by MCSWAIN,JOSHUA",1,1,,,2,1,0.5,0.0,,,1,1,1.0,1.0,38,2282
4,Austin College,Millsaps,66-63,66,63,4-0,0-4,11/22/15,Lose,362,No Location Recorded,3:30 p.m.,17:58,"MISS JUMPER by SULLIVAN,ALAN",2,3,,1,1,jumper,miss,3,1,0.333,0.0,,,1,1,1.0,1.0,37,2278
4,Austin College,Millsaps,66-63,66,63,4-0,0-4,11/22/15,Lose,362,No Location Recorded,3:30 p.m.,17:58,"REBOUND OFF by IGBINOSA,STEPHEN",2,3,,1,1,,,3,1,0.333,0.0,,,1,1,1.0,1.0,37,2278
4,Austin College,Millsaps,66-63,66,63,4-0,0-4,11/22/15,Lose,362,No Location Recorded,3:30 p.m.,17:56,,2,3,"FOUL  by MANCUSO,LOGAN",1,1,,,3,1,0.333,0.0,foul,,1,1,1.0,1.0,37,2276
4,Austin College,Millsaps,66-63,66,63,4-0,0-4,11/22/15,Lose,362,No Location Recorded,3:30 p.m.,17:56,,2,3,"SUB IN by GAGEN,BRENNAN",1,1,,,3,1,0.333,0.0,,,1,1,1.0,1.0,37,2276
4,Austin College,Millsaps,66-63,66,63,4-0,0-4,11/22/15,Lose,362,No Location Recorded,3:30 p.m.,17:56,,2,3,"SUB IN by MARKWITH,TRENT",1,1,,,3,1,0.333,0.0,,,1,1,1.0,1.0,37,2276
4,Austin College,Millsaps,66-63,66,63,4-0,0-4,11/22/15,Lose,362,No Location Recorded,3:30 p.m.,17:56,,2,3,"SUB IN by MOORE,MYLES",1,1,,,3,1,0.333,0.0,,,1,1,1.0,1.0,37,2276
4,Austin College,Millsaps,66-63,66,63,4-0,0-4,11/22/15,Lose,362,No Location Recorded,3:30 p.m.,17:56,,2,3,"SUB OUT by JONES,BLAKE",1,1,,,3,1,0.333,0.0,,,1,1,1.0,1.0,37,2276
