game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
5,Millsaps,Bluffton,56-64,56,64,1-4,4-0,11/27/16,Win,95,No Location Recorded,1:39 p.m.,19:40,,0,2,"GOOD JUMPER by RENNER,ANDREW",2,1,,,0,0,,,jumper,good,1,0,1.0,,39,2380
5,Millsaps,Bluffton,56-64,56,64,1-4,4-0,11/27/16,Win,95,No Location Recorded,1:39 p.m.,19:40,,0,2,"ASSIST  by ELCHERT,TREY",2,1,,,0,0,,,,,1,0,1.0,,39,2380
5,Millsaps,Bluffton,56-64,56,64,1-4,4-0,11/27/16,Win,95,No Location Recorded,1:39 p.m.,19:26,"MISS 3PTR by KOHNKE,SAM",0,2,,2,1,3ptr,miss,1,1,0.0,0.0,,,1,0,1.0,,39,2366
5,Millsaps,Bluffton,56-64,56,64,1-4,4-0,11/27/16,Win,95,No Location Recorded,1:39 p.m.,19:26,,0,2,"REBOUND DEF by MAKSVYTIS,MARTIN",2,1,,,1,1,0.0,0.0,,,1,0,1.0,,39,2366
5,Millsaps,Bluffton,56-64,56,64,1-4,4-0,11/27/16,Win,95,No Location Recorded,1:39 p.m.,19:09,,0,5,"GOOD 3PTR by ELCHERT,TREY",5,1,,,1,1,0.0,0.0,3ptr,good,2,1,1.0,1.0,39,2349
5,Millsaps,Bluffton,56-64,56,64,1-4,4-0,11/27/16,Win,95,No Location Recorded,1:39 p.m.,19:09,,0,5,"ASSIST  by ROHDE,AUSTIN",5,1,,,1,1,0.0,0.0,,,2,1,1.0,1.0,39,2349
5,Millsaps,Bluffton,56-64,56,64,1-4,4-0,11/27/16,Win,95,No Location Recorded,1:39 p.m.,18:37,"MISS JUMPER by GARDNER,ROBERT",0,5,,5,1,jumper,miss,2,1,0.0,0.0,,,2,1,1.0,1.0,38,2317
5,Millsaps,Bluffton,56-64,56,64,1-4,4-0,11/27/16,Win,95,No Location Recorded,1:39 p.m.,18:37,,0,5,"REBOUND DEF by ROHDE,AUSTIN",5,1,,,2,1,0.0,0.0,,,2,1,1.0,1.0,38,2317
5,Millsaps,Bluffton,56-64,56,64,1-4,4-0,11/27/16,Win,95,No Location Recorded,1:39 p.m.,18:11,,0,5,"MISS JUMPER by WENTLING,JARED",5,1,,,2,1,0.0,0.0,jumper,miss,3,1,0.667,1.0,38,2291
5,Millsaps,Bluffton,56-64,56,64,1-4,4-0,11/27/16,Win,95,No Location Recorded,1:39 p.m.,18:11,,0,5,"REBOUND OFF by MAKSVYTIS,MARTIN",5,1,,,2,1,0.0,0.0,,,3,1,0.667,1.0,38,2291
