game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
10,Louisiana Col.,Millsaps,88-85,88,85,No record reported,No record reported,12/20/18,Lose,81,No Location Recorded,3:00 PM,19:42,,0,0,"MISS JUMPER by SPIKES,KALVIN",0,1,,,0,0,,,jumper,miss,1,0,0.0,,39,2382
10,Louisiana Col.,Millsaps,88-85,88,85,No record reported,No record reported,12/20/18,Lose,81,No Location Recorded,3:00 PM,19:42,"REBOUND DEF by STOKES,TIMOTHY",0,0,,0,1,,,0,0,,,,,1,0,0.0,,39,2382
10,Louisiana Col.,Millsaps,88-85,88,85,No record reported,No record reported,12/20/18,Lose,81,No Location Recorded,3:00 PM,19:21,"MISS 3PTR by POWELL,LASHARD",0,0,,0,1,3ptr,miss,1,1,0.0,0.0,,,1,0,0.0,,39,2361
10,Louisiana Col.,Millsaps,88-85,88,85,No record reported,No record reported,12/20/18,Lose,81,No Location Recorded,3:00 PM,19:21,,0,0,"REBOUND DEF by SPIKES,KALVIN",0,1,,,1,1,0.0,0.0,,,1,0,0.0,,39,2361
10,Louisiana Col.,Millsaps,88-85,88,85,No record reported,No record reported,12/20/18,Lose,81,No Location Recorded,3:00 PM,18:57,,0,2,"GOOD JUMPER by SPIKES,KALVIN(in the paint)",2,1,,,1,1,0.0,0.0,jumper,good,2,0,0.5,,38,2337
10,Louisiana Col.,Millsaps,88-85,88,85,No record reported,No record reported,12/20/18,Lose,81,No Location Recorded,3:00 PM,18:38,"MISS JUMPER by RHONE,JAYLEN",0,2,,2,1,jumper,miss,2,1,0.0,0.0,,,2,0,0.5,,38,2318
10,Louisiana Col.,Millsaps,88-85,88,85,No record reported,No record reported,12/20/18,Lose,81,No Location Recorded,3:00 PM,18:38,"REBOUND OFF by WASHINGTON,DEVON",0,2,,2,1,,,2,1,0.0,0.0,,,2,0,0.5,,38,2318
10,Louisiana Col.,Millsaps,88-85,88,85,No record reported,No record reported,12/20/18,Lose,81,No Location Recorded,3:00 PM,18:36,,0,2,"FOUL  by BECKER,SAXTON",2,1,,,2,1,0.0,0.0,foul,,2,0,0.5,,38,2316
10,Louisiana Col.,Millsaps,88-85,88,85,No record reported,No record reported,12/20/18,Lose,81,No Location Recorded,3:00 PM,18:36,"GOOD FT by WASHINGTON,DEVON",1,2,,1,1,ft,good,3,1,0.333,0.0,,,2,0,0.5,,38,2316
10,Louisiana Col.,Millsaps,88-85,88,85,No record reported,No record reported,12/20/18,Lose,81,No Location Recorded,3:00 PM,18:36,"GOOD FT by WASHINGTON,DEVON",2,2,,0,1,ft,good,4,1,0.5,0.0,,,2,0,0.5,,38,2316
