game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
2,Austin College,Millsaps,74-96,74,96,1-2,2-0,11/17/18,Win,No Attendence Recorded,No Location Recorded,5:00 PM,19:41,"TURNOVER  by FEIDER,JP",0,0,,0,1,,,0,0,,,,,0,0,,,39,2381
2,Austin College,Millsaps,74-96,74,96,1-2,2-0,11/17/18,Win,No Attendence Recorded,No Location Recorded,5:00 PM,19:37,,0,2,"GOOD LAYUP by SULLIVAN,MICHAEL(fastbreak)(in the paint)",2,1,,,0,0,,,layup,good,1,0,1.0,,39,2377
2,Austin College,Millsaps,74-96,74,96,1-2,2-0,11/17/18,Win,No Attendence Recorded,No Location Recorded,5:00 PM,19:28,"MISS JUMPER by HOGAN,KAM",0,2,,2,1,jumper,miss,1,0,0.0,,,,1,0,1.0,,39,2368
2,Austin College,Millsaps,74-96,74,96,1-2,2-0,11/17/18,Win,No Attendence Recorded,No Location Recorded,5:00 PM,19:28,,0,2,"REBOUND DEF by VAN PELT,JUSTIN",2,1,,,1,0,0.0,,,,1,0,1.0,,39,2368
2,Austin College,Millsaps,74-96,74,96,1-2,2-0,11/17/18,Win,No Attendence Recorded,No Location Recorded,5:00 PM,19:16,,0,2,"MISS LAYUP by VAN PELT,JUSTIN",2,1,,,1,0,0.0,,layup,miss,2,0,0.5,,39,2356
2,Austin College,Millsaps,74-96,74,96,1-2,2-0,11/17/18,Win,No Attendence Recorded,No Location Recorded,5:00 PM,19:16,REBOUND DEF by TEAM,0,2,,2,1,,,1,0,0.0,,,,2,0,0.5,,39,2356
2,Austin College,Millsaps,74-96,74,96,1-2,2-0,11/17/18,Win,No Attendence Recorded,No Location Recorded,5:00 PM,19:14,"GOOD JUMPER by HOLLAND,MICHAEL",2,2,,0,1,jumper,good,2,0,0.5,,,,2,0,0.5,,39,2354
2,Austin College,Millsaps,74-96,74,96,1-2,2-0,11/17/18,Win,No Attendence Recorded,No Location Recorded,5:00 PM,19:14,,2,4,"GOOD LAYUP by TURNER,JAMES(in the paint)",2,1,,,2,0,0.5,,layup,good,3,0,0.667,,39,2354
2,Austin College,Millsaps,74-96,74,96,1-2,2-0,11/17/18,Win,No Attendence Recorded,No Location Recorded,5:00 PM,19:06,,2,4,"FOUL  by GILLIHAN,NEWLON",2,1,,,2,0,0.5,,foul,,3,0,0.667,,39,2346
2,Austin College,Millsaps,74-96,74,96,1-2,2-0,11/17/18,Win,No Attendence Recorded,No Location Recorded,5:00 PM,18:36,,2,4,"FOUL  by VAN PELT,JUSTIN",2,1,,,2,0,0.5,,foul,,3,0,0.667,,38,2316
2,Austin College,Millsaps,74-96,74,96,1-2,2-0,11/17/18,Win,No Attendence Recorded,No Location Recorded,5:00 PM,18:36,"MISS FT by FEIDER,JP",2,4,,2,1,ft,miss,3,0,0.333,,,,3,0,0.667,,38,2316
2,Austin College,Millsaps,74-96,74,96,1-2,2-0,11/17/18,Win,No Attendence Recorded,No Location Recorded,5:00 PM,18:36,REBOUND DEADB by TEAM,2,4,,2,1,,,3,0,0.333,,,,3,0,0.667,,38,2316
2,Austin College,Millsaps,74-96,74,96,1-2,2-0,11/17/18,Win,No Attendence Recorded,No Location Recorded,5:00 PM,18:33,"GOOD FT by FEIDER,JP",3,4,,1,1,ft,good,4,0,0.5,,,,3,0,0.667,,38,2313
