game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
26,Millsaps,Oglethorpe,93-68,93,68,17-9,14-12,02/23/20,Lose,No Attendence Recorded,No Location Recorded,3:10 PM,19:45,"MISS 3PTR by MCLAURIN,RYAN",0,0,,0,1,3ptr,miss,1,1,0.0,0.0,,,0,0,,,39,2385
26,Millsaps,Oglethorpe,93-68,93,68,17-9,14-12,02/23/20,Lose,No Attendence Recorded,No Location Recorded,3:10 PM,19:45,,0,0,REBOUND DEADB by TEAM,0,1,,,1,1,0.0,0.0,,,0,0,,,39,2385
26,Millsaps,Oglethorpe,93-68,93,68,17-9,14-12,02/23/20,Lose,No Attendence Recorded,No Location Recorded,3:10 PM,19:43,"FOUL  by SPIKES,KALVIN",0,0,,0,1,foul,,1,1,0.0,0.0,,,0,0,,,39,2383
26,Millsaps,Oglethorpe,93-68,93,68,17-9,14-12,02/23/20,Lose,No Attendence Recorded,No Location Recorded,3:10 PM,19:23,,0,0,"MISS JUMPER by JENEI,RYAN",0,1,,,1,1,0.0,0.0,jumper,miss,1,0,0.0,,39,2363
26,Millsaps,Oglethorpe,93-68,93,68,17-9,14-12,02/23/20,Lose,No Attendence Recorded,No Location Recorded,3:10 PM,19:23,REBOUND DEADB by TEAM,0,0,,0,1,,,1,1,0.0,0.0,,,1,0,0.0,,39,2363
26,Millsaps,Oglethorpe,93-68,93,68,17-9,14-12,02/23/20,Lose,No Attendence Recorded,No Location Recorded,3:10 PM,19:19,,0,0,"FOUL  by FOSTER,LANE",0,1,,,1,1,0.0,0.0,foul,,1,0,0.0,,39,2359
26,Millsaps,Oglethorpe,93-68,93,68,17-9,14-12,02/23/20,Lose,No Attendence Recorded,No Location Recorded,3:10 PM,18:53,"TURNOVER  by MCLAURIN,RYAN",0,0,,0,1,,,1,1,0.0,0.0,,,1,0,0.0,,38,2333
26,Millsaps,Oglethorpe,93-68,93,68,17-9,14-12,02/23/20,Lose,No Attendence Recorded,No Location Recorded,3:10 PM,18:52,,0,0,"STEAL  by CAMMON,JOSH",0,1,,,1,1,0.0,0.0,,,1,0,0.0,,38,2332
26,Millsaps,Oglethorpe,93-68,93,68,17-9,14-12,02/23/20,Lose,No Attendence Recorded,No Location Recorded,3:10 PM,18:49,,0,2,"GOOD LAYUP by CAMMON,JOSH(fastbreak)(in the paint)",2,1,,,1,1,0.0,0.0,layup,good,2,0,0.5,,38,2329
26,Millsaps,Oglethorpe,93-68,93,68,17-9,14-12,02/23/20,Lose,No Attendence Recorded,No Location Recorded,3:10 PM,18:34,,0,2,"FOUL  by CAMMON,JOSH",2,1,,,1,1,0.0,0.0,foul,,2,0,0.5,,38,2314
26,Millsaps,Oglethorpe,93-68,93,68,17-9,14-12,02/23/20,Lose,No Attendence Recorded,No Location Recorded,3:10 PM,18:34,"GOOD FT by SPIKES,KALVIN",1,2,,1,1,ft,good,2,1,0.5,0.0,,,2,0,0.5,,38,2314
26,Millsaps,Oglethorpe,93-68,93,68,17-9,14-12,02/23/20,Lose,No Attendence Recorded,No Location Recorded,3:10 PM,18:34,"GOOD FT by SPIKES,KALVIN",2,2,,0,1,ft,good,3,1,0.667,0.0,,,2,0,0.5,,38,2314
26,Millsaps,Oglethorpe,93-68,93,68,17-9,14-12,02/23/20,Lose,No Attendence Recorded,No Location Recorded,3:10 PM,18:22,,2,2,"MISS 3PTR by JENEI,RYAN",0,1,,,3,1,0.667,0.0,3ptr,miss,3,1,0.333,0.0,38,2302
26,Millsaps,Oglethorpe,93-68,93,68,17-9,14-12,02/23/20,Lose,No Attendence Recorded,No Location Recorded,3:10 PM,18:22,"REBOUND DEF by JENKINS,KALEB",2,2,,0,1,,,3,1,0.667,0.0,,,3,1,0.333,0.0,38,2302
26,Millsaps,Oglethorpe,93-68,93,68,17-9,14-12,02/23/20,Lose,No Attendence Recorded,No Location Recorded,3:10 PM,18:10,"MISS 3PTR by JENKINS,KALEB",2,2,,0,1,3ptr,miss,4,2,0.5,0.0,,,3,1,0.333,0.0,38,2290
26,Millsaps,Oglethorpe,93-68,93,68,17-9,14-12,02/23/20,Lose,No Attendence Recorded,No Location Recorded,3:10 PM,18:10,,2,2,"REBOUND DEF by CHAMBERS,DIMETRI",0,1,,,4,2,0.5,0.0,,,3,1,0.333,0.0,38,2290
26,Millsaps,Oglethorpe,93-68,93,68,17-9,14-12,02/23/20,Lose,No Attendence Recorded,No Location Recorded,3:10 PM,17:43,,2,5,"GOOD 3PTR by CAMMON,JOSH",3,1,,,4,2,0.5,0.0,3ptr,good,4,2,0.5,0.5,37,2263
