game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,19:40,"GOOD JUMPER by HARRIS,KEITH(in the paint)",2,0,,-2,1,jumper,good,1,0,1.0,,,,0,0,,,39,2380
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,19:22,,2,0,"MISS JUMPER by HUGHES,ANTHONY(in the paint)",-2,1,,,1,0,1.0,,jumper,miss,1,0,0.0,,39,2362
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,19:22,"REBOUND DEF by HARRIS,KEITH",2,0,,-2,1,,,1,0,1.0,,,,1,0,0.0,,39,2362
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,19:06,"MISS LAYUP by PINKSTON,TRE(in the paint)",2,0,,-2,1,layup,miss,2,0,0.5,,,,1,0,0.0,,39,2346
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,19:06,,2,0,"REBOUND DEF by MILLER,JOSHUA",-2,1,,,2,0,0.5,,,,1,0,0.0,,39,2346
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,18:54,,2,0,"MISS 3PTR by HUGHES,ANTHONY",-2,1,,,2,0,0.5,,3ptr,miss,2,1,0.0,0.0,38,2334
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,18:54,"REBOUND DEF by JONES,TAVONTA",2,0,,-2,1,,,2,0,0.5,,,,2,1,0.0,0.0,38,2334
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,18:34,,2,0,"FOUL  by SPIKES,KALVIN",-2,1,,,2,0,0.5,,foul,,2,1,0.0,0.0,38,2314
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,18:34,"MISS JUMPER by JONES,TAVONTA",2,0,,-2,1,jumper,miss,3,0,0.333,,,,2,1,0.0,0.0,38,2314
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,18:34,,2,0,"REBOUND DEF by JENKINS,KALEB",-2,1,,,3,0,0.333,,,,2,1,0.0,0.0,38,2314
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,18:34,,2,0,"MISS 3PTR by JENKINS,KALEB",-2,1,,,3,0,0.333,,3ptr,miss,3,2,0.0,0.0,38,2314
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,18:34,"REBOUND DEF by PINKSTON,TRE",2,0,,-2,1,,,3,0,0.333,,,,3,2,0.0,0.0,38,2314
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,17:32,"GOOD JUMPER by PINKSTON,TRE",4,0,,-4,1,jumper,good,4,0,0.5,,,,3,2,0.0,0.0,37,2252
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,17:24,"FOUL  by HARRIS,KEITH",4,0,,-4,1,foul,,4,0,0.5,,,,3,2,0.0,0.0,37,2244
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,17:05,,4,0,"TURNOVER  by SPIKES,KALVIN",-4,1,,,4,0,0.5,,,,3,2,0.0,0.0,37,2225
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,16:55,"GOOD JUMPER by HARRIS,KEITH(in the paint)",6,0,,-6,1,jumper,good,5,0,0.6,,,,3,2,0.0,0.0,36,2215
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,16:35,,6,0,"FOUL  by HUGHES,ANTHONY",-6,1,,,5,0,0.6,,foul,,3,2,0.0,0.0,36,2195
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,16:35,,6,0,"TURNOVER  by HUGHES,ANTHONY",-6,1,,,5,0,0.6,,,,3,2,0.0,0.0,36,2195
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,16:35,,6,0,"SUB OUT by SPIKES,KALVIN",-6,1,,,5,0,0.6,,,,3,2,0.0,0.0,36,2195
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,16:35,,6,0,"SUB OUT by JENKINS,KALEB",-6,1,,,5,0,0.6,,,,3,2,0.0,0.0,36,2195
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,16:35,,6,0,"SUB IN by GRANT,SHE'CHEM",-6,1,,,5,0,0.6,,,,3,2,0.0,0.0,36,2195
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,16:35,,6,0,"SUB IN by TULLOS,ZACHARY",-6,1,,,5,0,0.6,,,,3,2,0.0,0.0,36,2195
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,16:25,"TURNOVER  by PINKSTON,TRE",6,0,,-6,1,,,5,0,0.6,,,,3,2,0.0,0.0,36,2185
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,16:25,,6,0,"STEAL  by YOUNG,DILLON",-6,1,,,5,0,0.6,,,,3,2,0.0,0.0,36,2185
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,16:08,,6,2,"GOOD JUMPER by YOUNG,DILLON",-4,1,,,5,0,0.6,,jumper,good,4,2,0.25,0.0,36,2168
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,15:49,"MISS JUMPER by PINKSTON,TRE",6,2,,-4,1,jumper,miss,6,0,0.5,,,,4,2,0.25,0.0,35,2149
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,15:49,,6,2,"REBOUND DEF by MILLER,JOSHUA",-4,1,,,6,0,0.5,,,,4,2,0.25,0.0,35,2149
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,15:28,,6,2,"MISS JUMPER by GRANT,SHE'CHEM",-4,1,,,6,0,0.5,,jumper,miss,5,2,0.2,0.0,35,2128
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,15:28,,6,2,"REBOUND OFF by TULLOS,ZACHARY",-4,1,,,6,0,0.5,,,,5,2,0.2,0.0,35,2128
8,MUW,Millsaps,58-69,58,69,0-3,"5-3,0-0 SAA",12/01/19,Win,119,No Location Recorded,5:00 PM,15:24,,6,2,"MISS LAYUP by TULLOS,ZACHARY(in the paint)",-4,1,,,6,0,0.5,,layup,miss,6,2,0.167,0.0,35,2124
