Time Remaining,MSPSM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
20:00,,,,,"FOUL  by CHIEN,KEVIN",,,"FOUL  by CHIEN,KEVIN",1
20:00,,0,,2 (+2),"GOOD LAYUP by DRUMMOND,TRIPP(in the paint)",RCMBB12 0-2 (-2),,"GOOD LAYUP by DRUMMOND,TRIPP(in the paint)",1
19:56,"MISS 3PTR by WHITE,TIM",,,,,,,"MISS 3PTR by WHITE,TIM",1
--,"REBOUND OFF by BROWN,JEFF",,,,,,,"REBOUND OFF by BROWN,JEFF",1
19:51,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",1
19:30,"MISS JUMPER by MERKEL,BRIAN",,,,,,,"MISS JUMPER by MERKEL,BRIAN",1
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",1
19:06,,,,,"MISS LAYUP by CHIEN,KEVIN",,,"MISS LAYUP by CHIEN,KEVIN",1
--,"REBOUND DEF by MERKEL,BRIAN",,,,,,,"REBOUND DEF by MERKEL,BRIAN",1
18:32,"MISS JUMPER by WHITE,TIM",,,,,,,"MISS JUMPER by WHITE,TIM",1
--,,,,,"REBOUND DEF by CHIEN,KEVIN",,,"REBOUND DEF by CHIEN,KEVIN",1
17:45,"GOOD 3PTR by BROWN,JEFF",3 (+1),,2,,MSPSM 3-2 (+1),,"GOOD 3PTR by BROWN,JEFF",1
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",1
17:14,,,,,"MISS 3PTR by CHIEN,KEVIN",,,"MISS 3PTR by CHIEN,KEVIN",1
--,"REBOUND DEF by WHITE,TIM",,,,,,,"REBOUND DEF by WHITE,TIM",1
16:58,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
16:57,"STEAL  by WALKER,NICK",,,,,,,"STEAL  by WALKER,NICK",1
16:55,"TURNOVER  by WHITE,TIM",,,,,,,"TURNOVER  by WHITE,TIM",1
16:46,,3,,4 (+1),"GOOD JUMPER by HARTWELL,THEO",RCMBB12 3-4 (-1),,"GOOD JUMPER by HARTWELL,THEO",1
16:15,"SUB IN by THOMAS,STERLING",,,,,,,"SUB IN by THOMAS,STERLING",1
16:15,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
16:15,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",1
16:15,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",1
16:15,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
16:15,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",1
16:15,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
16:15,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",1
15:58,"MISS JUMPER by BROWN,JEFF",,,,,,,"MISS JUMPER by BROWN,JEFF",1
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",1
15:50,"FOUL  by KINNEAR,KYLE",,,,,,,"FOUL  by KINNEAR,KYLE",1
15:32,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",1
15:07,"TURNOVER  by THOMAS,STERLING",,,,,,,"TURNOVER  by THOMAS,STERLING",1
15:07,"SUB IN by MONTGOMERY,JAYSON",,,,,,,"SUB IN by MONTGOMERY,JAYSON",1
15:07,"SUB OUT by KINNEAR,KYLE",,,,,,,"SUB OUT by KINNEAR,KYLE",1
14:47,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
14:47,,,,,"TURNOVER  by DUNAVANT,JOHN",,,"TURNOVER  by DUNAVANT,JOHN",1
14:20,"MISS LAYUP by MEADES,TAYLOR",,,,,,,"MISS LAYUP by MEADES,TAYLOR",1
--,"REBOUND OFF by MEADES,TAYLOR",,,,,,,"REBOUND OFF by MEADES,TAYLOR",1
14:17,"MISS LAYUP by MEADES,TAYLOR",,,,,,,"MISS LAYUP by MEADES,TAYLOR",1
--,,,,,"REBOUND DEF by WATSON,SHANE",,,"REBOUND DEF by WATSON,SHANE",1
14:09,,,,,"MISS LAYUP by MILLER,JOEY",,,"MISS LAYUP by MILLER,JOEY",1
--,"REBOUND DEF by BROWN,JEFF",,,,,,,"REBOUND DEF by BROWN,JEFF",1
14:00,"MISS JUMPER by MEADES,TAYLOR",,,,,,,"MISS JUMPER by MEADES,TAYLOR",1
14:00,,,,,"BLOCK  by DUNAVANT,JOHN",,,"BLOCK  by DUNAVANT,JOHN",1
--,"REBOUND OFF by MONTGOMERY,JAYSON",,,,,,,"REBOUND OFF by MONTGOMERY,JAYSON",1
13:59,"GOOD LAYUP by MONTGOMERY,JAYSON(in the paint)",5 (+1),,4,,MSPSM 5-4 (+1),,"GOOD LAYUP by MONTGOMERY,JAYSON(in the paint)",1
13:59,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",1
13:59,"GOOD FT by MONTGOMERY,JAYSON",6 (+2),,4,,MSPSM 6-4 (+2),,"GOOD FT by MONTGOMERY,JAYSON",1
13:59,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",1
13:59,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
13:59,"SUB OUT by BROWN,JEFF",,,,,,,"SUB OUT by BROWN,JEFF",1
13:59,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",1
13:59,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
13:59,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
13:59,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",1
13:59,,,,,"SUB OUT by MILLER,JOEY",,,"SUB OUT by MILLER,JOEY",1
13:47,,6,,7 (+1),"GOOD 3PTR by GALOW,ANDREW",RCMBB12 6-7 (-1),,"GOOD 3PTR by GALOW,ANDREW",1
