Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
19:36,"MISS LAYUP by BORN,LEO",,,,,,,"MISS LAYUP by BORN,LEO",1
19:36,,,,,"BLOCK  by THOMAS,STERLING",,,"BLOCK  by THOMAS,STERLING",1
--,,,,,"REBOUND DEF by THOMAS,STERLING",,,"REBOUND DEF by THOMAS,STERLING",1
19:20,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",1
--,"REBOUND OFF by BORN,LEO",,,,,,,"REBOUND OFF by BORN,LEO",1
19:17,"GOOD LAYUP by BORN,LEO(in the paint)",2 (+2),,0,,SEWANEE 2-0 (-2),,"GOOD LAYUP by BORN,LEO(in the paint)",1
--,"ASSIST ASSIST by BRYANT,VALENTINO",,,,,,,"ASSIST ASSIST by BRYANT,VALENTINO",1
18:50,"FOUL  by BROWN,TYLER",,,,,,,"FOUL  by BROWN,TYLER",1
18:50,,,,,"MISS FT by THOMAS,STERLING",,,"MISS FT by THOMAS,STERLING",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:50,,,,,"MISS FT by THOMAS,STERLING",,,"MISS FT by THOMAS,STERLING",1
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",1
18:44,"TURNOVER  by CALDWELL,MARCELLUS",,,,,,,"TURNOVER  by CALDWELL,MARCELLUS",1
18:30,,,,,"TURNOVER  by THOMAS,STERLING",,,"TURNOVER  by THOMAS,STERLING",1
18:03,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
17:35,,,,,"MISS 3PTR by GRIFFON,JACKSON",,,"MISS 3PTR by GRIFFON,JACKSON",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
17:23,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
17:02,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
16:56,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
16:50,,,,,"FOUL  by GRIFFON,JACKSON",,,"FOUL  by GRIFFON,JACKSON",1
16:50,"MISS FT by BRYANT,VALENTINO",,,,,,,"MISS FT by BRYANT,VALENTINO",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:50,"GOOD FT by BRYANT,VALENTINO",3 (+3),,0,,SEWANEE 3-0 (-3),,"GOOD FT by BRYANT,VALENTINO",1
16:35,,,,,"TURNOVER  by GRIFFON,JACKSON",,,"TURNOVER  by GRIFFON,JACKSON",1
16:34,"STEAL  by BROWN,TYLER",,,,,,,"STEAL  by BROWN,TYLER",1
16:31,"GOOD LAYUP by BROWN,TYLER(in the paint)",5 (+5),,0,,SEWANEE 5-0 (-5),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
16:29,,,,,TIMEOUT TOUT by TEAM,,,TIMEOUT TOUT by TEAM,1
16:10,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
15:47,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by THOMAS,STERLING",,,"REBOUND DEF by THOMAS,STERLING",1
15:42,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
15:24,"GOOD LAYUP by BROWN,TYLER(in the paint)",7 (+7),,0,,SEWANEE 7-0 (-7),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
--,"ASSIST ASSIST by BORN,LEO",,,,,,,"ASSIST ASSIST by BORN,LEO",1
15:04,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",1
--,,,,,"REBOUND OFF by GILLIGAN,TULLY",,,"REBOUND OFF by GILLIGAN,TULLY",1
15:00,,7 (+5),,2,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 7-2 (-5),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",1
14:59,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",1
14:59,,7 (+4),,3,"GOOD FT by GILLIGAN,TULLY",MILLSAPS 7-3 (-4),,"GOOD FT by GILLIGAN,TULLY",1
14:39,"TURNOVER  by HODGE,NILAN",,,,,,,"TURNOVER  by HODGE,NILAN",1
14:18,,7 (+2),,5,"GOOD JUMPER by KASTNER,MURRAY",MILLSAPS 7-5 (-2),,"GOOD JUMPER by KASTNER,MURRAY",1
14:01,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,,,,,"REBOUND DEF by THOMAS,STERLING",,,"REBOUND DEF by THOMAS,STERLING",1
13:33,,,,,"TURNOVER  by THOMAS,STERLING",,,"TURNOVER  by THOMAS,STERLING",1
13:19,"MISS 3PTR by HODGE,NILAN",,,,,,,"MISS 3PTR by HODGE,NILAN",1
--,,,,,"REBOUND DEF by GRIFFON,JACKSON",,,"REBOUND DEF by GRIFFON,JACKSON",1
12:52,,7,,7,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",MILLSAPS 7-7 (0),,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",1
--,,,,,"ASSIST ASSIST by DETILLIEU,RYAN",,,"ASSIST ASSIST by DETILLIEU,RYAN",1
12:41,"MISS 3PTR by BROWN,SETH",,,,,,,"MISS 3PTR by BROWN,SETH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:09,,,,,"MISS JUMPER by KASTNER,MURRAY",,,"MISS JUMPER by KASTNER,MURRAY",1
--,,,,,"REBOUND OFF by KASTNER,MURRAY",,,"REBOUND OFF by KASTNER,MURRAY",1
11:48,,,,,"MISS 3PTR by WILSON,KEVIN",,,"MISS 3PTR by WILSON,KEVIN",1
--,,,,,"REBOUND OFF by ALLISON,BRANDON",,,"REBOUND OFF by ALLISON,BRANDON",1
11:42,,,,,"MISS JUMPER by ALLISON,BRANDON",,,"MISS JUMPER by ALLISON,BRANDON",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
11:31,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",1
--,,,,,"REBOUND DEF by ALLISON,BRANDON",,,"REBOUND DEF by ALLISON,BRANDON",1
10:53,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
10:35,"MISS 3PTR by CALDWELL,MARCELLUS",,,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
10:27,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
10:17,,7,,9 (+2),"GOOD LAYUP by WILSON,KEVIN(in the paint)",MILLSAPS 7-9 (+2),,"GOOD LAYUP by WILSON,KEVIN(in the paint)",1
--,,,,,"ASSIST ASSIST by THOMAS,STERLING",,,"ASSIST ASSIST by THOMAS,STERLING",1
10:14,TIMEOUT TOUT by TEAM,,,,,,,TIMEOUT TOUT by TEAM,1
10:09,"MISS 3PTR by BORN,LEO",,,,,,,"MISS 3PTR by BORN,LEO",1
--,,,,,"REBOUND DEF by THOMAS,STERLING",,,"REBOUND DEF by THOMAS,STERLING",1
09:44,,7,,11 (+4),"GOOD JUMPER by CORTESE,NICK",MILLSAPS 7-11 (+4),,"GOOD JUMPER by CORTESE,NICK",1
09:23,"MISS 3PTR by BROWN,TYLER",,,,,,,"MISS 3PTR by BROWN,TYLER",1
--,,,,,"REBOUND DEF by WILSON,KEVIN",,,"REBOUND DEF by WILSON,KEVIN",1
08:49,,,,,"TURNOVER  by THOMAS,STERLING",,,"TURNOVER  by THOMAS,STERLING",1
08:29,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",1
08:01,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",1
--,"REBOUND DEF by HODGE,NILAN",,,,,,,"REBOUND DEF by HODGE,NILAN",1
07:49,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",1
07:49,"GOOD FT by AFFRONTI,LEWIS",8,,11 (+3),,SEWANEE 8-11 (+3),,"GOOD FT by AFFRONTI,LEWIS",1
07:49,"MISS FT by AFFRONTI,LEWIS",,,,,,,"MISS FT by AFFRONTI,LEWIS",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
07:27,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",1
--,,,,,"REBOUND OFF by CORTESE,NICK",,,"REBOUND OFF by CORTESE,NICK",1
06:52,,,,,"MISS JUMPER by KASTNER,MURRAY",,,"MISS JUMPER by KASTNER,MURRAY",1
--,,,,,"REBOUND OFF by KASTNER,MURRAY",,,"REBOUND OFF by KASTNER,MURRAY",1
06:49,,,,,"MISS JUMPER by KASTNER,MURRAY",,,"MISS JUMPER by KASTNER,MURRAY",1
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",1
06:31,"MISS JUMPER by VEAL,ROBERT",,,,,,,"MISS JUMPER by VEAL,ROBERT",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
06:19,,8,,13 (+5),"GOOD LAYUP by BERGER,RYAN(in the paint)",MILLSAPS 8-13 (+5),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
--,,,,,"ASSIST ASSIST by GILLIGAN,TULLY",,,"ASSIST ASSIST by GILLIGAN,TULLY",1
05:51,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
05:33,,,,,TIMEOUT TOUT by TEAM,,,TIMEOUT TOUT by TEAM,1
05:23,,8,,16 (+8),"GOOD 3PTR by GRIFFON,JACKSON",MILLSAPS 8-16 (+8),,"GOOD 3PTR by GRIFFON,JACKSON",1
05:11,"TURNOVER  by VEAL,ROBERT",,,,,,,"TURNOVER  by VEAL,ROBERT",1
05:10,,,,,"STEAL  by GRIFFON,JACKSON",,,"STEAL  by GRIFFON,JACKSON",1
05:06,,,,,"MISS 3PTR by GRIFFON,JACKSON",,,"MISS 3PTR by GRIFFON,JACKSON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:02,,,,,"FOUL  by ALLISON,BRANDON",,,"FOUL  by ALLISON,BRANDON",1
04:40,"GOOD LAYUP by BROWN,SETH(in the paint)",10,,16 (+6),,SEWANEE 10-16 (+6),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
--,"ASSIST ASSIST by HODGE,NILAN",,,,,,,"ASSIST ASSIST by HODGE,NILAN",1
04:20,"FOUL  by VEAL,ROBERT",,,,,,,"FOUL  by VEAL,ROBERT",1
04:06,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",1
03:51,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",1
03:46,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",1
03:46,"GOOD FT by BOULDIN,BRETT",11,,16 (+5),,SEWANEE 11-16 (+5),,"GOOD FT by BOULDIN,BRETT",1
03:46,"GOOD FT by BOULDIN,BRETT",12,,16 (+4),,SEWANEE 12-16 (+4),,"GOOD FT by BOULDIN,BRETT",1
03:27,,,,,"TURNOVER  by KASTNER,MURRAY",,,"TURNOVER  by KASTNER,MURRAY",1
03:26,"STEAL  by BROWN,TYLER",,,,,,,"STEAL  by BROWN,TYLER",1
03:22,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",1
03:22,"GOOD LAYUP by BROWN,TYLER(in the paint)",14,,16 (+2),,SEWANEE 14-16 (+2),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
03:22,"MISS FT by BROWN,TYLER",,,,,,,"MISS FT by BROWN,TYLER",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
03:21,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
03:19,"STEAL  by BROWN,TYLER",,,,,,,"STEAL  by BROWN,TYLER",1
03:17,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",1
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",1
03:13,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",1
03:11,,,,,"STEAL  by GRIFFON,JACKSON",,,"STEAL  by GRIFFON,JACKSON",1
03:07,"FOUL  by BRYANT,VALENTINO",,,,,,,"FOUL  by BRYANT,VALENTINO",1
02:42,,,,,"MISS JUMPER by GRIFFON,JACKSON",,,"MISS JUMPER by GRIFFON,JACKSON",1
--,"REBOUND DEF by BOULDIN,BRETT",,,,,,,"REBOUND DEF by BOULDIN,BRETT",1
02:32,"GOOD LAYUP by CARTER,KESHONN(in the paint)",16,,16,,SEWANEE 16-16 (0),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
02:29,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",1
02:29,"GOOD FT by CARTER,KESHONN",17 (+1),,16,,SEWANEE 17-16 (-1),,"GOOD FT by CARTER,KESHONN",1
02:19,,17,,18 (+1),"GOOD LAYUP by WILSON,KEVIN(in the paint)",MILLSAPS 17-18 (+1),,"GOOD LAYUP by WILSON,KEVIN(in the paint)",1
--,,,,,"ASSIST ASSIST by KASTNER,MURRAY",,,"ASSIST ASSIST by KASTNER,MURRAY",1
02:03,"GOOD JUMPER by BROWN,TYLER",19 (+1),,18,,SEWANEE 19-18 (-1),,"GOOD JUMPER by BROWN,TYLER",1
01:40,,,,,"MISS 3PTR by WILSON,KEVIN",,,"MISS 3PTR by WILSON,KEVIN",1
--,,,,,"REBOUND OFF by THOMAS,STERLING",,,"REBOUND OFF by THOMAS,STERLING",1
01:09,,,,,"TURNOVER  by KASTNER,MURRAY",,,"TURNOVER  by KASTNER,MURRAY",1
01:08,"STEAL  by CARTER,KESHONN",,,,,,,"STEAL  by CARTER,KESHONN",1
00:45,"MISS LAYUP by BOULDIN,BRETT",,,,,,,"MISS LAYUP by BOULDIN,BRETT",1
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",1
00:41,"GOOD LAYUP by CARTER,KESHONN(in the paint)",21 (+3),,18,,SEWANEE 21-18 (-3),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
00:09,,,,,"MISS JUMPER by WILSON,KEVIN",,,"MISS JUMPER by WILSON,KEVIN",1
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",1
00:01,"MISS LAYUP by BRYANT,VALENTINO",,,,,,,"MISS LAYUP by BRYANT,VALENTINO",1
--,"REBOUND OFF by BORN,LEO",,,,,,,"REBOUND OFF by BORN,LEO",1
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",1
00:01,"MISS LAYUP by BRYANT,VALENTINO",,,,,,,"MISS LAYUP by BRYANT,VALENTINO",1
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",1
19:31,,,,,"MISS 3PTR by GRIFFON,JACKSON",,,"MISS 3PTR by GRIFFON,JACKSON",2
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",2
19:14,,,,,"MISS LAYUP by GILLIGAN,TULLY",,,"MISS LAYUP by GILLIGAN,TULLY",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
18:45,,,,,"FOUL  by KASTNER,MURRAY",,,"FOUL  by KASTNER,MURRAY",2
18:45,"GOOD FT by BROWN,TYLER",22 (+4),,18,,SEWANEE 22-18 (-4),,"GOOD FT by BROWN,TYLER",2
18:45,"MISS FT by BROWN,TYLER",,,,,,,"MISS FT by BROWN,TYLER",2
--,"REBOUND OFF by CALDWELL,MARCELLUS",,,,,,,"REBOUND OFF by CALDWELL,MARCELLUS",2
18:45,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",24 (+6),,18,,SEWANEE 24-18 (-6),,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",2
18:24,,24 (+4),,20,"GOOD JUMPER by BERGER,RYAN",MILLSAPS 24-20 (-4),,"GOOD JUMPER by BERGER,RYAN",2
18:03,"GOOD JUMPER by CALDWELL,MARCELLUS",26 (+6),,20,,SEWANEE 26-20 (-6),,"GOOD JUMPER by CALDWELL,MARCELLUS",2
17:44,,,,,"TURNOVER  by GRIFFON,JACKSON",,,"TURNOVER  by GRIFFON,JACKSON",2
17:33,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",2
17:14,,26 (+3),,23,"GOOD 3PTR by GRIFFON,JACKSON",MILLSAPS 26-23 (-3),,"GOOD 3PTR by GRIFFON,JACKSON",2
--,,,,,"ASSIST ASSIST by THOMAS,STERLING",,,"ASSIST ASSIST by THOMAS,STERLING",2
16:45,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
16:34,,,,,"TURNOVER  by THOMAS,STERLING",,,"TURNOVER  by THOMAS,STERLING",2
16:19,"MISS 3PTR by HODGE,NILAN",,,,,,,"MISS 3PTR by HODGE,NILAN",2
--,,,,,"REBOUND DEF by THOMAS,STERLING",,,"REBOUND DEF by THOMAS,STERLING",2
15:41,"MISS LAYUP by NELSON,ANVIL",,,,,,,"MISS LAYUP by NELSON,ANVIL",2
15:41,,,,,"BLOCK  by BERGER,RYAN",,,"BLOCK  by BERGER,RYAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:27,"TURNOVER  by HODGE,NILAN",,,,,,,"TURNOVER  by HODGE,NILAN",2
15:25,,,,,"STEAL  by BERGER,RYAN",,,"STEAL  by BERGER,RYAN",2
15:21,,26,,26,"GOOD 3PTR by GRIFFON,JACKSON",MILLSAPS 26-26 (0),,"GOOD 3PTR by GRIFFON,JACKSON",2
--,,,,,"ASSIST ASSIST by CORTESE,NICK",,,"ASSIST ASSIST by CORTESE,NICK",2
15:13,TIMEOUT TOUT by TEAM,,,,,,,TIMEOUT TOUT by TEAM,2
14:49,"TURNOVER  by AFFRONTI,LEWIS",,,,,,,"TURNOVER  by AFFRONTI,LEWIS",2
14:35,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",2
--,"REBOUND DEF by HODGE,NILAN",,,,,,,"REBOUND DEF by HODGE,NILAN",2
14:25,"TURNOVER  by HODGE,NILAN",,,,,,,"TURNOVER  by HODGE,NILAN",2
14:23,,,,,"STEAL  by GRIFFON,JACKSON",,,"STEAL  by GRIFFON,JACKSON",2
14:17,,26,,28 (+2),"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 26-28 (+2),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
--,,,,,"ASSIST ASSIST by CORTESE,NICK",,,"ASSIST ASSIST by CORTESE,NICK",2
14:00,"TURNOVER  by NELSON,ANVIL",,,,,,,"TURNOVER  by NELSON,ANVIL",2
13:55,"FOUL  by NELSON,ANVIL",,,,,,,"FOUL  by NELSON,ANVIL",2
13:49,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",2
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",2
13:46,,,,,"FOUL  by WILSON,KEVIN",,,"FOUL  by WILSON,KEVIN",2
13:31,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",2
13:17,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",2
13:15,,,,,"STEAL  by KASTNER,MURRAY",,,"STEAL  by KASTNER,MURRAY",2
13:11,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
13:11,,26,,29 (+3),"GOOD FT by THOMAS,STERLING",MILLSAPS 26-29 (+3),,"GOOD FT by THOMAS,STERLING",2
13:11,,26,,30 (+4),"GOOD FT by THOMAS,STERLING",MILLSAPS 26-30 (+4),,"GOOD FT by THOMAS,STERLING",2
12:41,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",28,,30 (+2),,SEWANEE 28-30 (+2),,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",2
--,"ASSIST ASSIST by CARTER,KESHONN",,,,,,,"ASSIST ASSIST by CARTER,KESHONN",2
12:31,,28,,33 (+5),"GOOD 3PTR by WILSON,KEVIN",MILLSAPS 28-33 (+5),,"GOOD 3PTR by WILSON,KEVIN",2
--,,,,,"ASSIST ASSIST by CORTESE,NICK",,,"ASSIST ASSIST by CORTESE,NICK",2
12:09,,,,,"FOUL  by THOMAS,STERLING",,,"FOUL  by THOMAS,STERLING",2
12:09,"GOOD FT by BROWN,TYLER",29,,33 (+4),,SEWANEE 29-33 (+4),,"GOOD FT by BROWN,TYLER",2
12:09,"GOOD FT by BROWN,TYLER",30,,33 (+3),,SEWANEE 30-33 (+3),,"GOOD FT by BROWN,TYLER",2
11:48,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
11:48,,30,,34 (+4),"GOOD FT by THOMAS,STERLING",MILLSAPS 30-34 (+4),,"GOOD FT by THOMAS,STERLING",2
11:48,,30,,35 (+5),"GOOD FT by THOMAS,STERLING",MILLSAPS 30-35 (+5),,"GOOD FT by THOMAS,STERLING",2
11:30,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
11:11,,30,,37 (+7),"GOOD JUMPER by CORTESE,NICK",MILLSAPS 30-37 (+7),,"GOOD JUMPER by CORTESE,NICK",2
10:52,"GOOD LAYUP by CARTER,KESHONN(in the paint)",32,,37 (+5),,SEWANEE 32-37 (+5),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2
10:52,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",2
10:52,"GOOD FT by CARTER,KESHONN",33,,37 (+4),,SEWANEE 33-37 (+4),,"GOOD FT by CARTER,KESHONN",2
10:23,"FOUL  by BOULDIN,BRETT",,,,,,,"FOUL  by BOULDIN,BRETT",2
