Time Remaining,SEWANEEM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
19:49,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
19:26,"MISS 3PTR by BORN,LEO",,,,,,,"MISS 3PTR by BORN,LEO",1
--,,,,,"REBOUND DEF by FREBIS,RONNIE",,,"REBOUND DEF by FREBIS,RONNIE",1
19:07,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
19:07,,,,,"MISS FT by BERGER,RYAN",,,"MISS FT by BERGER,RYAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:07,,0,,1 (+1),"GOOD FT by BERGER,RYAN",MILLSAPS 0-1 (+1),,"GOOD FT by BERGER,RYAN",1
18:44,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
18:29,,0,,3 (+3),"GOOD LAYUP by ROBERTSON,MARC(in the paint)",MILLSAPS 0-3 (+3),,"GOOD LAYUP by ROBERTSON,MARC(in the paint)",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
17:53,"MISS JUMPER by BORN,LEO",,,,,,,"MISS JUMPER by BORN,LEO",1
17:53,,,,,"BLOCK  by GILLIGAN,TULLY",,,"BLOCK  by GILLIGAN,TULLY",1
--,,,,,"REBOUND DEF by AUBERT,DUSTIN",,,"REBOUND DEF by AUBERT,DUSTIN",1
17:33,,0,,5 (+5),"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",MILLSAPS 0-5 (+5),,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",1
17:15,"TURNOVER  by BORN,LEO",,,,,,,"TURNOVER  by BORN,LEO",1
17:14,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",1
17:10,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",1
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",1
17:07,"FOUL  by CALDWELL,MARCELLUS",,,,,,,"FOUL  by CALDWELL,MARCELLUS",1
17:07,,0,,6 (+6),"GOOD FT by BERGER,RYAN",MILLSAPS 0-6 (+6),,"GOOD FT by BERGER,RYAN",1
17:07,,0,,7 (+7),"GOOD FT by BERGER,RYAN",MILLSAPS 0-7 (+7),,"GOOD FT by BERGER,RYAN",1
17:07,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
17:07,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
16:46,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",2,,7 (+5),,SEWANEEM 2-7 (+5),,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",1
16:16,,,,,"MISS 3PTR by GILLIGAN,TULLY",,,"MISS 3PTR by GILLIGAN,TULLY",1
--,"REBOUND DEF by WILLIAMS,JORDEN",,,,,,,"REBOUND DEF by WILLIAMS,JORDEN",1
16:07,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
16:03,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",1
16:03,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
16:03,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",1
16:03,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
15:47,,2,,9 (+7),"GOOD JUMPER by MCELVEEN,MAC",MILLSAPS 2-9 (+7),,"GOOD JUMPER by MCELVEEN,MAC",1
15:32,"GOOD 3PTR by BROWN,SETH",5,,9 (+4),,SEWANEEM 5-9 (+4),,"GOOD 3PTR by BROWN,SETH",1
--,"ASSIST  by TOME,MATT",,,,,,,"ASSIST  by TOME,MATT",1
15:00,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
14:35,"GOOD JUMPER by CARTER,KESHONN",7,,9 (+2),,SEWANEEM 7-9 (+2),,"GOOD JUMPER by CARTER,KESHONN",1
14:07,,,,,"MISS JUMPER by GILLIGAN,TULLY",,,"MISS JUMPER by GILLIGAN,TULLY",1
--,"REBOUND DEF by TOME,MATT",,,,,,,"REBOUND DEF by TOME,MATT",1
14:00,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",1
13:58,,,,,"STEAL  by KASTNER,MURRAY",,,"STEAL  by KASTNER,MURRAY",1
13:53,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND OFF by GILLIGAN,TULLY",,,"REBOUND OFF by GILLIGAN,TULLY",1
13:47,,7,,12 (+5),"GOOD 3PTR by MCELVEEN,MAC",MILLSAPS 7-12 (+5),,"GOOD 3PTR by MCELVEEN,MAC",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
13:20,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",9,,12 (+3),,SEWANEEM 9-12 (+3),,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",1
13:18,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
13:18,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
13:18,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
13:18,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
13:18,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
13:18,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
13:18,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
13:18,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
13:18,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
13:18,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",1
13:18,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",1
13:18,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
13:18,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
12:54,,,,,"MISS JUMPER by FREBIS,RONNIE",,,"MISS JUMPER by FREBIS,RONNIE",1
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",1
12:18,"MISS 3PTR by BORN,LEO",,,,,,,"MISS 3PTR by BORN,LEO",1
--,,,,,"REBOUND DEF by FREBIS,RONNIE",,,"REBOUND DEF by FREBIS,RONNIE",1
12:11,,,,,"TURNOVER  by AUBERT,DUSTIN",,,"TURNOVER  by AUBERT,DUSTIN",1
11:50,,,,,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",1
11:50,"MISS FT by BORN,LEO",,,,,,,"MISS FT by BORN,LEO",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:50,"GOOD FT by BORN,LEO",10,,12 (+2),,SEWANEEM 10-12 (+2),,"GOOD FT by BORN,LEO",1
11:50,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
11:50,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
11:28,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",1
11:25,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:09,,10,,14 (+4),"GOOD JUMPER by MCELVEEN,MAC",MILLSAPS 10-14 (+4),,"GOOD JUMPER by MCELVEEN,MAC",1
10:50,"MISS JUMPER by VEAL,ROBERT",,,,,,,"MISS JUMPER by VEAL,ROBERT",1
--,,,,,"REBOUND DEF by AUBERT,DUSTIN",,,"REBOUND DEF by AUBERT,DUSTIN",1
10:22,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
10:22,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
10:22,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
10:22,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
10:22,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
10:22,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
10:16,,,,,"MISS JUMPER by AUBERT,DUSTIN",,,"MISS JUMPER by AUBERT,DUSTIN",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
10:13,,,,,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",1
09:58,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
09:58,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
09:58,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
09:58,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",1
09:58,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
09:41,,,,,"MISS JUMPER by GILLIGAN,TULLY",,,"MISS JUMPER by GILLIGAN,TULLY",1
--,,,,,"REBOUND OFF by GILLIGAN,TULLY",,,"REBOUND OFF by GILLIGAN,TULLY",1
09:35,,10,,16 (+6),"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 10-16 (+6),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",1
09:13,"GOOD JUMPER by WILLIAMS,JORDEN",12,,16 (+4),,SEWANEEM 12-16 (+4),,"GOOD JUMPER by WILLIAMS,JORDEN",1
--,"ASSIST  by VEAL,ROBERT",,,,,,,"ASSIST  by VEAL,ROBERT",1
08:46,,12,,19 (+7),"GOOD 3PTR by KASTNER,MURRAY",MILLSAPS 12-19 (+7),,"GOOD 3PTR by KASTNER,MURRAY",1
