Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
19:39,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:16,"MISS 3PTR by SMOAK,HUNTER",,,,,,,"MISS 3PTR by SMOAK,HUNTER",1
--,"REBOUND OFF by MCCLOUD,LEE",,,,,,,"REBOUND OFF by MCCLOUD,LEE",1
19:11,"TURNOVER  by MCCLOUD,LEE",,,,,,,"TURNOVER  by MCCLOUD,LEE",1
19:09,,,,,"STEAL  by KASTNER,MURRAY",,,"STEAL  by KASTNER,MURRAY",1
19:03,,,,,"MISS LAYUP by GILLIGAN,TULLY",,,"MISS LAYUP by GILLIGAN,TULLY",1
--,,,,,"REBOUND OFF by KASTNER,MURRAY",,,"REBOUND OFF by KASTNER,MURRAY",1
19:00,,0,,2 (+2),"GOOD LAYUP by ROBERTSON,MARC(in the paint)",MILLSAPS 0-2 (+2),,"GOOD LAYUP by ROBERTSON,MARC(in the paint)",1
--,,,,,"ASSIST  by KASTNER,MURRAY",,,"ASSIST  by KASTNER,MURRAY",1
18:33,"MISS LAYUP by JACOBS,OWEN",,,,,,,"MISS LAYUP by JACOBS,OWEN",1
--,"REBOUND OFF by JACOBS,OWEN",,,,,,,"REBOUND OFF by JACOBS,OWEN",1
18:27,"MISS LAYUP by JACOBS,OWEN",,,,,,,"MISS LAYUP by JACOBS,OWEN",1
--,"REBOUND OFF by JACOBS,OWEN",,,,,,,"REBOUND OFF by JACOBS,OWEN",1
18:24,"GOOD DUNK by GRAHAM,LAKE(in the paint)",2,,2,,BCM 2-2 (0),,"GOOD DUNK by GRAHAM,LAKE(in the paint)",1
--,"ASSIST  by JACOBS,OWEN",,,,,,,"ASSIST  by JACOBS,OWEN",1
17:54,,2,,4 (+2),"GOOD LAYUP by FREBIS,RONNIE(in the paint)",MILLSAPS 2-4 (+2),,"GOOD LAYUP by FREBIS,RONNIE(in the paint)",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
17:47,"TURNOVER  by GRAHAM,LAKE",,,,,,,"TURNOVER  by GRAHAM,LAKE",1
17:46,,,,,"STEAL  by BERGER,RYAN",,,"STEAL  by BERGER,RYAN",1
17:44,,2,,6 (+4),"GOOD DUNK by GILLIGAN,TULLY(fastbreak)(in the paint)",MILLSAPS 2-6 (+4),,"GOOD DUNK by GILLIGAN,TULLY(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by BERGER,RYAN",,,"ASSIST  by BERGER,RYAN",1
17:26,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",1
17:16,"GOOD JUMPER by SMOAK,HUNTER(in the paint)",4,,6 (+2),,BCM 4-6 (+2),,"GOOD JUMPER by SMOAK,HUNTER(in the paint)",1
17:05,,,,,"MISS 3PTR by BERGER,RYAN",,,"MISS 3PTR by BERGER,RYAN",1
--,"REBOUND DEF by GRAHAM,LAKE",,,,,,,"REBOUND DEF by GRAHAM,LAKE",1
16:40,"MISS 3PTR by MCCLOUD,LEE",,,,,,,"MISS 3PTR by MCCLOUD,LEE",1
--,,,,,"REBOUND DEF by KASTNER,MURRAY",,,"REBOUND DEF by KASTNER,MURRAY",1
16:26,,4,,8 (+4),"GOOD LAYUP by ROBERTSON,MARC(in the paint)",MILLSAPS 4-8 (+4),,"GOOD LAYUP by ROBERTSON,MARC(in the paint)",1
--,,,,,"ASSIST  by KASTNER,MURRAY",,,"ASSIST  by KASTNER,MURRAY",1
16:03,"GOOD JUMPER by SMOAK,HUNTER",6,,8 (+2),,BCM 6-8 (+2),,"GOOD JUMPER by SMOAK,HUNTER",1
