Time Remaining,LETU,Away Team Score,Play Team Indicator,Home Team Score,MILLMBB,Game Score,Team Indicator,Play,Period
19:35,,,,,"FOUL  by MOORE,MYLES",,,"FOUL  by MOORE,MYLES",1
19:30,"GOOD JUMPER by MARTIN,JEFF(in the paint)",2 (+2),,0,,LETU 2-0 (-2),,"GOOD JUMPER by MARTIN,JEFF(in the paint)",1
19:08,,,,,"MISS JUMPER by MCSWAIN,JOSHUA",,,"MISS JUMPER by MCSWAIN,JOSHUA",1
--,"REBOUND DEF by THOMPSON,GIOVANNY",,,,,,,"REBOUND DEF by THOMPSON,GIOVANNY",1
18:46,"MISS JUMPER by THOMPSON,GIOVANNY",,,,,,,"MISS JUMPER by THOMPSON,GIOVANNY",1
--,"REBOUND OFF by LOGGINS,CALEB",,,,,,,"REBOUND OFF by LOGGINS,CALEB",1
18:39,"GOOD LAYUP by LOGGINS,CALEB(in the paint)",4 (+4),,0,,LETU 4-0 (-4),,"GOOD LAYUP by LOGGINS,CALEB(in the paint)",1
18:29,,,,,"MISS JUMPER by MCSWAIN,JOSHUA",,,"MISS JUMPER by MCSWAIN,JOSHUA",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
18:10,"TURNOVER  by THOMPSON,GIOVANNY",,,,,,,"TURNOVER  by THOMPSON,GIOVANNY",1
18:01,,,,,"MISS JUMPER by MOORE,MYLES",,,"MISS JUMPER by MOORE,MYLES",1
--,"REBOUND DEF by THOMPSON,GIOVANNY",,,,,,,"REBOUND DEF by THOMPSON,GIOVANNY",1
17:45,"MISS 3PTR by COLHOFF,ALEC",,,,,,,"MISS 3PTR by COLHOFF,ALEC",1
--,"REBOUND OFF by THOMPSON,GIOVANNY",,,,,,,"REBOUND OFF by THOMPSON,GIOVANNY",1
17:37,,,,,"FOUL  by MCSWAIN,JOSHUA",,,"FOUL  by MCSWAIN,JOSHUA",1
17:37,,,,,"SUB IN by SPENCE,JACOB",,,"SUB IN by SPENCE,JACOB",1
17:37,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
17:37,,,,,"SUB OUT by MOORE,MYLES",,,"SUB OUT by MOORE,MYLES",1
17:37,,,,,"SUB OUT by MCSWAIN,JOSHUA",,,"SUB OUT by MCSWAIN,JOSHUA",1
17:27,"MISS JUMPER by LOGGINS,CALEB",,,,,,,"MISS JUMPER by LOGGINS,CALEB",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
17:26,"FOUL  by THOMPSON,GIOVANNY",,,,,,,"FOUL  by THOMPSON,GIOVANNY",1
17:22,,,,,"MISS 3PTR by JONES,BLAKE",,,"MISS 3PTR by JONES,BLAKE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
17:20,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",1
17:02,,,,,"FOUL  by JONES,BLAKE",,,"FOUL  by JONES,BLAKE",1
16:59,"MISS 3PTR by MARTIN,JEFF",,,,,,,"MISS 3PTR by MARTIN,JEFF",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
16:51,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",1
--,,,,,"REBOUND OFF by MARKWITH,TRENT",,,"REBOUND OFF by MARKWITH,TRENT",1
16:44,,4 (+2),,2,"GOOD JUMPER by JONES,BLAKE",MILLMBB 4-2 (-2),,"GOOD JUMPER by JONES,BLAKE",1
16:27,"MISS 3PTR by EDWARDS,CJ",,,,,,,"MISS 3PTR by EDWARDS,CJ",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
16:18,"FOUL  by COLHOFF,ALEC",,,,,,,"FOUL  by COLHOFF,ALEC",1
16:18,,4,,4,"GOOD LAYUP by SPENCE,JACOB(in the paint)",MILLMBB 4-4 (0),,"GOOD LAYUP by SPENCE,JACOB(in the paint)",1
--,,,,,"ASSIST  by MCSWAIN,JOSHUA",,,"ASSIST  by MCSWAIN,JOSHUA",1
16:18,"MISS JUMPER by THOMPSON,GIOVANNY",,,,,,,"MISS JUMPER by THOMPSON,GIOVANNY",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
