Time Remaining,MCM,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
19:49,,0,,3 (+3),"GOOD 3PTR by SMITH,CONNOR",OUM 0-3 (-3),,"GOOD 3PTR by SMITH,CONNOR",1
--,,,,,"ASSIST  by PERRY,WILL",,,"ASSIST  by PERRY,WILL",1
19:26,"GOOD JUMPER by ATKINSON,QUINN",2,,3 (+1),,MCM 2-3 (-1),,"GOOD JUMPER by ATKINSON,QUINN",1
19:07,,,,,"TURNOVER  by INUNGU,TOM",,,"TURNOVER  by INUNGU,TOM",1
18:50,"MISS LAYUP by ATKINSON,QUINN",,,,,,,"MISS LAYUP by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by INUNGU,TOM",,,"REBOUND DEF by INUNGU,TOM",1
18:30,,2,,5 (+3),"GOOD JUMPER by PERRY,WILL(in the paint)",OUM 2-5 (-3),,"GOOD JUMPER by PERRY,WILL(in the paint)",1
--,,,,,"ASSIST  by EDWARDS,JUSTIN",,,"ASSIST  by EDWARDS,JUSTIN",1
18:13,"TURNOVER  by JONES,BLAKE",,,,,,,"TURNOVER  by JONES,BLAKE",1
17:52,,2,,7 (+5),"GOOD LAYUP by INUNGU,TOM(in the paint)",OUM 2-7 (-5),,"GOOD LAYUP by INUNGU,TOM(in the paint)",1
--,,,,,"ASSIST  by EDWARDS,JUSTIN",,,"ASSIST  by EDWARDS,JUSTIN",1
17:18,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
17:00,,,,,"MISS JUMPER by PERRY,WILL",,,"MISS JUMPER by PERRY,WILL",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
16:56,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
16:56,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
16:56,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",1
16:56,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
16:34,"GOOD JUMPER by GAGEN,BRENNAN(in the paint)",4,,7 (+3),,MCM 4-7 (-3),,"GOOD JUMPER by GAGEN,BRENNAN(in the paint)",1
16:19,,,,,"MISS 3PTR by SMITH,CONNOR",,,"MISS 3PTR by SMITH,CONNOR",1
--,"REBOUND DEF by ATKINSON,QUINN",,,,,,,"REBOUND DEF by ATKINSON,QUINN",1
16:10,"MISS LAYUP by MARKWITH,TRENT",,,,,,,"MISS LAYUP by MARKWITH,TRENT",1
--,,,,,"REBOUND DEF by INUNGU,TOM",,,"REBOUND DEF by INUNGU,TOM",1
16:09,"FOUL  by MARKWITH,TRENT",,,,,,,"FOUL  by MARKWITH,TRENT",1
15:58,,4,,10 (+6),"GOOD 3PTR by EDWARDS,JUSTIN",OUM 4-10 (-6),,"GOOD 3PTR by EDWARDS,JUSTIN",1
--,,,,,"ASSIST  by PERRY,WILL",,,"ASSIST  by PERRY,WILL",1
15:38,"MISS 3PTR by ATKINSON,QUINN",,,,,,,"MISS 3PTR by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",1
15:23,,4,,13 (+9),"GOOD 3PTR by LAWRENCE,CHRIS",OUM 4-13 (-9),,"GOOD 3PTR by LAWRENCE,CHRIS",1
--,,,,,"ASSIST  by EDWARDS,JUSTIN",,,"ASSIST  by EDWARDS,JUSTIN",1
15:04,"TURNOVER  by GAGEN,BRENNAN",,,,,,,"TURNOVER  by GAGEN,BRENNAN",1
15:02,,,,,"STEAL  by EDWARDS,JUSTIN",,,"STEAL  by EDWARDS,JUSTIN",1
15:01,,4,,15 (+11),"GOOD DUNK by EDWARDS,JUSTIN(fastbreak)(in the paint)",OUM 4-15 (-11),,"GOOD DUNK by EDWARDS,JUSTIN(fastbreak)(in the paint)",1
14:47,,,,,"FOUL  by PERRY,WILL",,,"FOUL  by PERRY,WILL",1
14:47,,,,,"SUB IN by ANDINO,GEORGE",,,"SUB IN by ANDINO,GEORGE",1
14:47,,,,,"SUB IN by WARDLAW,CHASE",,,"SUB IN by WARDLAW,CHASE",1
14:47,,,,,"SUB IN by SIGRIST,CONNOR",,,"SUB IN by SIGRIST,CONNOR",1
14:47,,,,,"SUB OUT by EDWARDS,JUSTIN",,,"SUB OUT by EDWARDS,JUSTIN",1
14:47,,,,,"SUB OUT by SMITH,CONNOR",,,"SUB OUT by SMITH,CONNOR",1
14:47,,,,,"SUB OUT by INUNGU,TOM",,,"SUB OUT by INUNGU,TOM",1
14:32,"TURNOVER  by MARKWITH,TRENT",,,,,,,"TURNOVER  by MARKWITH,TRENT",1
