Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
19:47,"MISS LAYUP by PRESSLEY,BRANDON",,,,,,,"MISS LAYUP by PRESSLEY,BRANDON",1
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",1
19:25,,,,,"MISS LAYUP by BECKER,SAXTON",,,"MISS LAYUP by BECKER,SAXTON",1
19:25,"BLOCK  by PRESSLEY,BRANDON",,,,,,,"BLOCK  by PRESSLEY,BRANDON",1
--,,,,,"REBOUND OFF by GARDNER,ROBERT",,,"REBOUND OFF by GARDNER,ROBERT",1
19:14,,,,,"MISS JUMPER by BLANZ,BUCK",,,"MISS JUMPER by BLANZ,BUCK",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
19:11,,,,,"MISS JUMPER by KOHNKE,SAM",,,"MISS JUMPER by KOHNKE,SAM",1
--,"REBOUND DEF by PRESSLEY,BRANDON",,,,,,,"REBOUND DEF by PRESSLEY,BRANDON",1
19:11,"MISS LAYUP by LORIS,JOHN",,,,,,,"MISS LAYUP by LORIS,JOHN",1
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",1
19:11,,,,,"MISS 3PTR by TURNER,JAMES",,,"MISS 3PTR by TURNER,JAMES",1
--,"REBOUND DEF by DAVIS,RON",,,,,,,"REBOUND DEF by DAVIS,RON",1
19:11,"MISS 3PTR by RICHARDSON,TERIK",,,,,,,"MISS 3PTR by RICHARDSON,TERIK",1
--,,,,,"REBOUND DEF by GAGEN,BRENNAN",,,"REBOUND DEF by GAGEN,BRENNAN",1
19:11,,0,,2 (+2),"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",MMB 0-2 (+2),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",1
19:11,"TURNOVER  by PRESSLEY,BRANDON",,,,,,,"TURNOVER  by PRESSLEY,BRANDON",1
19:07,,,,,"STEAL  by TURNER,JAMES",,,"STEAL  by TURNER,JAMES",1
18:34,,,,,"MISS LAYUP by BLANZ,BUCK",,,"MISS LAYUP by BLANZ,BUCK",1
--,"REBOUND DEF by PRESSLEY,BRANDON",,,,,,,"REBOUND DEF by PRESSLEY,BRANDON",1
18:25,"GOOD 3PTR by PRICE,VICTOR",3 (+1),,2,,BU 3-2 (-1),,"GOOD 3PTR by PRICE,VICTOR",1
--,"ASSIST  by DAVIS,RON",,,,,,,"ASSIST  by DAVIS,RON",1
18:09,,,,,"TURNOVER  by GARDNER,ROBERT",,,"TURNOVER  by GARDNER,ROBERT",1
17:45,"TURNOVER  by PRESSLEY,BRANDON",,,,,,,"TURNOVER  by PRESSLEY,BRANDON",1
17:26,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
17:25,"STEAL  by DAVIS,RON",,,,,,,"STEAL  by DAVIS,RON",1
17:23,"GOOD LAYUP by PRICE,VICTOR(fastbreak)(in the paint)",5 (+3),,2,,BU 5-2 (-3),,"GOOD LAYUP by PRICE,VICTOR(fastbreak)(in the paint)",1
17:05,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",1
17:03,"STEAL  by DAVIS,RON",,,,,,,"STEAL  by DAVIS,RON",1
17:01,"GOOD LAYUP by RICHARDSON,TERIK(in the paint)",7 (+5),,2,,BU 7-2 (-5),,"GOOD LAYUP by RICHARDSON,TERIK(in the paint)",1
--,"ASSIST  by DAVIS,RON",,,,,,,"ASSIST  by DAVIS,RON",1
16:41,,,,,"MISS 3PTR by GAGEN,BRENNAN",,,"MISS 3PTR by GAGEN,BRENNAN",1
--,"REBOUND DEF by PRESSLEY,BRANDON",,,,,,,"REBOUND DEF by PRESSLEY,BRANDON",1
16:18,"TURNOVER  by PRESSLEY,BRANDON",,,,,,,"TURNOVER  by PRESSLEY,BRANDON",1
16:18,,,,,"STEAL  by BLANZ,BUCK",,,"STEAL  by BLANZ,BUCK",1
16:11,,,,,"MISS 3PTR by GARDNER,ROBERT",,,"MISS 3PTR by GARDNER,ROBERT",1
--,"REBOUND DEF by DAVIS,RON",,,,,,,"REBOUND DEF by DAVIS,RON",1
15:53,"GOOD JUMPER by DAVIS,RON",9 (+7),,2,,BU 9-2 (-7),,"GOOD JUMPER by DAVIS,RON",1
--,"ASSIST  by PRESSLEY,BRANDON",,,,,,,"ASSIST  by PRESSLEY,BRANDON",1
15:34,"FOUL  by PRESSLEY,BRANDON",,,,,,,"FOUL  by PRESSLEY,BRANDON",1
14:39,"SUB IN by DURHAM,JONATHAN",,,,,,,"SUB IN by DURHAM,JONATHAN",1
14:39,"SUB IN by YOUNG-BEASLEY,DJ",,,,,,,"SUB IN by YOUNG-BEASLEY,DJ",1
14:39,"SUB IN by HEERINGEN,GIAN VAN",,,,,,,"SUB IN by HEERINGEN,GIAN VAN",1
14:39,"SUB IN by ANDERSON,DYRON",,,,,,,"SUB IN by ANDERSON,DYRON",1
14:39,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
14:39,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
14:39,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",1
14:37,,,,,"MISS LAYUP by KOHNKE,SAM",,,"MISS LAYUP by KOHNKE,SAM",1
--,"REBOUND DEF by HEERINGEN,GIAN VAN",,,,,,,"REBOUND DEF by HEERINGEN,GIAN VAN",1
14:20,"MISS 3PTR by ANDERSON,DYRON",,,,,,,"MISS 3PTR by ANDERSON,DYRON",1
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",1
14:10,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",1
14:10,"SUB IN by JONES,JUSTIN",,,,,,,"SUB IN by JONES,JUSTIN",1
13:48,"GOOD 3PTR by DURHAM,JONATHAN",12 (+10),,2,,BU 12-2 (-10),,"GOOD 3PTR by DURHAM,JONATHAN",1
--,"ASSIST  by JONES,JUSTIN",,,,,,,"ASSIST  by JONES,JUSTIN",1
13:27,,,,,"MISS JUMPER by MASON,WADE",,,"MISS JUMPER by MASON,WADE",1
--,"REBOUND DEF by HEERINGEN,GIAN VAN",,,,,,,"REBOUND DEF by HEERINGEN,GIAN VAN",1
13:10,"GOOD 3PTR by DURHAM,JONATHAN",15 (+13),,2,,BU 15-2 (-13),,"GOOD 3PTR by DURHAM,JONATHAN",1
--,"ASSIST  by ANDERSON,DYRON",,,,,,,"ASSIST  by ANDERSON,DYRON",1
12:50,,15 (+10),,5,"GOOD 3PTR by BECKER,SAXTON",MMB 15-5 (-10),,"GOOD 3PTR by BECKER,SAXTON",1
--,,,,,"ASSIST  by KOHNKE,SAM",,,"ASSIST  by KOHNKE,SAM",1
12:24,"MISS 3PTR by DURHAM,JONATHAN",,,,,,,"MISS 3PTR by DURHAM,JONATHAN",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
12:15,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",1
12:14,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",1
12:14,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
12:14,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
12:14,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
11:55,"MISS LAYUP by JONES,JUSTIN",,,,,,,"MISS LAYUP by JONES,JUSTIN",1
