Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,ACM,Game Score,Team Indicator,Play,Period
19:47,"MISS LAYUP by SULLIVAN,MICHAEL",,,,,,,"MISS LAYUP by SULLIVAN,MICHAEL",1
19:47,,,,,"BLOCK  by BRUMBAUGH,LUKE",,,"BLOCK  by BRUMBAUGH,LUKE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
19:30,"MISS LAYUP by VAN PELT,JUSTIN",,,,,,,"MISS LAYUP by VAN PELT,JUSTIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
19:16,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
19:15,,,,,"STEAL  by ROLAND,DEVIN",,,"STEAL  by ROLAND,DEVIN",1
19:10,,,,,"TURNOVER  by HOGAN,KAM",,,"TURNOVER  by HOGAN,KAM",1
18:54,"MISS LAYUP by GILLIHAN,NEWLON",,,,,,,"MISS LAYUP by GILLIHAN,NEWLON",1
18:54,,,,,"BLOCK  by BRUMBAUGH,LUKE",,,"BLOCK  by BRUMBAUGH,LUKE",1
--,,,,,"REBOUND DEF by MERCADEL,JUSTICE",,,"REBOUND DEF by MERCADEL,JUSTICE",1
18:33,,,,,"MISS JUMPER by BRUMBAUGH,LUKE",,,"MISS JUMPER by BRUMBAUGH,LUKE",1
--,"REBOUND DEF by SULLIVAN,MICHAEL",,,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",1
18:15,"TURNOVER  by VAN PELT,JUSTIN",,,,,,,"TURNOVER  by VAN PELT,JUSTIN",1
17:52,,,,,"MISS 3PTR by HILL,KAMERON",,,"MISS 3PTR by HILL,KAMERON",1
--,,,,,"REBOUND OFF by HILL,KAMERON",,,"REBOUND OFF by HILL,KAMERON",1
17:41,,0,,3 (+3),"GOOD 3PTR by MERCADEL,JUSTICE",ACM 0-3 (-3),,"GOOD 3PTR by MERCADEL,JUSTICE",1
--,,,,,"ASSIST ASSIST by HOGAN,KAM",,,"ASSIST ASSIST by HOGAN,KAM",1
17:32,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",2,,3 (+1),,MIL 2-3 (-1),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
--,"ASSIST ASSIST by SULLIVAN,MICHAEL",,,,,,,"ASSIST ASSIST by SULLIVAN,MICHAEL",1
17:21,,2,,6 (+4),"GOOD 3PTR by HILL,KAMERON",ACM 2-6 (-4),,"GOOD 3PTR by HILL,KAMERON",1
--,,,,,"ASSIST ASSIST by HOGAN,KAM",,,"ASSIST ASSIST by HOGAN,KAM",1
16:48,"TURNOVER  by TURNER,JAMES",,,,,,,"TURNOVER  by TURNER,JAMES",1
16:38,,,,,"MISS 3PTR by MERCADEL,JUSTICE",,,"MISS 3PTR by MERCADEL,JUSTICE",1
--,"REBOUND DEF by VAN PELT,JUSTIN",,,,,,,"REBOUND DEF by VAN PELT,JUSTIN",1
16:28,"MISS LAYUP by MILLER,JOSHUA",,,,,,,"MISS LAYUP by MILLER,JOSHUA",1
--,,,,,"REBOUND DEF by HILL,KAMERON",,,"REBOUND DEF by HILL,KAMERON",1
16:24,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",1
16:24,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",1
16:24,"SUB IN by OWENS,MATT",,,,,,,"SUB IN by OWENS,MATT",1
16:24,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
16:24,"SUB OUT by VAN PELT,JUSTIN",,,,,,,"SUB OUT by VAN PELT,JUSTIN",1
16:09,,2,,9 (+7),"GOOD 3PTR by HOGAN,KAM",ACM 2-9 (-7),,"GOOD 3PTR by HOGAN,KAM",1
--,,,,,"ASSIST ASSIST by MERCADEL,JUSTICE",,,"ASSIST ASSIST by MERCADEL,JUSTICE",1
15:45,"MISS LAYUP by OWENS,MATT",,,,,,,"MISS LAYUP by OWENS,MATT",1
--,"REBOUND OFF by GILLIHAN,NEWLON",,,,,,,"REBOUND OFF by GILLIHAN,NEWLON",1
15:41,"GOOD LAYUP by GILLIHAN,NEWLON(in the paint)",4,,9 (+5),,MIL 4-9 (-5),,"GOOD LAYUP by GILLIHAN,NEWLON(in the paint)",1
15:38,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
15:38,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
15:38,,,,,"SUB IN by HOLLAND,MICHAEL",,,"SUB IN by HOLLAND,MICHAEL",1
15:38,,,,,"SUB OUT by ROLAND,DEVIN",,,"SUB OUT by ROLAND,DEVIN",1
15:20,,4,,12 (+8),"GOOD 3PTR by HILL,KAMERON",ACM 4-12 (-8),,"GOOD 3PTR by HILL,KAMERON",1
--,,,,,"ASSIST ASSIST by MERCADEL,JUSTICE",,,"ASSIST ASSIST by MERCADEL,JUSTICE",1
15:06,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,,,,,"REBOUND DEF by BRUMBAUGH,LUKE",,,"REBOUND DEF by BRUMBAUGH,LUKE",1
15:00,,4,,14 (+10),"GOOD JUMPER by HOGAN,KAM(fastbreak)(in the paint)",ACM 4-14 (-10),,"GOOD JUMPER by HOGAN,KAM(fastbreak)(in the paint)",1
--,,,,,"ASSIST ASSIST by MERCADEL,JUSTICE",,,"ASSIST ASSIST by MERCADEL,JUSTICE",1
14:57,TIMEOUT 30s by TEAM,,,,,,,TIMEOUT 30s by TEAM,1
14:45,"TURNOVER  by GRANT,SHE'CHEM",,,,,,,"TURNOVER  by GRANT,SHE'CHEM",1
14:44,,,,,"STEAL  by HOGAN,KAM",,,"STEAL  by HOGAN,KAM",1
14:39,,,,,"MISS LAYUP by HOGAN,KAM",,,"MISS LAYUP by HOGAN,KAM",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
14:38,,4,,17 (+13),"GOOD 3PTR by HOGAN,KAM",ACM 4-17 (-13),,"GOOD 3PTR by HOGAN,KAM",1
--,,,,,"ASSIST ASSIST by MERCADEL,JUSTICE",,,"ASSIST ASSIST by MERCADEL,JUSTICE",1
14:23,"MISS JUMPER by MCLAURIN,RYAN",,,,,,,"MISS JUMPER by MCLAURIN,RYAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
14:20,,,,,"FOUL  by BRUMBAUGH,LUKE",,,"FOUL  by BRUMBAUGH,LUKE",1
14:20,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",1
14:20,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",1
14:20,"SUB IN by CARVELLI,CAMERON",,,,,,,"SUB IN by CARVELLI,CAMERON",1
14:20,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
14:20,"SUB OUT by GRANT,SHE'CHEM",,,,,,,"SUB OUT by GRANT,SHE'CHEM",1
14:20,"SUB OUT by OWENS,MATT",,,,,,,"SUB OUT by OWENS,MATT",1
14:19,"TURNOVER  by CARVELLI,CAMERON",,,,,,,"TURNOVER  by CARVELLI,CAMERON",1
14:18,,,,,"STEAL  by HOGAN,KAM",,,"STEAL  by HOGAN,KAM",1
14:11,,,,,"MISS JUMPER by HOLLAND,MICHAEL",,,"MISS JUMPER by HOLLAND,MICHAEL",1
--,"REBOUND DEF by OWENS,MATT",,,,,,,"REBOUND DEF by OWENS,MATT",1
14:00,"MISS JUMPER by CARVELLI,CAMERON",,,,,,,"MISS JUMPER by CARVELLI,CAMERON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
