Time Remaining,COV,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:50,,0,,2 (+2),"GOOD DUNK by SPIKES,KALVIN(in the paint)",Mill 0-2 (+2),,"GOOD DUNK by SPIKES,KALVIN(in the paint)",1
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",1
19:30,"MISS 3PTR by CRUMLY,WILL",,,,,,,"MISS 3PTR by CRUMLY,WILL",1
--,,,,,"REBOUND DEF by JENKINS,KALEB",,,"REBOUND DEF by JENKINS,KALEB",1
19:24,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,"REBOUND DEF by HOLLIS,MITCHELL",,,,,,,"REBOUND DEF by HOLLIS,MITCHELL",1
19:09,"MISS JUMPER by BARNETTE,CHRIS(in the paint)",,,,,,,"MISS JUMPER by BARNETTE,CHRIS(in the paint)",1
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",1
19:02,,,,,"TURNOVER  by HUGHES,ANTHONY",,,"TURNOVER  by HUGHES,ANTHONY",1
19:02,"STEAL  by BARNETTE,CHRIS",,,,,,,"STEAL  by BARNETTE,CHRIS",1
18:46,"MISS JUMPER by CRUMLY,WILL",,,,,,,"MISS JUMPER by CRUMLY,WILL",1
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",1
18:37,,,,,"MISS 3PTR by JENKINS,KALEB",,,"MISS 3PTR by JENKINS,KALEB",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
18:36,"FOUL  by HOLLIS,MITCHELL",,,,,,,"FOUL  by HOLLIS,MITCHELL",1
18:31,,0,,4 (+4),"GOOD JUMPER by SPIKES,KALVIN(in the paint)",Mill 0-4 (+4),,"GOOD JUMPER by SPIKES,KALVIN(in the paint)",1
--,,,,,"ASSIST  by HUGHES,ANTHONY",,,"ASSIST  by HUGHES,ANTHONY",1
18:09,,,,,"FOUL  by HUGHES,ANTHONY",,,"FOUL  by HUGHES,ANTHONY",1
18:01,"FOUL  by CRUMLY,WILL",,,,,,,"FOUL  by CRUMLY,WILL",1
18:01,"TURNOVER  by CRUMLY,WILL",,,,,,,"TURNOVER  by CRUMLY,WILL",1
17:44,,,,,"MISS JUMPER by SPIKES,KALVIN(in the paint)",,,"MISS JUMPER by SPIKES,KALVIN(in the paint)",1
--,"REBOUND DEF by HOLLIS,MITCHELL",,,,,,,"REBOUND DEF by HOLLIS,MITCHELL",1
17:17,"MISS LAYUP by CRUMLY,WILL(in the paint)",,,,,,,"MISS LAYUP by CRUMLY,WILL(in the paint)",1
