Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,Period
19:49,,0,,3 (+3),"GOOD 3PTR by JENEI,RYAN",OU 0-3 (-3),,"GOOD 3PTR by JENEI,RYAN",1
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",1
19:27,"TURNOVER  by JENKINS,KALEB",,,,,,,"TURNOVER  by JENKINS,KALEB",1
19:12,,,,,"MISS JUMPER by CHAMBERS,DIMETRI",,,"MISS JUMPER by CHAMBERS,DIMETRI",1
--,"REBOUND DEF by JENKINS,KALEB",,,,,,,"REBOUND DEF by JENKINS,KALEB",1
19:01,"MISS 3PTR by MCLAURIN,RYAN",,,,,,,"MISS 3PTR by MCLAURIN,RYAN",1
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",1
18:53,,0,,5 (+5),"GOOD LAYUP by FOSTER,LANE(fastbreak)(in the paint)",OU 0-5 (-5),,"GOOD LAYUP by FOSTER,LANE(fastbreak)(in the paint)",1
18:41,"GOOD JUMPER by HUGHES,ANTHONY",2,,5 (+3),,MC 2-5 (-3),,"GOOD JUMPER by HUGHES,ANTHONY",1
18:25,,2,,8 (+6),"GOOD 3PTR by CHAMBERS,DIMETRI",OU 2-8 (-6),,"GOOD 3PTR by CHAMBERS,DIMETRI",1
--,,,,,"ASSIST  by JENEI,RYAN",,,"ASSIST  by JENEI,RYAN",1
18:06,"GOOD LAYUP by JENKINS,KALEB(in the paint)",4,,8 (+4),,MC 4-8 (-4),,"GOOD LAYUP by JENKINS,KALEB(in the paint)",1
17:49,,,,,"TURNOVER  by CHAMBERS,DIMETRI",,,"TURNOVER  by CHAMBERS,DIMETRI",1
17:35,"GOOD JUMPER by HUGHES,ANTHONY",6,,8 (+2),,MC 6-8 (-2),,"GOOD JUMPER by HUGHES,ANTHONY",1
--,"ASSIST  by BLANZ,BUCK",,,,,,,"ASSIST  by BLANZ,BUCK",1
17:11,"FOUL  by JENKINS,KALEB",,,,,,,"FOUL  by JENKINS,KALEB",1
16:58,"FOUL  by MCLAURIN,RYAN",,,,,,,"FOUL  by MCLAURIN,RYAN",1
