Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:44,,0,,2 (+2),"GOOD LAYUP by JAMES,MAC(in the paint)",Rhodes 0-2 (-2),,"GOOD LAYUP by JAMES,MAC(in the paint)",1
--,,,,,"ASSIST  by GEORGETOWN II,ARNESS",,,"ASSIST  by GEORGETOWN II,ARNESS",1
19:30,"MISS JUMPER by GILLIHAN,NEWLON(in the paint)",,,,,,,"MISS JUMPER by GILLIHAN,NEWLON(in the paint)",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
19:11,,,,,"MISS JUMPER by SHEN,KEVIN(in the paint)",,,"MISS JUMPER by SHEN,KEVIN(in the paint)",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
18:53,"MISS LAYUP by GILLIHAN,NEWLON(in the paint)",,,,,,,"MISS LAYUP by GILLIHAN,NEWLON(in the paint)",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
18:49,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
18:49,"STEAL  by BROWN,BRYCE",,,,,,,"STEAL  by BROWN,BRYCE",1
18:45,"MISS JUMPER by BROWN,BRYCE(in the paint)",,,,,,,"MISS JUMPER by BROWN,BRYCE(in the paint)",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
18:39,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
18:39,"STEAL  by GILLIHAN,NEWLON",,,,,,,"STEAL  by GILLIHAN,NEWLON",1
18:30,"MISS JUMPER by WATSON,DOUG",,,,,,,"MISS JUMPER by WATSON,DOUG",1
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
18:14,,0,,4 (+4),"GOOD JUMPER by GEORGETOWN II,ARNESS",Rhodes 0-4 (-4),,"GOOD JUMPER by GEORGETOWN II,ARNESS",1
--,,,,,"ASSIST  by SHEN,KEVIN",,,"ASSIST  by SHEN,KEVIN",1
17:48,"MISS 3PTR by URSIN,AARON",,,,,,,"MISS 3PTR by URSIN,AARON",1
--,,,,,"REBOUND DEF by SHEN,KEVIN",,,"REBOUND DEF by SHEN,KEVIN",1
17:28,,,,,"MISS JUMPER by ESSICK,JALEN(in the paint)",,,"MISS JUMPER by ESSICK,JALEN(in the paint)",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
16:57,,,,,"FOUL  by JAMES,MAC",,,"FOUL  by JAMES,MAC",1
16:39,"TURNOVER  by URSIN,AARON",,,,,,,"TURNOVER  by URSIN,AARON",1
16:26,,0,,7 (+7),"GOOD 3PTR by WILEY,KOKI",Rhodes 0-7 (-7),,"GOOD 3PTR by WILEY,KOKI",1
--,,,,,"ASSIST  by ESSICK,JALEN",,,"ASSIST  by ESSICK,JALEN",1
16:06,"MISS JUMPER by BROWN,BRYCE",,,,,,,"MISS JUMPER by BROWN,BRYCE",1
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
15:35,,,,,"MISS 3PTR by ESSICK,JALEN",,,"MISS 3PTR by ESSICK,JALEN",1
--,,,,,"REBOUND OFF by SHEN,KEVIN",,,"REBOUND OFF by SHEN,KEVIN",1
15:26,,,,,"TURNOVER  by SHEN,KEVIN",,,"TURNOVER  by SHEN,KEVIN",1
15:26,"STEAL  by BROWN,BRYCE",,,,,,,"STEAL  by BROWN,BRYCE",1
15:19,,,,,"FOUL  by GEORGETOWN II,ARNESS",,,"FOUL  by GEORGETOWN II,ARNESS",1
15:19,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",1
15:19,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",1
15:19,"MISS FT by BROWN,BRYCE(fastbreak)",,,,,,,"MISS FT by BROWN,BRYCE(fastbreak)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
