Time Remaining,UO,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:30,"GOOD 3PTR by TABE,SEPHFAN",3 (+3),,0,,UO 3-0 (-3),,"GOOD 3PTR by TABE,SEPHFAN",1
--,"ASSIST  by ROELKE,KAMREN",,,,,,,"ASSIST  by ROELKE,KAMREN",1
19:08,,,,,"MISS LAYUP by URSIN,AARON(in the paint)",,,"MISS LAYUP by URSIN,AARON(in the paint)",1
--,"REBOUND DEF by JACKSON,TYLAN",,,,,,,"REBOUND DEF by JACKSON,TYLAN",1
18:44,"MISS LAYUP by JACKSON,TYLAN(in the paint)",,,,,,,"MISS LAYUP by JACKSON,TYLAN(in the paint)",1
--,"REBOUND OFF by TABE,SEPHFAN",,,,,,,"REBOUND OFF by TABE,SEPHFAN",1
18:38,"MISS LAYUP by TABE,SEPHFAN(in the paint)",,,,,,,"MISS LAYUP by TABE,SEPHFAN(in the paint)",1
18:38,"MISS LAYUP by JACKSON,TYLAN(in the paint)",,,,,,,"MISS LAYUP by JACKSON,TYLAN(in the paint)",1
--,"REBOUND OFF by JACKSON,TYLAN",,,,,,,"REBOUND OFF by JACKSON,TYLAN",1
--,,,,,"REBOUND DEF by URSIN,AARON",,,"REBOUND DEF by URSIN,AARON",1
18:29,,3 (+1),,2,"GOOD LAYUP by URSIN,AARON(in the paint)",Mill 3-2 (-1),,"GOOD LAYUP by URSIN,AARON(in the paint)",1
--,,,,,"ASSIST  by HOGAN,TJ",,,"ASSIST  by HOGAN,TJ",1
18:16,,,,,"FOUL  by WATSON,DOUG",,,"FOUL  by WATSON,DOUG",1
18:16,"TURNOVER  by NIX,GRAYSON",,,,,,,"TURNOVER  by NIX,GRAYSON",1
18:16,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",1
--,"REBOUND DEF by ROELKE,KAMREN",,,,,,,"REBOUND DEF by ROELKE,KAMREN",1
18:16,"MISS 3PTR by ROELKE,KAMREN",,,,,,,"MISS 3PTR by ROELKE,KAMREN",1
--,,,,,"REBOUND DEF by UGHOVWA,NICHOLAS",,,"REBOUND DEF by UGHOVWA,NICHOLAS",1
17:22,,,,,"TURNOVER  by URSIN,AARON",,,"TURNOVER  by URSIN,AARON",1
