Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,PS,Game Score,Team Indicator,Play,Period
19:52,,0,,2 (+2),"GOOD LAYUP by ERICKSON,GRANT(in the paint)",PS 0-2 (-2),,"GOOD LAYUP by ERICKSON,GRANT(in the paint)",1
--,,,,,"ASSIST  by TECLEMARIAM,MUSSIE",,,"ASSIST  by TECLEMARIAM,MUSSIE",1
19:37,"GOOD JUMPER by RUCKER,CAM",2,,2,,Mill 2-2 (0),,"GOOD JUMPER by RUCKER,CAM",1
--,"ASSIST  by URSIN,AARON",,,,,,,"ASSIST  by URSIN,AARON",1
19:19,,,,,"MISS 3PTR by TECLEMARIAM,MUSSIE",,,"MISS 3PTR by TECLEMARIAM,MUSSIE",1
--,"REBOUND DEF by RUCKER,CAM",,,,,,,"REBOUND DEF by RUCKER,CAM",1
19:05,"GOOD JUMPER by ROTH,DREW",4 (+2),,2,,Mill 4-2 (+2),,"GOOD JUMPER by ROTH,DREW",1
--,"ASSIST  by BONNECAZE,STEWART",,,,,,,"ASSIST  by BONNECAZE,STEWART",1
18:52,,,,,"MISS 3PTR by RUTTLEDGE,LIAM",,,"MISS 3PTR by RUTTLEDGE,LIAM",1
--,"REBOUND DEF by RUCKER,CAM",,,,,,,"REBOUND DEF by RUCKER,CAM",1
18:39,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",1
--,,,,,"REBOUND DEF by TECLEMARIAM,MUSSIE",,,"REBOUND DEF by TECLEMARIAM,MUSSIE",1
18:30,,,,,"MISS 3PTR by POHLAND,WILL",,,"MISS 3PTR by POHLAND,WILL",1
--,"REBOUND DEF by BONNECAZE,STEWART",,,,,,,"REBOUND DEF by BONNECAZE,STEWART",1
18:08,"TURNOVER  by BONNECAZE,STEWART",,,,,,,"TURNOVER  by BONNECAZE,STEWART",1
17:51,,,,,"TURNOVER  by PHILLIPS,TAJ",,,"TURNOVER  by PHILLIPS,TAJ",1
17:51,"STEAL  by BONNECAZE,STEWART",,,,,,,"STEAL  by BONNECAZE,STEWART",1
17:45,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",1
--,,,,,"REBOUND DEF by RUTTLEDGE,LIAM",,,"REBOUND DEF by RUTTLEDGE,LIAM",1
17:38,,4,,5 (+1),"GOOD 3PTR by RUTTLEDGE,LIAM(fastbreak)",PS 4-5 (-1),,"GOOD 3PTR by RUTTLEDGE,LIAM(fastbreak)",1
