Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
19:43,,,,,"FOUL  by MARR,RUSS",,,"FOUL  by MARR,RUSS",1
19:35,"FOUL  by BUSH,RODREEKAS",,,,,,,"FOUL  by BUSH,RODREEKAS",1
19:35,"TURNOVER  by BUSH,RODREEKAS",,,,,,,"TURNOVER  by BUSH,RODREEKAS",1
19:21,,,,,"TURNOVER  by MARR,RUSS",,,"TURNOVER  by MARR,RUSS",1
19:10,"GOOD JUMPER by URSIN,AARON",2 (+2),,0,,Mill 2-0 (+2),,"GOOD JUMPER by URSIN,AARON",1
--,"ASSIST  by WATSON,DOUG",,,,,,,"ASSIST  by WATSON,DOUG",1
18:48,,2,,2,"GOOD LAYUP by CORRIGAN,TRE(in the paint)",Sewan 2-2 (0),,"GOOD LAYUP by CORRIGAN,TRE(in the paint)",1
--,,,,,"ASSIST  by SMITH,GRAHAM",,,"ASSIST  by SMITH,GRAHAM",1
18:31,"MISS LAYUP by URSIN,AARON(in the paint)",,,,,,,"MISS LAYUP by URSIN,AARON(in the paint)",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
18:25,,,,,"TURNOVER  by SMITH,GRAHAM",,,"TURNOVER  by SMITH,GRAHAM",1
18:25,"STEAL  by BONNECAZE,STEWART",,,,,,,"STEAL  by BONNECAZE,STEWART",1
18:21,"MISS JUMPER by BONNECAZE,STEWART(in the paint)",,,,,,,"MISS JUMPER by BONNECAZE,STEWART(in the paint)",1
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",1
18:06,,,,,"MISS JUMPER by SMITH,GRAHAM(in the paint)",,,"MISS JUMPER by SMITH,GRAHAM(in the paint)",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
17:59,"GOOD JUMPER by GASCA,DAKOTA(fastbreak)(in the paint)",4 (+2),,2,,Mill 4-2 (+2),,"GOOD JUMPER by GASCA,DAKOTA(fastbreak)(in the paint)",1
17:35,"FOUL  by URSIN,AARON",,,,,,,"FOUL  by URSIN,AARON",1
17:35,,4 (+1),,3,"GOOD FT by MARR,RUSS",Sewan 4-3 (+1),,"GOOD FT by MARR,RUSS",1
17:35,,4,,4,"GOOD FT by MARR,RUSS",Sewan 4-4 (0),,"GOOD FT by MARR,RUSS",1
17:19,"MISS JUMPER by WATSON,DOUG",,,,,,,"MISS JUMPER by WATSON,DOUG",1
--,"REBOUND OFF by URSIN,AARON",,,,,,,"REBOUND OFF by URSIN,AARON",1
17:15,"GOOD LAYUP by URSIN,AARON(in the paint)",6 (+2),,4,,Mill 6-4 (+2),,"GOOD LAYUP by URSIN,AARON(in the paint)",1
17:09,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",1
--,"REBOUND DEF by BUSH,RODREEKAS",,,,,,,"REBOUND DEF by BUSH,RODREEKAS",1
16:57,"MISS LAYUP by GASCA,DAKOTA(in the paint)",,,,,,,"MISS LAYUP by GASCA,DAKOTA(in the paint)",1
--,"REBOUND OFF by GASCA,DAKOTA",,,,,,,"REBOUND OFF by GASCA,DAKOTA",1
16:51,"MISS LAYUP by GASCA,DAKOTA(in the paint)",,,,,,,"MISS LAYUP by GASCA,DAKOTA(in the paint)",1
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",1
16:49,,6,,6,"GOOD LAYUP by MARR,RUSS(fastbreak)(in the paint)",Sewan 6-6 (0),,"GOOD LAYUP by MARR,RUSS(fastbreak)(in the paint)",1
16:49,"FOUL  by URSIN,AARON",,,,,,,"FOUL  by URSIN,AARON",1
16:49,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
16:49,"SUB IN by GORTON,MACK",,,,,,,"SUB IN by GORTON,MACK",1
16:49,,6,,7 (+1),"GOOD FT by MARR,RUSS(fastbreak)",Sewan 6-7 (-1),,"GOOD FT by MARR,RUSS(fastbreak)",1
16:32,"GOOD JUMPER by WATSON,DOUG",8 (+1),,7,,Mill 8-7 (+1),,"GOOD JUMPER by WATSON,DOUG",1
16:26,"SUB OUT by GORTON,MACK",,,,,,,"SUB OUT by GORTON,MACK",1
16:26,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",1
16:20,,8,,10 (+2),"GOOD 3PTR by CORRIGAN,TRE",Sewan 8-10 (-2),,"GOOD 3PTR by CORRIGAN,TRE",1
--,,,,,"ASSIST  by MARR,RUSS",,,"ASSIST  by MARR,RUSS",1
16:10,"TURNOVER  by BONNECAZE,STEWART",,,,,,,"TURNOVER  by BONNECAZE,STEWART",1
15:53,,,,,"TURNOVER  by AVALIANI,LUKA",,,"TURNOVER  by AVALIANI,LUKA",1
15:53,"STEAL  by WATSON,DOUG",,,,,,,"STEAL  by WATSON,DOUG",1
15:46,"GOOD JUMPER by WATSON,DOUG(fastbreak)",10,,10,,Mill 10-10 (0),,"GOOD JUMPER by WATSON,DOUG(fastbreak)",1
15:31,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",1
--,"REBOUND DEF by BONNECAZE,STEWART",,,,,,,"REBOUND DEF by BONNECAZE,STEWART",1
15:19,"TURNOVER  by STEPHEN,SETH",,,,,,,"TURNOVER  by STEPHEN,SETH",1
15:19,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:19,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",1
15:19,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",1
15:19,,,,,"SUB IN by WILLIAMS,RASHAUN",,,"SUB IN by WILLIAMS,RASHAUN",1
15:19,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",1
15:19,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",1
15:19,"SUB IN by LITTLE ,JAMES",,,,,,,"SUB IN by LITTLE ,JAMES",1
15:01,,10,,13 (+3),"GOOD 3PTR by AVALIANI,LUKA",Sewan 10-13 (-3),,"GOOD 3PTR by AVALIANI,LUKA",1
--,,,,,"ASSIST  by CORRIGAN,TRE",,,"ASSIST  by CORRIGAN,TRE",1
