game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
6,Hendrix,Austin,76-69,76,69,3-3,2-4,12/06/14,Lose,152,No Location Recorded,4:00 PM,19:43,"FOUL  by ALDOUS,HANK",0,0,,0,1,foul,,0,0,,,,,0,0,,,39,2383
6,Hendrix,Austin,76-69,76,69,3-3,2-4,12/06/14,Lose,152,No Location Recorded,4:00 PM,19:43,"TURNOVER  by ALDOUS,HANK",0,0,,0,1,,,0,0,,,,,0,0,,,39,2383
6,Hendrix,Austin,76-69,76,69,3-3,2-4,12/06/14,Lose,152,No Location Recorded,4:00 PM,19:32,,0,0,"MISS JUMPER by SULLIVAN,ALAN",0,1,,,0,0,,,jumper,miss,1,0,0.0,,39,2372
6,Hendrix,Austin,76-69,76,69,3-3,2-4,12/06/14,Lose,152,No Location Recorded,4:00 PM,19:32,"REBOUND DEF by ALDOUS,HANK",0,0,,0,1,,,0,0,,,,,1,0,0.0,,39,2372
6,Hendrix,Austin,76-69,76,69,3-3,2-4,12/06/14,Lose,152,No Location Recorded,4:00 PM,19:24,"MISS LAYUP by VANCE,LUKE",0,0,,0,1,layup,miss,1,0,0.0,,,,1,0,0.0,,39,2364
6,Hendrix,Austin,76-69,76,69,3-3,2-4,12/06/14,Lose,152,No Location Recorded,4:00 PM,19:24,,0,0,"BLOCK  by FREET,AUSTIN",0,1,,,1,0,0.0,,,,1,0,0.0,,39,2364
6,Hendrix,Austin,76-69,76,69,3-3,2-4,12/06/14,Lose,152,No Location Recorded,4:00 PM,19:24,,0,0,"REBOUND DEF by FREET,AUSTIN",0,1,,,1,0,0.0,,,,1,0,0.0,,39,2364
6,Hendrix,Austin,76-69,76,69,3-3,2-4,12/06/14,Lose,152,No Location Recorded,4:00 PM,19:10,,0,0,"TURNOVER  by SWISHER,JEREMY",0,1,,,1,0,0.0,,,,1,0,0.0,,39,2350
6,Hendrix,Austin,76-69,76,69,3-3,2-4,12/06/14,Lose,152,No Location Recorded,4:00 PM,18:45,"GOOD JUMPER by BARRETT,JORDAN(in the paint)",2,0,,-2,1,jumper,good,2,0,0.5,,,,1,0,0.0,,38,2325
6,Hendrix,Austin,76-69,76,69,3-3,2-4,12/06/14,Lose,152,No Location Recorded,4:00 PM,18:37,"FOUL  by OGLE,JOHN",2,0,,-2,1,foul,,2,0,0.5,,,,1,0,0.0,,38,2317
6,Hendrix,Austin,76-69,76,69,3-3,2-4,12/06/14,Lose,152,No Location Recorded,4:00 PM,18:37,,2,0,"MISS FT by FREET,AUSTIN",-2,1,,,2,0,0.5,,ft,miss,2,0,0.0,,38,2317
6,Hendrix,Austin,76-69,76,69,3-3,2-4,12/06/14,Lose,152,No Location Recorded,4:00 PM,18:37,,2,0,REBOUND DEADB by TEAM,-2,1,,,2,0,0.5,,,,2,0,0.0,,38,2317
6,Hendrix,Austin,76-69,76,69,3-3,2-4,12/06/14,Lose,152,No Location Recorded,4:00 PM,18:37,,2,0,"MISS FT by FREET,AUSTIN",-2,1,,,2,0,0.5,,ft,miss,3,0,0.0,,38,2317
6,Hendrix,Austin,76-69,76,69,3-3,2-4,12/06/14,Lose,152,No Location Recorded,4:00 PM,18:37,"REBOUND DEF by ALDOUS,HANK",2,0,,-2,1,,,2,0,0.5,,,,3,0,0.0,,38,2317
6,Hendrix,Austin,76-69,76,69,3-3,2-4,12/06/14,Lose,152,No Location Recorded,4:00 PM,18:18,,2,0,"FOUL  by MICHAEL,ALVIN",-2,1,,,2,0,0.5,,foul,,3,0,0.0,,38,2298
6,Hendrix,Austin,76-69,76,69,3-3,2-4,12/06/14,Lose,152,No Location Recorded,4:00 PM,18:18,"MISS FT by VANCE,LUKE",2,0,,-2,1,ft,miss,3,0,0.333,,,,3,0,0.0,,38,2298
6,Hendrix,Austin,76-69,76,69,3-3,2-4,12/06/14,Lose,152,No Location Recorded,4:00 PM,18:18,REBOUND DEADB by TEAM,2,0,,-2,1,,,3,0,0.333,,,,3,0,0.0,,38,2298
6,Hendrix,Austin,76-69,76,69,3-3,2-4,12/06/14,Lose,152,No Location Recorded,4:00 PM,18:18,"GOOD FT by VANCE,LUKE",3,0,,-3,1,ft,good,4,0,0.5,,,,3,0,0.0,,38,2298
6,Hendrix,Austin,76-69,76,69,3-3,2-4,12/06/14,Lose,152,No Location Recorded,4:00 PM,18:14,,3,0,"TURNOVER  by SWISHER,JEREMY",-3,1,,,4,0,0.5,,,,3,0,0.0,,38,2294
