game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,19:36,,0,0,"TURNOVER  by BOYD,KJ",0,1,,,0,0,,,,,0,0,,,39,2376
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,19:19,"MISS 3PTR by GARRETT,TRAVIS",0,0,,0,1,3ptr,miss,1,1,0.0,0.0,,,0,0,,,39,2359
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,19:19,,0,0,"REBOUND DEF by BOYD,KJ",0,1,,,1,1,0.0,0.0,,,0,0,,,39,2359
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,19:09,,0,0,"MISS JUMPER by WEAVER,DYLLON",0,1,,,1,1,0.0,0.0,jumper,miss,1,0,0.0,,39,2349
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,19:09,,0,0,"REBOUND OFF by TARANTOLO,MITCHELL",0,1,,,1,1,0.0,0.0,,,1,0,0.0,,39,2349
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,18:45,,0,0,"TURNOVER  by JOHNSON,REGIS",0,1,,,1,1,0.0,0.0,,,1,0,0.0,,38,2325
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,18:43,"STEAL  by SMITH,PRESTON",0,0,,0,1,,,1,1,0.0,0.0,,,1,0,0.0,,38,2323
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,18:38,"MISS JUMPER by SMITH,PRESTON",0,0,,0,1,jumper,miss,2,1,0.0,0.0,,,1,0,0.0,,38,2318
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,18:38,,0,0,"BLOCK  by WEAVER,DYLLON",0,1,,,2,1,0.0,0.0,,,1,0,0.0,,38,2318
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,18:38,,0,0,"REBOUND DEF by BOYD,KJ",0,1,,,2,1,0.0,0.0,,,1,0,0.0,,38,2318
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,18:26,"FOUL  by LINK,JACOB",0,0,,0,1,foul,,2,1,0.0,0.0,,,1,0,0.0,,38,2306
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,18:21,,0,2,"GOOD JUMPER by BOYD,KJ(in the paint)",2,1,,,2,1,0.0,0.0,jumper,good,2,0,0.5,,38,2301
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,18:21,,0,2,"ASSIST  by JOHNSON,REGIS",2,1,,,2,1,0.0,0.0,,,2,0,0.5,,38,2301
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,18:10,"MISS 3PTR by ALDOUS,HANK",0,2,,2,1,3ptr,miss,3,2,0.0,0.0,,,2,0,0.5,,38,2290
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,18:10,,0,2,"REBOUND DEF by BOYD,KJ",2,1,,,3,2,0.0,0.0,,,2,0,0.5,,38,2290
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,18:05,,0,4,"GOOD LAYUP by WEAVER,DYLLON(fastbreak)(in the paint)",4,1,,,3,2,0.0,0.0,layup,good,3,0,0.667,,38,2285
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,18:05,,0,4,"ASSIST  by BOYD,KJ",4,1,,,3,2,0.0,0.0,,,3,0,0.667,,38,2285
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,17:50,"GOOD 3PTR by ALDOUS,HANK",3,4,,1,1,3ptr,good,4,3,0.25,0.333,,,3,0,0.667,,37,2270
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,17:50,"ASSIST  by LINK,JACOB",3,4,,1,1,,,4,3,0.25,0.333,,,3,0,0.667,,37,2270
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,17:42,,3,4,"TURNOVER  by BOYD,KJ",1,1,,,4,3,0.25,0.333,,,3,0,0.667,,37,2262
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,17:41,"STEAL  by LITTLEFIELD,GEAREN",3,4,,1,1,,,4,3,0.25,0.333,,,3,0,0.667,,37,2261
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,17:30,"MISS 3PTR by GARRETT,TRAVIS",3,4,,1,1,3ptr,miss,5,4,0.2,0.25,,,3,0,0.667,,37,2250
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,17:30,,3,4,"REBOUND DEF by JOHNSON,REGIS",1,1,,,5,4,0.2,0.25,,,3,0,0.667,,37,2250
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,17:07,,3,4,"TURNOVER  by TARANTOLO,MITCHELL",1,1,,,5,4,0.2,0.25,,,3,0,0.667,,37,2227
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,17:07,,3,4,"SUB IN by SAPP,JAMES",1,1,,,5,4,0.2,0.25,,,3,0,0.667,,37,2227
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,17:07,,3,4,"SUB OUT by TARANTOLO,MITCHELL",1,1,,,5,4,0.2,0.25,,,3,0,0.667,,37,2227
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,16:57,"MISS 3PTR by ALDOUS,HANK",3,4,,1,1,3ptr,miss,6,5,0.167,0.2,,,3,0,0.667,,36,2217
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,16:57,"REBOUND OFF by LITTLEFIELD,GEAREN",3,4,,1,1,,,6,5,0.167,0.2,,,3,0,0.667,,36,2217
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,16:45,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",5,4,,-1,1,layup,good,7,5,0.286,0.2,,,3,0,0.667,,36,2205
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,16:45,"ASSIST  by GARRETT,TRAVIS",5,4,,-1,1,,,7,5,0.286,0.2,,,3,0,0.667,,36,2205
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,16:17,,5,6,"GOOD JUMPER by SAPP,JAMES",1,1,,,7,5,0.286,0.2,jumper,good,4,0,0.75,,36,2177
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,16:17,,5,6,"ASSIST  by KIRKENDOLL,TRAVION",1,1,,,7,5,0.286,0.2,,,4,0,0.75,,36,2177
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,15:53,,5,6,"FOUL  by JOHNSON,REGIS",1,1,,,7,5,0.286,0.2,foul,,4,0,0.75,,35,2153
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,15:53,"GOOD FT by ALDOUS,HANK",6,6,,0,1,ft,good,8,5,0.375,0.2,,,4,0,0.75,,35,2153
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,15:53,"MISS FT by ALDOUS,HANK",6,6,,0,1,ft,miss,9,5,0.333,0.2,,,4,0,0.75,,35,2153
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,15:53,,6,6,"REBOUND DEF by WEAVER,DYLLON",0,1,,,9,5,0.333,0.2,,,4,0,0.75,,35,2153
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,15:39,,6,8,"GOOD JUMPER by KIRKENDOLL,TRAVION(in the paint)",2,1,,,9,5,0.333,0.2,jumper,good,5,0,0.8,,35,2139
10,Hendrix,Centenary (LA),81-89,81,89,3-7,6-6,01/02/17,Win,237,No Location Recorded,6:08 PM,15:39,,6,8,"ASSIST  by WEAVER,DYLLON",2,1,,,9,5,0.333,0.2,,,5,0,0.8,,35,2139
