game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
13,Hendrix,Rhodes,80-60,80,60,5-7,3-9,01/02/19,Lose,167,No Location Recorded,5:00 PM,19:46,,0,0,"MISS 3PTR by BERRY,BRYCE",0,1,,,0,0,,,3ptr,miss,1,1,0.0,0.0,39,2386
13,Hendrix,Rhodes,80-60,80,60,5-7,3-9,01/02/19,Lose,167,No Location Recorded,5:00 PM,19:46,REBOUND DEF by TEAM,0,0,,0,1,,,0,0,,,,,1,1,0.0,0.0,39,2386
13,Hendrix,Rhodes,80-60,80,60,5-7,3-9,01/02/19,Lose,167,No Location Recorded,5:00 PM,19:31,"GOOD 3PTR by SMITH,PRESTON",3,0,,-3,1,3ptr,good,1,1,1.0,1.0,,,1,1,0.0,0.0,39,2371
13,Hendrix,Rhodes,80-60,80,60,5-7,3-9,01/02/19,Lose,167,No Location Recorded,5:00 PM,19:31,"ASSIST  by FITCH,CARL",3,0,,-3,1,,,1,1,1.0,1.0,,,1,1,0.0,0.0,39,2371
13,Hendrix,Rhodes,80-60,80,60,5-7,3-9,01/02/19,Lose,167,No Location Recorded,5:00 PM,19:13,,3,0,"MISS 3PTR by SAMSON,VAUGHN",-3,1,,,1,1,1.0,1.0,3ptr,miss,2,2,0.0,0.0,39,2353
13,Hendrix,Rhodes,80-60,80,60,5-7,3-9,01/02/19,Lose,167,No Location Recorded,5:00 PM,19:13,"REBOUND DEF by FITCH,CARL",3,0,,-3,1,,,1,1,1.0,1.0,,,2,2,0.0,0.0,39,2353
13,Hendrix,Rhodes,80-60,80,60,5-7,3-9,01/02/19,Lose,167,No Location Recorded,5:00 PM,18:52,"GOOD 3PTR by STANLEY,SETH",6,0,,-6,1,3ptr,good,2,2,1.0,1.0,,,2,2,0.0,0.0,38,2332
13,Hendrix,Rhodes,80-60,80,60,5-7,3-9,01/02/19,Lose,167,No Location Recorded,5:00 PM,18:52,"ASSIST  by BRASFIELD,KAM",6,0,,-6,1,,,2,2,1.0,1.0,,,2,2,0.0,0.0,38,2332
13,Hendrix,Rhodes,80-60,80,60,5-7,3-9,01/02/19,Lose,167,No Location Recorded,5:00 PM,18:37,,6,0,"MISS 3PTR by SHEN,KEVIN",-6,1,,,2,2,1.0,1.0,3ptr,miss,3,3,0.0,0.0,38,2317
13,Hendrix,Rhodes,80-60,80,60,5-7,3-9,01/02/19,Lose,167,No Location Recorded,5:00 PM,18:37,"REBOUND DEF by SMITH,PRESTON",6,0,,-6,1,,,2,2,1.0,1.0,,,3,3,0.0,0.0,38,2317
