game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
4,Hendrix,Berry,56-72,56,72,"1-3, 1-3 SAA","4-0, 4-0 SAA",01/30/21,Win,217,No Location Recorded,1:00 PM ET,19:44,"MISS JUMPER by II,ROD CUMMINGS",0,0,,0,1,jumper,miss,1,0,0.0,,,,0,0,,,39,2384
4,Hendrix,Berry,56-72,56,72,"1-3, 1-3 SAA","4-0, 4-0 SAA",01/30/21,Win,217,No Location Recorded,1:00 PM ET,19:44,,0,0,"REBOUND DEF by JOHNSON,MICHAEL",0,1,,,1,0,0.0,,,,0,0,,,39,2384
4,Hendrix,Berry,56-72,56,72,"1-3, 1-3 SAA","4-0, 4-0 SAA",01/30/21,Win,217,No Location Recorded,1:00 PM ET,19:36,,0,0,"MISS LAYUP by JOHNSON,MICAH",0,1,,,1,0,0.0,,layup,miss,1,0,0.0,,39,2376
4,Hendrix,Berry,56-72,56,72,"1-3, 1-3 SAA","4-0, 4-0 SAA",01/30/21,Win,217,No Location Recorded,1:00 PM ET,19:36,,0,0,"REBOUND OFF by BROOKS,AUSTIN",0,1,,,1,0,0.0,,,,1,0,0.0,,39,2376
4,Hendrix,Berry,56-72,56,72,"1-3, 1-3 SAA","4-0, 4-0 SAA",01/30/21,Win,217,No Location Recorded,1:00 PM ET,19:30,,0,0,"MISS LAYUP by BROOKS,AUSTIN",0,1,,,1,0,0.0,,layup,miss,2,0,0.0,,39,2370
4,Hendrix,Berry,56-72,56,72,"1-3, 1-3 SAA","4-0, 4-0 SAA",01/30/21,Win,217,No Location Recorded,1:00 PM ET,19:30,"REBOUND DEF by STANLEY,SETH",0,0,,0,1,,,1,0,0.0,,,,2,0,0.0,,39,2370
4,Hendrix,Berry,56-72,56,72,"1-3, 1-3 SAA","4-0, 4-0 SAA",01/30/21,Win,217,No Location Recorded,1:00 PM ET,19:15,"MISS 3PTR by STANLEY,SETH",0,0,,0,1,3ptr,miss,2,1,0.0,0.0,,,2,0,0.0,,39,2355
4,Hendrix,Berry,56-72,56,72,"1-3, 1-3 SAA","4-0, 4-0 SAA",01/30/21,Win,217,No Location Recorded,1:00 PM ET,19:15,,0,0,"REBOUND DEF by JOHNSON,MICAH",0,1,,,2,1,0.0,0.0,,,2,0,0.0,,39,2355
4,Hendrix,Berry,56-72,56,72,"1-3, 1-3 SAA","4-0, 4-0 SAA",01/30/21,Win,217,No Location Recorded,1:00 PM ET,18:45,,0,2,"GOOD JUMPER by JOHNSON,MICHAEL(in the paint)",2,1,,,2,1,0.0,0.0,jumper,good,3,0,0.333,,38,2325
4,Hendrix,Berry,56-72,56,72,"1-3, 1-3 SAA","4-0, 4-0 SAA",01/30/21,Win,217,No Location Recorded,1:00 PM ET,18:24,"TURNOVER  by FITCH,CARL",0,2,,2,1,,,2,1,0.0,0.0,,,3,0,0.333,,38,2304
4,Hendrix,Berry,56-72,56,72,"1-3, 1-3 SAA","4-0, 4-0 SAA",01/30/21,Win,217,No Location Recorded,1:00 PM ET,18:24,,0,2,"STEAL  by WEHUNT,DAWSON",2,1,,,2,1,0.0,0.0,,,3,0,0.333,,38,2304
