GameID,VisitorName,HomeName,VisitorWinPercent,HomeWinPercent,Outcome,Away Team Score,Home Team Score,Point Differential,Period,Home Shooting PCT,Home 3PTRs PCT,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Secs,Seconds Elapsed,Play
18_02_23_4_26,Hendrix,Sewanee,0.2,0.583,Lose,0,0,0,1,0.0,,0.0,,2382,18,"MISS LAYUP by CRISWELL,SEAN"
18_02_23_4_26,Hendrix,Sewanee,0.2,0.583,Lose,0,0,0,1,0.0,,0.0,,2382,18,"REBOUND DEF by THOMAS,ADRIAN"
18_02_23_4_26,Hendrix,Sewanee,0.2,0.583,Lose,0,0,0,1,0.0,,0.0,,2359,41,"TURNOVER  by SMITH,LUKE"
18_02_23_4_26,Hendrix,Sewanee,0.2,0.583,Lose,0,0,0,1,0.0,,0.0,,2356,44,"STEAL  by LINK,JACOB"
18_02_23_4_26,Hendrix,Sewanee,0.2,0.583,Lose,2,0,-2,1,0.5,,0.5,,2353,47,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)"
18_02_23_4_26,Hendrix,Sewanee,0.2,0.583,Lose,2,2,0,1,0.5,,0.667,,2331,69,"GOOD JUMPER by LEE,MATT"
18_02_23_4_26,Hendrix,Sewanee,0.2,0.583,Lose,2,2,0,1,0.5,,0.667,,2318,82,"TURNOVER  by BRASFIELD,KAM"
18_02_23_4_26,Hendrix,Sewanee,0.2,0.583,Lose,2,2,0,1,0.5,,0.667,,2300,100,"TURNOVER  by BUESCHER,HUNTER"
18_02_23_4_26,Hendrix,Sewanee,0.2,0.583,Lose,2,2,0,1,0.5,,0.667,,2297,103,"STEAL  by BRASFIELD,KAM"
18_02_23_4_26,Hendrix,Sewanee,0.2,0.583,Lose,2,2,0,1,0.333,,0.5,,2295,105,"MISS LAYUP by BRASFIELD,KAM"
18_02_23_4_26,Hendrix,Sewanee,0.2,0.583,Lose,2,2,0,1,0.333,,0.5,,2295,105,"REBOUND DEF by THOMAS,ADRIAN"
18_02_23_4_26,Hendrix,Sewanee,0.2,0.583,Lose,2,2,0,1,0.333,,0.5,,2284,116,"FOUL  by CALAMESE,MICHAEL"
18_02_23_4_26,Hendrix,Sewanee,0.2,0.583,Lose,2,2,0,1,0.333,,0.4,,2284,116,"MISS FT by THOMAS,ADRIAN"
18_02_23_4_26,Hendrix,Sewanee,0.2,0.583,Lose,2,2,0,1,0.333,,0.4,,2284,116,REBOUND DEADB by TEAM
18_02_23_4_26,Hendrix,Sewanee,0.2,0.583,Lose,2,3,1,1,0.333,,0.5,,2284,116,"GOOD FT by THOMAS,ADRIAN"
18_02_23_4_26,Hendrix,Sewanee,0.2,0.583,Lose,2,3,1,1,0.333,,0.429,,2261,139,"MISS LAYUP by BUESCHER,HUNTER"
18_02_23_4_26,Hendrix,Sewanee,0.2,0.583,Lose,2,3,1,1,0.333,,0.429,,2261,139,"BLOCK  by FISHER,ELI"
18_02_23_4_26,Hendrix,Sewanee,0.2,0.583,Lose,2,3,1,1,0.333,,0.429,,2261,139,REBOUND OFF by TEAM
