GameID,VisitorName,HomeName,VisitorWinPercent,HomeWinPercent,Outcome,Away Team Score,Home Team Score,Point Differential,Period,Home Shooting PCT,Home 3PTRs PCT,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Secs,Seconds Elapsed,Play
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,0,0,0,1,0.0,,0.0,,2379,21,"MISS LAYUP by FITCH,CARL"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,0,0,0,1,0.0,,0.0,,2379,21,"REBOUND DEF by FEIDER,JP"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,0,0,0,1,0.0,,0.0,,2371,29,"MISS JUMPER by MERCADEL,JUSTICE"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,0,0,0,1,0.0,,0.0,,2371,29,"REBOUND DEF by LINK,JACOB"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,0,0,0,1,0.0,,0.0,,2365,35,"TURNOVER  by STANLEY,SETH"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,0,0,0,1,0.0,,0.0,,2358,42,"MISS LAYUP by HOLLAND,MICHAEL"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,0,0,0,1,0.0,,0.0,,2358,42,"REBOUND OFF by MERCADEL,JUSTICE"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,0,2,2,1,0.0,,0.25,,2351,49,"GOOD JUMPER by MERCADEL,JUSTICE(in the paint)"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,0,2,2,1,0.0,0.0,0.2,0.0,2317,83,"MISS 3PTR by BRASFIELD,KAM"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,0,2,2,1,0.0,0.0,0.2,0.0,2317,83,REBOUND DEF by TEAM
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,0,2,2,1,0.0,0.0,0.2,0.0,2301,99,"TURNOVER  by HOLLAND,MICHAEL"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,0,2,2,1,0.0,0.0,0.2,0.0,2300,100,"STEAL  by SMITH,PRESTON"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,2,2,0,1,0.333,0.0,0.333,0.0,2299,101,"GOOD LAYUP by SMITH,PRESTON(fastbreak)(in the paint)"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,2,2,0,1,0.333,0.0,0.333,0.0,2274,126,"FOUL  by FITCH,CARL"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,2,2,0,1,0.333,0.0,0.286,0.0,2260,140,"MISS 3PTR by MERCADEL,JUSTICE"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,2,2,0,1,0.333,0.0,0.286,0.0,2260,140,"REBOUND DEF by FITCH,CARL"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,2,2,0,1,0.25,0.0,0.25,0.0,2249,151,"MISS JUMPER by STANLEY,SETH"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,2,2,0,1,0.25,0.0,0.25,0.0,2249,151,"BLOCK  by FEIDER,JP"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,2,2,0,1,0.25,0.0,0.25,0.0,2249,151,"REBOUND DEF by FEIDER,JP"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,2,4,2,1,0.25,0.0,0.333,0.0,2234,166,"GOOD JUMPER by ROLAND,DEVIN"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,2,4,2,1,0.25,0.0,0.333,0.0,2217,183,"FOUL  by LINK,JACOB"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,2,4,2,1,0.25,0.0,0.333,0.0,2217,183,"TURNOVER  by LINK,JACOB"
18_12_15_4_10,Hendrix,Austin College,0.5,0.429,Win,2,4,2,1,0.25,0.0,0.333,0.0,2205,195,"TURNOVER  by HOGAN,KAM"
