Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
19:35,"GOOD JUMPER by BUESCHER,HUNTER",2 (+2),,0,,SEWANEE 2-0 (-2),,"GOOD JUMPER by BUESCHER,HUNTER",1
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
19:01,,,,,"MISS 3PTR by LITTLEFIELD,GEAREN",,,"MISS 3PTR by LITTLEFIELD,GEAREN",1
--,"REBOUND DEF by WILLIAMS,JORDEN",,,,,,,"REBOUND DEF by WILLIAMS,JORDEN",1
18:38,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1
18:28,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
18:16,"GOOD 3PTR by BUESCHER,HUNTER",5 (+5),,0,,SEWANEE 5-0 (-5),,"GOOD 3PTR by BUESCHER,HUNTER",1
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
17:51,,5 (+3),,2,"GOOD JUMPER by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 5-2 (-3),,"GOOD JUMPER by LITTLEFIELD,GEAREN(in the paint)",1
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",1
17:29,"MISS LAYUP by WILLIAMS,JORDEN",,,,,,,"MISS LAYUP by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
17:18,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,"REBOUND DEF by BUESCHER,HUNTER",,,,,,,"REBOUND DEF by BUESCHER,HUNTER",1
17:02,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
17:02,,,,,"BLOCK  by SMITH,PRESTON",,,"BLOCK  by SMITH,PRESTON",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
16:58,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
16:58,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
16:48,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",1
--,"REBOUND OFF by BORN,LEO",,,,,,,"REBOUND OFF by BORN,LEO",1
16:44,"TURNOVER  by BORN,LEO",,,,,,,"TURNOVER  by BORN,LEO",1
16:27,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
16:27,"BLOCK  by BORN,LEO",,,,,,,"BLOCK  by BORN,LEO",1
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",1
16:20,,5 (+1),,4,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 5-4 (-1),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
15:57,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
15:57,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:50,"GOOD LAYUP by BORN,LEO(in the paint)",7 (+3),,4,,SEWANEE 7-4 (-3),,"GOOD LAYUP by BORN,LEO(in the paint)",1
15:34,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",1
15:34,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:34,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
15:34,"SUB IN by HOWELL,TAYLOR",,,,,,,"SUB IN by HOWELL,TAYLOR",1
15:34,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
15:34,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",1
15:34,"SUB IN by SPENCER,JC",,,,,,,"SUB IN by SPENCER,JC",1
15:34,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
15:34,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
15:34,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
15:34,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
15:24,"GOOD LAYUP by LEE,MATTHEW(in the paint)",9 (+5),,4,,SEWANEE 9-4 (-5),,"GOOD LAYUP by LEE,MATTHEW(in the paint)",1
--,"ASSIST  by HOWELL,TAYLOR",,,,,,,"ASSIST  by HOWELL,TAYLOR",1
15:08,,9 (+2),,7,"GOOD 3PTR by SMITH,PRESTON",HENDRIX 9-7 (-2),,"GOOD 3PTR by SMITH,PRESTON",1
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",1
14:43,"TURNOVER  by LEE,MATTHEW",,,,,,,"TURNOVER  by LEE,MATTHEW",1
14:43,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",1
14:43,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
14:26,,9,,10 (+1),"GOOD 3PTR by SMITH,PRESTON",HENDRIX 9-10 (+1),,"GOOD 3PTR by SMITH,PRESTON",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
14:13,"TURNOVER  by HOWELL,TAYLOR",,,,,,,"TURNOVER  by HOWELL,TAYLOR",1
14:13,,,,,"STEAL  by ALDOUS,HANK",,,"STEAL  by ALDOUS,HANK",1
14:13,,9,,12 (+3),"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",HENDRIX 9-12 (+3),,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",1
14:11,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
14:11,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
14:11,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
14:11,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
14:11,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
14:11,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
14:11,"SUB OUT by HOWELL,TAYLOR",,,,,,,"SUB OUT by HOWELL,TAYLOR",1
14:11,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
14:11,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
14:11,"SUB OUT by LEE,MATTHEW",,,,,,,"SUB OUT by LEE,MATTHEW",1
14:11,"SUB OUT by SPENCER,JC",,,,,,,"SUB OUT by SPENCER,JC",1
14:11,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
14:11,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
14:02,"GOOD LAYUP by THOMAS,ADRIAN(fastbreak)(in the paint)",11,,12 (+1),,SEWANEE 11-12 (+1),,"GOOD LAYUP by THOMAS,ADRIAN(fastbreak)(in the paint)",1
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
13:39,,,,,"MISS LAYUP by GARRETT,TRAVIS",,,"MISS LAYUP by GARRETT,TRAVIS",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
13:26,"MISS LAYUP by THOMAS,ADRIAN",,,,,,,"MISS LAYUP by THOMAS,ADRIAN",1
13:26,,,,,"BLOCK  by ALDOUS,HANK",,,"BLOCK  by ALDOUS,HANK",1
--,"REBOUND OFF by THOMAS,ADRIAN",,,,,,,"REBOUND OFF by THOMAS,ADRIAN",1
13:23,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",13 (+1),,12,,SEWANEE 13-12 (-1),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
13:06,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",1
13:06,,13,,13,"GOOD FT by GARRETT,TRAVIS",HENDRIX 13-13 (0),,"GOOD FT by GARRETT,TRAVIS",1
13:06,,,,,"MISS FT by GARRETT,TRAVIS",,,"MISS FT by GARRETT,TRAVIS",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
12:52,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",1
12:37,,13,,15 (+2),"GOOD LAYUP by SMITH,PRESTON(fastbreak)(in the paint)",HENDRIX 13-15 (+2),,"GOOD LAYUP by SMITH,PRESTON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",1
12:23,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
12:23,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:23,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",1
--,"REBOUND OFF by THOMAS,ADRIAN",,,,,,,"REBOUND OFF by THOMAS,ADRIAN",1
12:23,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
12:23,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
12:23,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
12:23,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",1
12:19,"GOOD TIPIN by THOMAS,ADRIAN(in the paint)",15,,15,,SEWANEE 15-15 (0),,"GOOD TIPIN by THOMAS,ADRIAN(in the paint)",1
12:11,,,,,"TURNOVER  by STEELE,AARON",,,"TURNOVER  by STEELE,AARON",1
11:59,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",17 (+2),,15,,SEWANEE 17-15 (-2),,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",1
11:46,,17,,17,"GOOD LAYUP by STEELE,AARON(in the paint)",HENDRIX 17-17 (0),,"GOOD LAYUP by STEELE,AARON(in the paint)",1
--,,,,,"ASSIST  by BATCHELOR,BRYCE",,,"ASSIST  by BATCHELOR,BRYCE",1
11:28,"GOOD 3PTR by BORN,CLAY",20 (+3),,17,,SEWANEE 20-17 (-3),,"GOOD 3PTR by BORN,CLAY",1
--,"ASSIST  by BUESCHER,HUNTER",,,,,,,"ASSIST  by BUESCHER,HUNTER",1
11:02,,,,,"MISS 3PTR by BATCHELOR,BRYCE",,,"MISS 3PTR by BATCHELOR,BRYCE",1
--,,,,,"REBOUND OFF by NOTLEY,CHANDLER",,,"REBOUND OFF by NOTLEY,CHANDLER",1
10:53,,20 (+1),,19,"GOOD LAYUP by NOTLEY,CHANDLER(in the paint)",HENDRIX 20-19 (-1),,"GOOD LAYUP by NOTLEY,CHANDLER(in the paint)",1
--,,,,,"ASSIST  by PARKER,BRYCE",,,"ASSIST  by PARKER,BRYCE",1
10:37,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1
10:37,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
10:37,"SUB IN by SPENCER,JC",,,,,,,"SUB IN by SPENCER,JC",1
