Time Remaining,HXM,Away Team Score,Play Team Indicator,Home Team Score,ACM,Game Score,Team Indicator,Play,Period
19:46,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",1
--,,,,,"REBOUND DEF by GARRETT,JOSH",,,"REBOUND DEF by GARRETT,JOSH",1
19:40,,,,,"MISS 3PTR by HOGAN,KAM",,,"MISS 3PTR by HOGAN,KAM",1
--,"REBOUND DEF by CALAMESE,MICHAEL",,,,,,,"REBOUND DEF by CALAMESE,MICHAEL",1
19:33,"GOOD LAYUP by CALAMESE,MICHAEL(fastbreak)(in the paint)",2 (+2),,0,,HXM 2-0 (+2),,"GOOD LAYUP by CALAMESE,MICHAEL(fastbreak)(in the paint)",1
19:09,,2,,2,"GOOD JUMPER by GARRETT,JOSH",ACM 2-2 (0),,"GOOD JUMPER by GARRETT,JOSH",1
--,,,,,"ASSIST ASSIST by HOGAN,KAM",,,"ASSIST ASSIST by HOGAN,KAM",1
18:46,,,,,"FOUL  by QUINN,JOSH",,,"FOUL  by QUINN,JOSH",1
18:45,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",1
18:44,,,,,"STEAL  by WELLS,AUSTIN",,,"STEAL  by WELLS,AUSTIN",1
18:38,"FOUL  by BRASFIELD,KAM",,,,,,,"FOUL  by BRASFIELD,KAM",1
18:25,,2,,4 (+2),"GOOD LAYUP by GARRETT,JOSH(in the paint)",ACM 2-4 (-2),,"GOOD LAYUP by GARRETT,JOSH(in the paint)",1
--,,,,,"ASSIST ASSIST by WELLS,AUSTIN",,,"ASSIST ASSIST by WELLS,AUSTIN",1
18:07,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",1
18:06,,,,,"STEAL  by HOLLAND,MICHAEL",,,"STEAL  by HOLLAND,MICHAEL",1
18:00,,,,,"MISS LAYUP by HOLLAND,MICHAEL",,,"MISS LAYUP by HOLLAND,MICHAEL",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
17:38,"MISS JUMPER by CALAMESE,MICHAEL",,,,,,,"MISS JUMPER by CALAMESE,MICHAEL",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
17:35,,,,,"SUB IN by NICKENS,ZACHARY",,,"SUB IN by NICKENS,ZACHARY",1
17:35,,,,,"SUB IN by HILL,KAMERON",,,"SUB IN by HILL,KAMERON",1
17:35,,,,,"SUB IN by MERCADEL,JUSTICE",,,"SUB IN by MERCADEL,JUSTICE",1
17:35,,,,,"SUB OUT by QUINN,JOSH",,,"SUB OUT by QUINN,JOSH",1
17:35,,,,,"SUB OUT by HOGAN,KAM",,,"SUB OUT by HOGAN,KAM",1
17:35,,,,,"SUB OUT by GARRETT,JOSH",,,"SUB OUT by GARRETT,JOSH",1
17:31,,,,,"FOUL  by NICKENS,ZACHARY",,,"FOUL  by NICKENS,ZACHARY",1
17:31,"MISS FT by NOTLEY,CHANDLER",,,,,,,"MISS FT by NOTLEY,CHANDLER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:31,"MISS FT by NOTLEY,CHANDLER",,,,,,,"MISS FT by NOTLEY,CHANDLER",1
--,,,,,"REBOUND DEF by HOLLAND,MICHAEL",,,"REBOUND DEF by HOLLAND,MICHAEL",1
17:17,,,,,"MISS 3PTR by HILL,KAMERON",,,"MISS 3PTR by HILL,KAMERON",1
--,"REBOUND DEF by NOTLEY,CHANDLER",,,,,,,"REBOUND DEF by NOTLEY,CHANDLER",1
17:05,"TURNOVER  by CALAMESE,MICHAEL",,,,,,,"TURNOVER  by CALAMESE,MICHAEL",1
17:05,,,,,"STEAL  by NICKENS,ZACHARY",,,"STEAL  by NICKENS,ZACHARY",1
17:01,"FOUL  by CALAMESE,MICHAEL",,,,,,,"FOUL  by CALAMESE,MICHAEL",1
16:58,,,,,"MISS 3PTR by MERCADEL,JUSTICE",,,"MISS 3PTR by MERCADEL,JUSTICE",1
--,"REBOUND DEF by NOTLEY,CHANDLER",,,,,,,"REBOUND DEF by NOTLEY,CHANDLER",1
16:32,"GOOD JUMPER by BRASFIELD,KAM(in the paint)",4,,4,,HXM 4-4 (0),,"GOOD JUMPER by BRASFIELD,KAM(in the paint)",1
16:16,,,,,"MISS JUMPER by WELLS,AUSTIN",,,"MISS JUMPER by WELLS,AUSTIN",1
--,"REBOUND DEF by NOTLEY,CHANDLER",,,,,,,"REBOUND DEF by NOTLEY,CHANDLER",1
16:10,"TURNOVER  by CALAMESE,MICHAEL",,,,,,,"TURNOVER  by CALAMESE,MICHAEL",1
16:10,"SUB IN by MOORE,AUSTIN",,,,,,,"SUB IN by MOORE,AUSTIN",1
15:55,,4,,7 (+3),"GOOD 3PTR by WELLS,AUSTIN",ACM 4-7 (-3),,"GOOD 3PTR by WELLS,AUSTIN",1
--,,,,,"ASSIST ASSIST by NICKENS,ZACHARY",,,"ASSIST ASSIST by NICKENS,ZACHARY",1
15:38,"GOOD 3PTR by ROUSE,TREY",7,,7,,HXM 7-7 (0),,"GOOD 3PTR by ROUSE,TREY",1
--,"ASSIST ASSIST by BRASFIELD,KAM",,,,,,,"ASSIST ASSIST by BRASFIELD,KAM",1
15:28,,,,,"FOUL  by MERCADEL,JUSTICE",,,"FOUL  by MERCADEL,JUSTICE",1
15:28,,,,,"TURNOVER  by MERCADEL,JUSTICE",,,"TURNOVER  by MERCADEL,JUSTICE",1
15:17,"GOOD JUMPER by MOORE,AUSTIN",9 (+2),,7,,HXM 9-7 (+2),,"GOOD JUMPER by MOORE,AUSTIN",1
15:03,,,,,"MISS 3PTR by WELLS,AUSTIN",,,"MISS 3PTR by WELLS,AUSTIN",1
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",1
14:56,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",11 (+4),,7,,HXM 11-7 (+4),,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",1
14:55,,,,,"FOUL  by NICKENS,ZACHARY",,,"FOUL  by NICKENS,ZACHARY",1
14:55,"MISS FT by CRISWELL,SEAN",,,,,,,"MISS FT by CRISWELL,SEAN",1
--,,,,,"REBOUND DEF by MERCADEL,JUSTICE",,,"REBOUND DEF by MERCADEL,JUSTICE",1
14:55,,,,,"SUB IN by GARRETT,JOSH",,,"SUB IN by GARRETT,JOSH",1
14:55,,,,,"SUB IN by HOGAN,KAM",,,"SUB IN by HOGAN,KAM",1
14:55,,,,,"SUB IN by QUINN,JOSH",,,"SUB IN by QUINN,JOSH",1
14:55,,,,,"SUB OUT by NICKENS,ZACHARY",,,"SUB OUT by NICKENS,ZACHARY",1
14:55,,,,,"SUB OUT by WELLS,AUSTIN",,,"SUB OUT by WELLS,AUSTIN",1
14:55,,,,,"SUB OUT by HOLLAND,MICHAEL",,,"SUB OUT by HOLLAND,MICHAEL",1
14:42,,,,,"TURNOVER  by GARRETT,JOSH",,,"TURNOVER  by GARRETT,JOSH",1
14:39,"SUB IN by ROBERTS,ERIC",,,,,,,"SUB IN by ROBERTS,ERIC",1
14:39,"SUB IN by HALL,MARCIS",,,,,,,"SUB IN by HALL,MARCIS",1
14:39,,,,,"SUB IN by HARDWICK,JOSH",,,"SUB IN by HARDWICK,JOSH",1
14:39,,,,,"SUB OUT by HILL,KAMERON",,,"SUB OUT by HILL,KAMERON",1
14:23,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",1
14:14,,11 (+1),,10,"GOOD 3PTR by QUINN,JOSH",ACM 11-10 (+1),,"GOOD 3PTR by QUINN,JOSH",1
--,,,,,"ASSIST ASSIST by HARDWICK,JOSH",,,"ASSIST ASSIST by HARDWICK,JOSH",1
13:46,,,,,"FOUL  by HARDWICK,JOSH",,,"FOUL  by HARDWICK,JOSH",1
13:46,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",1
13:46,"SUB IN by CRAWFORD,TRACE",,,,,,,"SUB IN by CRAWFORD,TRACE",1
13:44,"GOOD LAYUP by HALL,MARCIS(in the paint)",13 (+3),,10,,HXM 13-10 (+3),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
--,"ASSIST ASSIST by CALAMESE,MICHAEL",,,,,,,"ASSIST ASSIST by CALAMESE,MICHAEL",1
13:44,,,,,"FOUL  by MERCADEL,JUSTICE",,,"FOUL  by MERCADEL,JUSTICE",1
13:44,"GOOD FT by HALL,MARCIS",14 (+4),,10,,HXM 14-10 (+4),,"GOOD FT by HALL,MARCIS",1
13:44,,,,,"SUB IN by HOLLAND,MICHAEL",,,"SUB IN by HOLLAND,MICHAEL",1
13:44,,,,,"SUB OUT by MERCADEL,JUSTICE",,,"SUB OUT by MERCADEL,JUSTICE",1
13:28,,14 (+2),,12,"GOOD LAYUP by GARRETT,JOSH(in the paint)",ACM 14-12 (+2),,"GOOD LAYUP by GARRETT,JOSH(in the paint)",1
--,,,,,"ASSIST ASSIST by QUINN,JOSH",,,"ASSIST ASSIST by QUINN,JOSH",1
13:14,"FOUL  by ROBERTS,ERIC",,,,,,,"FOUL  by ROBERTS,ERIC",1
13:14,"TURNOVER  by ROBERTS,ERIC",,,,,,,"TURNOVER  by ROBERTS,ERIC",1
13:06,,14,,15 (+1),"GOOD 3PTR by HARDWICK,JOSH",ACM 14-15 (-1),,"GOOD 3PTR by HARDWICK,JOSH",1
--,,,,,"ASSIST ASSIST by HOGAN,KAM",,,"ASSIST ASSIST by HOGAN,KAM",1
12:27,"GOOD LAYUP by MOORE,AUSTIN(in the paint)",16 (+1),,15,,HXM 16-15 (+1),,"GOOD LAYUP by MOORE,AUSTIN(in the paint)",1
--,"ASSIST ASSIST by CALAMESE,MICHAEL",,,,,,,"ASSIST ASSIST by CALAMESE,MICHAEL",1
12:19,,16,,18 (+2),"GOOD 3PTR by HARDWICK,JOSH",ACM 16-18 (-2),,"GOOD 3PTR by HARDWICK,JOSH",1
12:00,,,,,"FOUL  by HARDWICK,JOSH",,,"FOUL  by HARDWICK,JOSH",1
12:00,"MISS FT by MOORE,AUSTIN",,,,,,,"MISS FT by MOORE,AUSTIN",1
--,,,,,"REBOUND DEF by GARRETT,JOSH",,,"REBOUND DEF by GARRETT,JOSH",1
11:54,,,,,"MISS LAYUP by QUINN,JOSH",,,"MISS LAYUP by QUINN,JOSH",1
--,"REBOUND DEF by HALL,MARCIS",,,,,,,"REBOUND DEF by HALL,MARCIS",1
11:50,"TURNOVER  by HALL,MARCIS",,,,,,,"TURNOVER  by HALL,MARCIS",1
11:49,,,,,"STEAL  by HOGAN,KAM",,,"STEAL  by HOGAN,KAM",1
11:49,,16,,20 (+4),"GOOD LAYUP by GARRETT,JOSH(in the paint)",ACM 16-20 (-4),,"GOOD LAYUP by GARRETT,JOSH(in the paint)",1
--,,,,,"ASSIST ASSIST by HOGAN,KAM",,,"ASSIST ASSIST by HOGAN,KAM",1
11:37,,,,,"FOUL  by GARRETT,JOSH",,,"FOUL  by GARRETT,JOSH",1
11:37,"MISS FT by MOORE,AUSTIN",,,,,,,"MISS FT by MOORE,AUSTIN",1
--,,,,,"REBOUND DEF by HARDWICK,JOSH",,,"REBOUND DEF by HARDWICK,JOSH",1
11:37,,,,,"SUB IN by WELLS,AUSTIN",,,"SUB IN by WELLS,AUSTIN",1
11:37,,,,,"SUB OUT by GARRETT,JOSH",,,"SUB OUT by GARRETT,JOSH",1
11:35,"FOUL  by MOORE,AUSTIN",,,,,,,"FOUL  by MOORE,AUSTIN",1
11:17,,,,,"MISS 3PTR by HOGAN,KAM",,,"MISS 3PTR by HOGAN,KAM",1
--,"REBOUND DEF by CALAMESE,MICHAEL",,,,,,,"REBOUND DEF by CALAMESE,MICHAEL",1
11:10,"MISS LAYUP by CALAMESE,MICHAEL",,,,,,,"MISS LAYUP by CALAMESE,MICHAEL",1
--,"REBOUND OFF by HALL,MARCIS",,,,,,,"REBOUND OFF by HALL,MARCIS",1
11:05,"MISS LAYUP by ROBERTS,ERIC",,,,,,,"MISS LAYUP by ROBERTS,ERIC",1
--,,,,,"REBOUND DEF by HARDWICK,JOSH",,,"REBOUND DEF by HARDWICK,JOSH",1
10:49,"FOUL  by CRAWFORD,TRACE",,,,,,,"FOUL  by CRAWFORD,TRACE",1
10:49,"SUB IN by NOTLEY,CHANDLER",,,,,,,"SUB IN by NOTLEY,CHANDLER",1
10:49,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",1
