Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,BERRY,Game Score,Team Indicator,Play,Period
19:46,,,,,"TURNOVER  by JONES,DREW",,,"TURNOVER  by JONES,DREW",1
19:24,"GOOD LAYUP by FITCH,CARL(in the paint)",2 (+2),,0,,HENDRIX 2-0 (+2),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
--,"ASSIST  by II,ROD CUMMINGS",,,,,,,"ASSIST  by II,ROD CUMMINGS",1
19:12,,2,,2,"GOOD JUMPER by JOHNSON,MICAH",BERRY 2-2 (0),,"GOOD JUMPER by JOHNSON,MICAH",1
18:51,"TURNOVER  by COMAN,SEAN",,,,,,,"TURNOVER  by COMAN,SEAN",1
18:35,,,,,"TURNOVER  by BROOKS,AUSTIN",,,"TURNOVER  by BROOKS,AUSTIN",1
18:35,"STEAL  by STANLEY,SETH",,,,,,,"STEAL  by STANLEY,SETH",1
18:30,"TURNOVER  by II,ROD CUMMINGS",,,,,,,"TURNOVER  by II,ROD CUMMINGS",1
18:16,,,,,"MISS JUMPER by BROOKS,AUSTIN",,,"MISS JUMPER by BROOKS,AUSTIN",1
--,"REBOUND DEF by II,ROD CUMMINGS",,,,,,,"REBOUND DEF by II,ROD CUMMINGS",1
18:16,"BLOCK  by FITCH,CARL",,,,,,,"BLOCK  by FITCH,CARL",1
18:07,,,,,"FOUL  by JONES,DREW",,,"FOUL  by JONES,DREW",1
18:06,"TURNOVER  by II,ROD CUMMINGS",,,,,,,"TURNOVER  by II,ROD CUMMINGS",1
18:06,,,,,"STEAL  by JOHNSON,MICAH",,,"STEAL  by JOHNSON,MICAH",1
18:02,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
18:02,,2,,3 (+1),"GOOD FT by JOHNSON,MICAH(fastbreak)",BERRY 2-3 (-1),,"GOOD FT by JOHNSON,MICAH(fastbreak)",1
18:02,,2,,4 (+2),"GOOD FT by JOHNSON,MICAH(fastbreak)",BERRY 2-4 (-2),,"GOOD FT by JOHNSON,MICAH(fastbreak)",1
17:47,"GOOD 3PTR by STANLEY,SETH",5 (+1),,4,,HENDRIX 5-4 (+1),,"GOOD 3PTR by STANLEY,SETH",1
--,"ASSIST  by DEITHLOFF,TYLER",,,,,,,"ASSIST  by DEITHLOFF,TYLER",1
17:47,,,,,"FOUL  by JOHNSON,MICAH",,,"FOUL  by JOHNSON,MICAH",1
17:47,"MISS FT by STANLEY,SETH",,,,,,,"MISS FT by STANLEY,SETH",1
--,,,,,"REBOUND DEF by BROOKS,AUSTIN",,,"REBOUND DEF by BROOKS,AUSTIN",1
17:41,"FOUL  by II,ROD CUMMINGS",,,,,,,"FOUL  by II,ROD CUMMINGS",1
17:26,,,,,"MISS JUMPER by WEHUNT,DAWSON",,,"MISS JUMPER by WEHUNT,DAWSON",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
17:17,"GOOD 3PTR by DEITHLOFF,TYLER",8 (+4),,4,,HENDRIX 8-4 (+4),,"GOOD 3PTR by DEITHLOFF,TYLER",1
--,"ASSIST  by STANLEY,SETH",,,,,,,"ASSIST  by STANLEY,SETH",1
17:03,,,,,"TURNOVER  by JOHNSON,MICAH",,,"TURNOVER  by JOHNSON,MICAH",1
17:03,"STEAL  by DEITHLOFF,TYLER",,,,,,,"STEAL  by DEITHLOFF,TYLER",1
16:52,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by WEHUNT,DAWSON",,,"REBOUND DEF by WEHUNT,DAWSON",1
