Time Remaining,OZARKS,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
19:43,"GOOD LAYUP by NIX,GRAYSON(in the paint)",2 (+2),,0,,OZARKS 2-0 (-2),,"GOOD LAYUP by NIX,GRAYSON(in the paint)",1
19:14,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",1
19:12,"STEAL  by DUKES,JACOB",,,,,,,"STEAL  by DUKES,JACOB",1
19:00,"GOOD LAYUP by ROELKE,KAMREN(in the paint)",4 (+4),,0,,OZARKS 4-0 (-4),,"GOOD LAYUP by ROELKE,KAMREN(in the paint)",1
18:39,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
18:39,"BLOCK  by FRESH,RAY",,,,,,,"BLOCK  by FRESH,RAY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
18:32,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",1
18:32,"BLOCK  by DUKES,JACOB",,,,,,,"BLOCK  by DUKES,JACOB",1
--,"REBOUND DEF by NIX,GRAYSON",,,,,,,"REBOUND DEF by NIX,GRAYSON",1
18:11,"MISS LAYUP by ROELKE,KAMREN",,,,,,,"MISS LAYUP by ROELKE,KAMREN",1
--,"REBOUND OFF by ROELKE,KAMREN",,,,,,,"REBOUND OFF by ROELKE,KAMREN",1
18:08,"MISS LAYUP by ROELKE,KAMREN",,,,,,,"MISS LAYUP by ROELKE,KAMREN",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
18:01,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by NIX,GRAYSON",,,,,,,"REBOUND DEF by NIX,GRAYSON",1
17:47,"MISS 3PTR by NIX,GRAYSON",,,,,,,"MISS 3PTR by NIX,GRAYSON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
17:22,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by NIX,GRAYSON",,,,,,,"REBOUND DEF by NIX,GRAYSON",1
17:09,"MISS JUMPER by DUKES,JACOB",,,,,,,"MISS JUMPER by DUKES,JACOB",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
16:51,,,,,"TURNOVER  by RYAN,JONATHAN",,,"TURNOVER  by RYAN,JONATHAN",1
16:49,"STEAL  by FRESH,RAY",,,,,,,"STEAL  by FRESH,RAY",1
16:47,"GOOD LAYUP by FRESH,RAY(fastbreak)(in the paint)",6 (+6),,0,,OZARKS 6-0 (-6),,"GOOD LAYUP by FRESH,RAY(fastbreak)(in the paint)",1
16:25,"FOUL  by FRESH,RAY",,,,,,,"FOUL  by FRESH,RAY",1
16:25,,6 (+5),,1,"GOOD FT by STANLEY,SETH",HENDRIX 6-1 (-5),,"GOOD FT by STANLEY,SETH",1
16:25,,6 (+4),,2,"GOOD FT by STANLEY,SETH",HENDRIX 6-2 (-4),,"GOOD FT by STANLEY,SETH",1
16:25,"SUB IN by FINLEY,GARRET",,,,,,,"SUB IN by FINLEY,GARRET",1
16:25,"SUB OUT by DUKES,JACOB",,,,,,,"SUB OUT by DUKES,JACOB",1
16:07,"MISS 3PTR by FINLEY,GARRET",,,,,,,"MISS 3PTR by FINLEY,GARRET",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
15:46,"FOUL  by FRESH,RAY",,,,,,,"FOUL  by FRESH,RAY",1
15:46,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
