Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:39,,,,,"TURNOVER  by URSIN,AARON",,,"TURNOVER  by URSIN,AARON",1
19:27,"GOOD JUMPER by TORRES,JADEN(in the paint)",2 (+2),,0,,Hend 2-0 (+2),,"GOOD JUMPER by TORRES,JADEN(in the paint)",1
19:09,,2,,2,"GOOD JUMPER by URSIN,AARON(in the paint)",Mill 2-2 (0),,"GOOD JUMPER by URSIN,AARON(in the paint)",1
18:59,"MISS JUMPER by WEAVER,BRADEN(in the paint)",,,,,,,"MISS JUMPER by WEAVER,BRADEN(in the paint)",1
--,,,,,"REBOUND DEF by GASCA,DAKOTA",,,"REBOUND DEF by GASCA,DAKOTA",1
18:51,,2,,4 (+2),"GOOD LAYUP by GASCA,DAKOTA(fastbreak)(in the paint)",Mill 2-4 (-2),,"GOOD LAYUP by GASCA,DAKOTA(fastbreak)(in the paint)",1
18:36,"MISS LAYUP by DEITHLOFF,TYLER(in the paint)",,,,,,,"MISS LAYUP by DEITHLOFF,TYLER(in the paint)",1
18:36,,,,,"BLOCK  by BONNECAZE,STEWART",,,"BLOCK  by BONNECAZE,STEWART",1
--,,,,,"REBOUND DEF by GASCA,DAKOTA",,,"REBOUND DEF by GASCA,DAKOTA",1
18:25,,,,,"MISS LAYUP by GASCA,DAKOTA(in the paint)",,,"MISS LAYUP by GASCA,DAKOTA(in the paint)",1
--,"REBOUND DEF by BERRY,COLTEN",,,,,,,"REBOUND DEF by BERRY,COLTEN",1
18:09,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",4,,4,,Hend 4-4 (0),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
17:44,,,,,"MISS JUMPER by URSIN,AARON(in the paint)",,,"MISS JUMPER by URSIN,AARON(in the paint)",1
--,"REBOUND DEF by BERRY,COLTEN",,,,,,,"REBOUND DEF by BERRY,COLTEN",1
17:26,"MISS LAYUP by BERRY,COLTEN(in the paint)",,,,,,,"MISS LAYUP by BERRY,COLTEN(in the paint)",1
--,,,,,"REBOUND DEF by URSIN,AARON",,,"REBOUND DEF by URSIN,AARON",1
17:15,,,,,"MISS JUMPER by WATSON,DOUG",,,"MISS JUMPER by WATSON,DOUG",1
--,"REBOUND DEF by WEAVER,BRADEN",,,,,,,"REBOUND DEF by WEAVER,BRADEN",1
17:07,"GOOD JUMPER by SQUIRES,CALEB(in the paint)",6 (+2),,4,,Hend 6-4 (+2),,"GOOD JUMPER by SQUIRES,CALEB(in the paint)",1
16:44,,,,,"MISS LAYUP by URSIN,AARON(in the paint)",,,"MISS LAYUP by URSIN,AARON(in the paint)",1
--,"REBOUND DEF by TORRES,JADEN",,,,,,,"REBOUND DEF by TORRES,JADEN",1
16:44,,,,,"FOUL  by URSIN,AARON",,,"FOUL  by URSIN,AARON",1
16:44,,,,,"SUB OUT by BUSH,RODREEKAS",,,"SUB OUT by BUSH,RODREEKAS",1
16:44,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
16:44,,,,,"SUB IN by UGHOVWA,NICHOLAS",,,"SUB IN by UGHOVWA,NICHOLAS",1
16:44,,,,,"SUB IN by PHILLIPS JR,RODNEY",,,"SUB IN by PHILLIPS JR,RODNEY",1
16:18,"MISS LAYUP by BERRY,COLTEN(in the paint)",,,,,,,"MISS LAYUP by BERRY,COLTEN(in the paint)",1
--,,,,,"REBOUND DEF by UGHOVWA,NICHOLAS",,,"REBOUND DEF by UGHOVWA,NICHOLAS",1
16:09,,6,,6,"GOOD LAYUP by BONNECAZE,STEWART(in the paint)",Mill 6-6 (0),,"GOOD LAYUP by BONNECAZE,STEWART(in the paint)",1
15:56,,,,,"FOUL  by BONNECAZE,STEWART",,,"FOUL  by BONNECAZE,STEWART",1
15:56,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:56,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,,,,,"REBOUND DEF by WATSON,DOUG",,,"REBOUND DEF by WATSON,DOUG",1
15:38,,6,,9 (+3),"GOOD 3PTR by PHILLIPS JR,RODNEY",Mill 6-9 (-3),,"GOOD 3PTR by PHILLIPS JR,RODNEY",1
--,,,,,"ASSIST  by WATSON,DOUG",,,"ASSIST  by WATSON,DOUG",1
15:17,"GOOD JUMPER by WEAVER,BRADEN(in the paint)",8,,9 (+1),,Hend 8-9 (-1),,"GOOD JUMPER by WEAVER,BRADEN(in the paint)",1
15:00,,,,,"MISS JUMPER by WATSON,DOUG",,,"MISS JUMPER by WATSON,DOUG",1
--,"REBOUND DEF by BERRY,COLTEN",,,,,,,"REBOUND DEF by BERRY,COLTEN",1
14:36,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",10 (+1),,9,,Hend 10-9 (+1),,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",1
14:14,,10,,11 (+1),"GOOD JUMPER by PHILLIPS JR,RODNEY(in the paint)",Mill 10-11 (-1),,"GOOD JUMPER by PHILLIPS JR,RODNEY(in the paint)",1
14:14,"FOUL  by WEAVER,BRADEN",,,,,,,"FOUL  by WEAVER,BRADEN",1
14:14,,,,,"SUB OUT by BONNECAZE,STEWART",,,"SUB OUT by BONNECAZE,STEWART",1
14:14,,,,,"SUB OUT by GASCA,DAKOTA",,,"SUB OUT by GASCA,DAKOTA",1
14:14,,,,,"SUB IN by LITTLE ,JAMES",,,"SUB IN by LITTLE ,JAMES",1
14:14,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
14:14,"SUB OUT by WEAVER,BRADEN",,,,,,,"SUB OUT by WEAVER,BRADEN",1
14:14,"SUB OUT by TORRES,JADEN",,,,,,,"SUB OUT by TORRES,JADEN",1
14:14,"SUB OUT by BERRY,COLTEN",,,,,,,"SUB OUT by BERRY,COLTEN",1
14:14,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",1
14:14,"SUB IN by PATTON,LUKE",,,,,,,"SUB IN by PATTON,LUKE",1
14:14,"SUB IN by COBB,DANIEL",,,,,,,"SUB IN by COBB,DANIEL",1
14:10,,10,,12 (+2),"GOOD FT by PHILLIPS JR,RODNEY",Mill 10-12 (-2),,"GOOD FT by PHILLIPS JR,RODNEY",1
14:08,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",12,,12,,Hend 12-12 (0),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
14:00,,12,,14 (+2),"GOOD LAYUP by UGHOVWA,NICHOLAS(in the paint)",Mill 12-14 (-2),,"GOOD LAYUP by UGHOVWA,NICHOLAS(in the paint)",1
--,,,,,"ASSIST  by PHILLIPS JR,RODNEY",,,"ASSIST  by PHILLIPS JR,RODNEY",1
13:46,"MISS LAYUP by DEITHLOFF,TYLER(in the paint)",,,,,,,"MISS LAYUP by DEITHLOFF,TYLER(in the paint)",1
--,,,,,"REBOUND DEF by UGHOVWA,NICHOLAS",,,"REBOUND DEF by UGHOVWA,NICHOLAS",1
13:37,,12,,17 (+5),"GOOD 3PTR by WATSON,DOUG",Mill 12-17 (-5),,"GOOD 3PTR by WATSON,DOUG",1
--,,,,,"ASSIST  by RUCKER,CAM",,,"ASSIST  by RUCKER,CAM",1
13:23,"TURNOVER  by SQUIRES,CALEB",,,,,,,"TURNOVER  by SQUIRES,CALEB",1
13:23,,,,,"STEAL  by LITTLE ,JAMES",,,"STEAL  by LITTLE ,JAMES",1
13:16,,12,,19 (+7),"GOOD DUNK by LITTLE ,JAMES(fastbreak)(in the paint)",Mill 12-19 (-7),,"GOOD DUNK by LITTLE ,JAMES(fastbreak)(in the paint)",1
13:04,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
12:25,"MISS LAYUP by MCMULLIN,COLTON(in the paint)",,,,,,,"MISS LAYUP by MCMULLIN,COLTON(in the paint)",1
