,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,1986,Hendrix,John Carroll,0,91-79,"43,36","47,44",3-5,4-5,N/A,N/A,12/29/16,2 p.m.,N/A,"Lebanon, Tenn. (Dallas Floyd Gymnasium)",Lose,2,False,195,False,19:27,"MISS 3PTR by BERGER,RYAN",,,,,,,"MISS 3PTR by BERGER,RYAN",1,three pointer,missed,john carroll,"berger,ryan",,"['david,linane', 'kucharewicz,simon', 'papich,brian', 'berger,ryan', 'ludlow,tim']","['littlefield,gearen', 'smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob']",1167
1,1986,Hendrix,John Carroll,0,91-79,"43,36","47,44",3-5,4-5,N/A,N/A,12/29/16,2 p.m.,N/A,"Lebanon, Tenn. (Dallas Floyd Gymnasium)",Lose,2,False,195,False,--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1,defensive rebound,,hendrix,"smith,preston",,"['david,linane', 'kucharewicz,simon', 'papich,brian', 'berger,ryan', 'ludlow,tim']","['littlefield,gearen', 'smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob']",
2,1986,Hendrix,John Carroll,0,91-79,"43,36","47,44",3-5,4-5,N/A,N/A,12/29/16,2 p.m.,N/A,"Lebanon, Tenn. (Dallas Floyd Gymnasium)",Lose,2,False,195,False,19:18,,,,,"TURNOVER  by SMITH,PRESTON",,,"TURNOVER  by SMITH,PRESTON",1,turnover,,hendrix,"smith,preston",,"['david,linane', 'kucharewicz,simon', 'papich,brian', 'berger,ryan', 'ludlow,tim']","['littlefield,gearen', 'smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob']",1158
3,1986,Hendrix,John Carroll,0,91-79,"43,36","47,44",3-5,4-5,N/A,N/A,12/29/16,2 p.m.,N/A,"Lebanon, Tenn. (Dallas Floyd Gymnasium)",Lose,2,False,195,False,19:03,"GOOD 3PTR by DAVID LINANE,JR",3 ,,0,,JCUM 3-0 (-3),,"GOOD 3PTR by DAVID LINANE,JR",1,three pointer,good,john carroll,"david linane,jr",3,"['david,linane', 'kucharewicz,simon', 'papich,brian', 'berger,ryan', 'ludlow,tim']","['littlefield,gearen', 'smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob']",1143
4,1986,Hendrix,John Carroll,0,91-79,"43,36","47,44",3-5,4-5,N/A,N/A,12/29/16,2 p.m.,N/A,"Lebanon, Tenn. (Dallas Floyd Gymnasium)",Lose,2,False,195,False,--,"ASSIST  by KUCHAREWICZ,SIMON",3 ,,0,,,,"ASSIST  by KUCHAREWICZ,SIMON",1,assist,,john carroll,"kucharewicz,simon",,"['david,linane', 'kucharewicz,simon', 'papich,brian', 'berger,ryan', 'ludlow,tim']","['littlefield,gearen', 'smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob']",
5,1986,Hendrix,John Carroll,0,91-79,"43,36","47,44",3-5,4-5,N/A,N/A,12/29/16,2 p.m.,N/A,"Lebanon, Tenn. (Dallas Floyd Gymnasium)",Lose,2,False,195,False,18:52,,3 ,,0,"MISS LAYUP by ALDOUS,HANK",,,"MISS LAYUP by ALDOUS,HANK",1,layup,missed,hendrix,"aldous,hank",,"['david,linane', 'kucharewicz,simon', 'papich,brian', 'berger,ryan', 'ludlow,tim']","['littlefield,gearen', 'smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob']",1132
6,1986,Hendrix,John Carroll,0,91-79,"43,36","47,44",3-5,4-5,N/A,N/A,12/29/16,2 p.m.,N/A,"Lebanon, Tenn. (Dallas Floyd Gymnasium)",Lose,2,False,195,False,18:52,"BLOCK  by KUCHAREWICZ,SIMON",3 ,,0,,,,"BLOCK  by KUCHAREWICZ,SIMON",1,block,,john carroll,"kucharewicz,simon",,"['david,linane', 'kucharewicz,simon', 'papich,brian', 'berger,ryan', 'ludlow,tim']","['littlefield,gearen', 'smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob']",1132
7,1986,Hendrix,John Carroll,0,91-79,"43,36","47,44",3-5,4-5,N/A,N/A,12/29/16,2 p.m.,N/A,"Lebanon, Tenn. (Dallas Floyd Gymnasium)",Lose,2,False,195,False,--,"REBOUND DEF by DAVID LINANE,JR",3 ,,0,,,,"REBOUND DEF by DAVID LINANE,JR",1,defensive rebound,,john carroll,"david linane,jr",,"['david,linane', 'kucharewicz,simon', 'papich,brian', 'berger,ryan', 'ludlow,tim']","['littlefield,gearen', 'smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob']",
8,1986,Hendrix,John Carroll,0,91-79,"43,36","47,44",3-5,4-5,N/A,N/A,12/29/16,2 p.m.,N/A,"Lebanon, Tenn. (Dallas Floyd Gymnasium)",Lose,2,False,195,False,18:43,"MISS 3PTR by DAVID LINANE,JR",3 ,,0,,,,"MISS 3PTR by DAVID LINANE,JR",1,three pointer,missed,john carroll,"david linane,jr",,"['david,linane', 'kucharewicz,simon', 'papich,brian', 'berger,ryan', 'ludlow,tim']","['littlefield,gearen', 'smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob']",1123
9,1986,Hendrix,John Carroll,0,91-79,"43,36","47,44",3-5,4-5,N/A,N/A,12/29/16,2 p.m.,N/A,"Lebanon, Tenn. (Dallas Floyd Gymnasium)",Lose,2,False,195,False,--,,3 ,,0,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1,defensive rebound,,hendrix,"littlefield,gearen",,"['david,linane', 'kucharewicz,simon', 'papich,brian', 'berger,ryan', 'ludlow,tim']","['littlefield,gearen', 'smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob']",
10,1986,Hendrix,John Carroll,0,91-79,"43,36","47,44",3-5,4-5,N/A,N/A,12/29/16,2 p.m.,N/A,"Lebanon, Tenn. (Dallas Floyd Gymnasium)",Lose,2,False,195,False,18:15,,3 ,,2,"GOOD JUMPER by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 3-2 (-1),,"GOOD JUMPER by LITTLEFIELD,GEAREN(in the paint)",1,jumper,good,hendrix,"littlefield,gearen",2,"['david,linane', 'kucharewicz,simon', 'papich,brian', 'berger,ryan', 'ludlow,tim']","['littlefield,gearen', 'smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob']",1095
11,1986,Hendrix,John Carroll,0,91-79,"43,36","47,44",3-5,4-5,N/A,N/A,12/29/16,2 p.m.,N/A,"Lebanon, Tenn. (Dallas Floyd Gymnasium)",Lose,2,False,195,False,18:03,"MISS 3PTR by BERGER,RYAN",3 ,,2,,,,"MISS 3PTR by BERGER,RYAN",1,three pointer,missed,john carroll,"berger,ryan",,"['david,linane', 'kucharewicz,simon', 'papich,brian', 'berger,ryan', 'ludlow,tim']","['littlefield,gearen', 'smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob']",1083
12,1986,Hendrix,John Carroll,0,91-79,"43,36","47,44",3-5,4-5,N/A,N/A,12/29/16,2 p.m.,N/A,"Lebanon, Tenn. (Dallas Floyd Gymnasium)",Lose,2,False,195,False,--,"REBOUND OFF by KUCHAREWICZ,SIMON",3 ,,2,,,,"REBOUND OFF by KUCHAREWICZ,SIMON",1,offensive rebound,,john carroll,"kucharewicz,simon",,"['david,linane', 'kucharewicz,simon', 'papich,brian', 'berger,ryan', 'ludlow,tim']","['littlefield,gearen', 'smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob']",
13,1986,Hendrix,John Carroll,0,91-79,"43,36","47,44",3-5,4-5,N/A,N/A,12/29/16,2 p.m.,N/A,"Lebanon, Tenn. (Dallas Floyd Gymnasium)",Lose,2,False,195,False,17:55,,3 ,,2,"FOUL  by GARRETT,TRAVIS",,,"FOUL  by GARRETT,TRAVIS",1,foul,,hendrix,"garrett,travis",,"['david,linane', 'kucharewicz,simon', 'papich,brian', 'berger,ryan', 'ludlow,tim']","['littlefield,gearen', 'smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob']",1075
14,1986,Hendrix,John Carroll,0,91-79,"43,36","47,44",3-5,4-5,N/A,N/A,12/29/16,2 p.m.,N/A,"Lebanon, Tenn. (Dallas Floyd Gymnasium)",Lose,2,False,195,False,17:50,"MISS JUMPER by DAVID LINANE,JR",3 ,,2,,,,"MISS JUMPER by DAVID LINANE,JR",1,jumper,missed,john carroll,"david linane,jr",,"['david,linane', 'kucharewicz,simon', 'papich,brian', 'berger,ryan', 'ludlow,tim']","['littlefield,gearen', 'smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob']",1070
15,1986,Hendrix,John Carroll,0,91-79,"43,36","47,44",3-5,4-5,N/A,N/A,12/29/16,2 p.m.,N/A,"Lebanon, Tenn. (Dallas Floyd Gymnasium)",Lose,2,False,195,False,--,,3 ,,2,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1,defensive rebound,,hendrix,"aldous,hank",,"['david,linane', 'kucharewicz,simon', 'papich,brian', 'berger,ryan', 'ludlow,tim']","['littlefield,gearen', 'smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob']",
16,1986,Hendrix,John Carroll,0,91-79,"43,36","47,44",3-5,4-5,N/A,N/A,12/29/16,2 p.m.,N/A,"Lebanon, Tenn. (Dallas Floyd Gymnasium)",Lose,2,False,195,False,17:43,"FOUL  by BERGER,RYAN",3 ,,2,,,,"FOUL  by BERGER,RYAN",1,foul,,john carroll,"berger,ryan",,"['david,linane', 'kucharewicz,simon', 'papich,brian', 'berger,ryan', 'ludlow,tim']","['littlefield,gearen', 'smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob']",1063
