,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,5160,Austin,Hendrix,0,67-81,"46,35","29,38",1-0,0-1,,,11/08/22,7:30 PM,,Hughey Gym,Win,2,False,162,False,19:42,"FOUL  by DEITHLOFF,TYLER",,,,,,,"FOUL  by DEITHLOFF,TYLER",1,foul,,hendrix,"deithloff,tyler",,"['collier,ii,craig', 'deithloff,tyler', 'parks,jackson', 'ryan,jonathan', 'berry,colten']","['jones,jason', 'joe,joshua', 'dick,tristan', 'rennie,jackson', 'berry,ocie']",1182.0,hendrix,1,0,0.0
1,1,5160,Austin,Hendrix,0,67-81,"46,35","29,38",1-0,0-1,,,11/08/22,7:30 PM,,Hughey Gym,Win,2,False,162,False,19:42,"TURNOVER  by DEITHLOFF,TYLER",,,,,,,"TURNOVER  by DEITHLOFF,TYLER",1,turnover,,hendrix,"deithloff,tyler",,"['collier,ii,craig', 'deithloff,tyler', 'parks,jackson', 'ryan,jonathan', 'berry,colten']","['jones,jason', 'joe,joshua', 'dick,tristan', 'rennie,jackson', 'berry,ocie']",1182.0,hendrix,1,0,0.0
2,2,5160,Austin,Hendrix,0,67-81,"46,35","29,38",1-0,0-1,,,11/08/22,7:30 PM,,Hughey Gym,Win,2,False,162,False,19:26,,,,,"MISS LAYUP by JR,JASON JONES",,,"MISS LAYUP by JR,JASON JONES",1,layup,missed,austin,"jr,jason jones",,"['collier,ii,craig', 'deithloff,tyler', 'parks,jackson', 'ryan,jonathan', 'berry,colten']","['jones,jason', 'joe,joshua', 'dick,tristan', 'rennie,jackson', 'berry,ocie']",1166.0,austin,2,0,0.0
3,3,5160,Austin,Hendrix,0,67-81,"46,35","29,38",1-0,0-1,,,11/08/22,7:30 PM,,Hughey Gym,Win,2,False,162,False,--,"REBOUND DEF by BERRY,COLTEN",,,,,,,"REBOUND DEF by BERRY,COLTEN",1,defensive rebound,,hendrix,"berry,colten",,"['collier,ii,craig', 'deithloff,tyler', 'parks,jackson', 'ryan,jonathan', 'berry,colten']","['jones,jason', 'joe,joshua', 'dick,tristan', 'rennie,jackson', 'berry,ocie']",,austin,2,0,0.0
4,4,5160,Austin,Hendrix,0,67-81,"46,35","29,38",1-0,0-1,,,11/08/22,7:30 PM,,Hughey Gym,Win,2,False,162,False,19:09,"GOOD LAYUP by BERRY,COLTEN(in the paint)",2.0,,0.0,,HC 2-0 (+2),,"GOOD LAYUP by BERRY,COLTEN(in the paint)",1,layup,good,hendrix,"berry,colten",2.0,"['collier,ii,craig', 'deithloff,tyler', 'parks,jackson', 'ryan,jonathan', 'berry,colten']","['jones,jason', 'joe,joshua', 'dick,tristan', 'rennie,jackson', 'berry,ocie']",1149.0,hendrix,3,0,0.0
5,5,5160,Austin,Hendrix,0,67-81,"46,35","29,38",1-0,0-1,,,11/08/22,7:30 PM,,Hughey Gym,Win,2,False,162,False,--,"ASSIST  by PARKS,JACKSON",2.0,,0.0,,,,"ASSIST  by PARKS,JACKSON",1,assist,,hendrix,"parks,jackson",,"['collier,ii,craig', 'deithloff,tyler', 'parks,jackson', 'ryan,jonathan', 'berry,colten']","['jones,jason', 'joe,joshua', 'dick,tristan', 'rennie,jackson', 'berry,ocie']",,hendrix,3,0,0.0
6,6,5160,Austin,Hendrix,0,67-81,"46,35","29,38",1-0,0-1,,,11/08/22,7:30 PM,,Hughey Gym,Win,2,False,162,False,18:49,"FOUL  by BERRY,COLTEN",2.0,,0.0,,,,"FOUL  by BERRY,COLTEN",1,foul,,hendrix,"berry,colten",,"['collier,ii,craig', 'deithloff,tyler', 'parks,jackson', 'ryan,jonathan', 'berry,colten']","['jones,jason', 'joe,joshua', 'dick,tristan', 'rennie,jackson', 'berry,ocie']",1129.0,hendrix,3,0,0.0
7,7,5160,Austin,Hendrix,0,67-81,"46,35","29,38",1-0,0-1,,,11/08/22,7:30 PM,,Hughey Gym,Win,2,False,162,False,18:49,,2.0,,1.0,"GOOD FT by DICK,TRISTAN",AC 2-1 (+1),,"GOOD FT by DICK,TRISTAN",1,free throw,good,austin,"dick,tristan",1.0,"['collier,ii,craig', 'deithloff,tyler', 'parks,jackson', 'ryan,jonathan', 'berry,colten']","['jones,jason', 'joe,joshua', 'dick,tristan', 'rennie,jackson', 'berry,ocie']",1129.0,austin,4,0,0.0
8,8,5160,Austin,Hendrix,0,67-81,"46,35","29,38",1-0,0-1,,,11/08/22,7:30 PM,,Hughey Gym,Win,2,False,162,False,18:49,,2.0,,1.0,"MISS FT by DICK,TRISTAN",,,"MISS FT by DICK,TRISTAN",1,free throw,missed,austin,"dick,tristan",,"['collier,ii,craig', 'deithloff,tyler', 'parks,jackson', 'ryan,jonathan', 'berry,colten']","['jones,jason', 'joe,joshua', 'dick,tristan', 'rennie,jackson', 'berry,ocie']",1129.0,austin,4,0,0.0
9,9,5160,Austin,Hendrix,0,67-81,"46,35","29,38",1-0,0-1,,,11/08/22,7:30 PM,,Hughey Gym,Win,2,False,162,False,--,"REBOUND DEF by DEITHLOFF,TYLER",2.0,,1.0,,,,"REBOUND DEF by DEITHLOFF,TYLER",1,defensive rebound,,hendrix,"deithloff,tyler",,"['collier,ii,craig', 'deithloff,tyler', 'parks,jackson', 'ryan,jonathan', 'berry,colten']","['jones,jason', 'joe,joshua', 'dick,tristan', 'rennie,jackson', 'berry,ocie']",,austin,4,0,0.0
10,10,5160,Austin,Hendrix,0,67-81,"46,35","29,38",1-0,0-1,,,11/08/22,7:30 PM,,Hughey Gym,Win,2,False,162,False,18:34,,2.0,,1.0,"FOUL  by JR,JASON JONES",,,"FOUL  by JR,JASON JONES",1,foul,,austin,"jr,jason jones",,"['collier,ii,craig', 'deithloff,tyler', 'parks,jackson', 'ryan,jonathan', 'berry,colten']","['jones,jason', 'joe,joshua', 'dick,tristan', 'rennie,jackson', 'berry,ocie']",1114.0,hendrix,5,0,0.0
11,11,5160,Austin,Hendrix,0,67-81,"46,35","29,38",1-0,0-1,,,11/08/22,7:30 PM,,Hughey Gym,Win,2,False,162,False,18:34,"MISS FT by BERRY,COLTEN",2.0,,1.0,,,,"MISS FT by BERRY,COLTEN",1,free throw,missed,hendrix,"berry,colten",,"['collier,ii,craig', 'deithloff,tyler', 'parks,jackson', 'ryan,jonathan', 'berry,colten']","['jones,jason', 'joe,joshua', 'dick,tristan', 'rennie,jackson', 'berry,ocie']",1114.0,hendrix,5,0,0.0
12,12,5160,Austin,Hendrix,0,67-81,"46,35","29,38",1-0,0-1,,,11/08/22,7:30 PM,,Hughey Gym,Win,2,False,162,False,--,REBOUND DEADB by TEAM,2.0,,1.0,,,,REBOUND DEADB by TEAM,1,deadball rebound,,hendrix,,,"['collier,ii,craig', 'deithloff,tyler', 'parks,jackson', 'ryan,jonathan', 'berry,colten']","['jones,jason', 'joe,joshua', 'dick,tristan', 'rennie,jackson', 'berry,ocie']",,hendrix,5,0,0.0
