game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,19:44,,0,3,"GOOD 3PTR by GALOW,ANDREW",3,1,,,0,0,,,3ptr,good,1,1,1.0,1.0,39,2384
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,19:44,,0,3,"ASSIST  by HARTWELL,THEO",3,1,,,0,0,,,,,1,1,1.0,1.0,39,2384
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,19:23,"TURNOVER  by JOVAAG,BRANDEN",0,3,,3,1,,,0,0,,,,,1,1,1.0,1.0,39,2363
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,19:18,,0,3,"TURNOVER  by LIVSEY,GEOFF",3,1,,,0,0,,,,,1,1,1.0,1.0,39,2358
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,19:17,"STEAL  by MOLINET,CHRISTIAN",0,3,,3,1,,,0,0,,,,,1,1,1.0,1.0,39,2357
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,19:16,,0,3,"FOUL  by LIVSEY,GEOFF",3,1,,,0,0,,,foul,,1,1,1.0,1.0,39,2356
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,19:04,"MISS JUMPER by KINNEY,JORDAN",0,3,,3,1,jumper,miss,1,0,0.0,,,,1,1,1.0,1.0,39,2344
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,19:04,,0,3,"REBOUND DEF by LIVSEY,GEOFF",3,1,,,1,0,0.0,,,,1,1,1.0,1.0,39,2344
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,18:43,,0,5,"GOOD LAYUP by HARTWELL,THEO(in the paint)",5,1,,,1,0,0.0,,layup,good,2,1,1.0,1.0,38,2323
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,18:43,,0,5,"ASSIST  by GALOW,ANDREW",5,1,,,1,0,0.0,,,,2,1,1.0,1.0,38,2323
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,18:05,"MISS 3PTR by MOLINET,CHRISTIAN",0,5,,5,1,3ptr,miss,2,1,0.0,0.0,,,2,1,1.0,1.0,38,2285
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,18:05,"REBOUND OFF by DAVIS,ALEX",0,5,,5,1,,,2,1,0.0,0.0,,,2,1,1.0,1.0,38,2285
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,17:42,"MISS 3PTR by PURDY,SAM",0,5,,5,1,3ptr,miss,3,2,0.0,0.0,,,2,1,1.0,1.0,37,2262
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,17:42,,0,5,"REBOUND DEF by MCGRAIL,PATRICK",5,1,,,3,2,0.0,0.0,,,2,1,1.0,1.0,37,2262
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,17:25,,0,5,"TURNOVER  by LIVSEY,GEOFF",5,1,,,3,2,0.0,0.0,,,2,1,1.0,1.0,37,2245
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,17:24,"STEAL  by MOLINET,CHRISTIAN",0,5,,5,1,,,3,2,0.0,0.0,,,2,1,1.0,1.0,37,2244
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,17:06,"MISS 3PTR by MOLINET,CHRISTIAN",0,5,,5,1,3ptr,miss,4,3,0.0,0.0,,,2,1,1.0,1.0,37,2226
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,17:06,,0,5,"REBOUND DEF by MILLER,DREW",5,1,,,4,3,0.0,0.0,,,2,1,1.0,1.0,37,2226
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,16:38,,0,5,"TURNOVER  by LIVSEY,GEOFF",5,1,,,4,3,0.0,0.0,,,2,1,1.0,1.0,36,2198
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,16:37,"STEAL  by MOLINET,CHRISTIAN",0,5,,5,1,,,4,3,0.0,0.0,,,2,1,1.0,1.0,36,2197
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,16:16,"MISS LAYUP by KINNEY,JORDAN",0,5,,5,1,layup,miss,5,3,0.0,0.0,,,2,1,1.0,1.0,36,2176
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,16:16,,0,5,"REBOUND DEF by GALOW,ANDREW",5,1,,,5,3,0.0,0.0,,,2,1,1.0,1.0,36,2176
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,15:51,,0,5,"MISS LAYUP by LIVSEY,GEOFF",5,1,,,5,3,0.0,0.0,layup,miss,3,1,0.667,1.0,35,2151
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,15:51,"BLOCK  by KINNEY,JORDAN",0,5,,5,1,,,5,3,0.0,0.0,,,3,1,0.667,1.0,35,2151
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,15:51,,0,5,"REBOUND OFF by LIVSEY,GEOFF",5,1,,,5,3,0.0,0.0,,,3,1,0.667,1.0,35,2151
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,15:45,,0,5,"MISS LAYUP by LIVSEY,GEOFF",5,1,,,5,3,0.0,0.0,layup,miss,4,1,0.5,1.0,35,2145
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,15:45,"REBOUND DEF by KINNEY,JORDAN",0,5,,5,1,,,5,3,0.0,0.0,,,4,1,0.5,1.0,35,2145
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,15:24,"TURNOVER  by PURDY,SAM",0,5,,5,1,,,5,3,0.0,0.0,,,4,1,0.5,1.0,35,2124
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,15:23,,0,5,"STEAL  by LIVSEY,GEOFF",5,1,,,5,3,0.0,0.0,,,4,1,0.5,1.0,35,2123
21,Oglethorpe,Rhodes Men's Basketball,49-52,49,52,"15-7, 7-4","14-8, 9-2",02/10/13,Win,204,No Location Recorded,3:00 PM,15:13,,0,5,"TURNOVER  by HARTWELL,THEO",5,1,,,5,3,0.0,0.0,,,4,1,0.5,1.0,35,2113
