game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
6,Emory MBB,Rhodes Men's Basketball,70-48,70,48,5-2,2-4,12/01/12,Lose,150,No Location Recorded,4:00 PM,19:49,,0,0,"FOUL  by HARTWELL,THEO",0,1,,,0,0,,,foul,,0,0,,,39,2389
6,Emory MBB,Rhodes Men's Basketball,70-48,70,48,5-2,2-4,12/01/12,Lose,150,No Location Recorded,4:00 PM,19:26,"MISS JUMPER by DAVIS,JAKE",0,0,,0,1,jumper,miss,1,0,0.0,,,,0,0,,,39,2366
6,Emory MBB,Rhodes Men's Basketball,70-48,70,48,5-2,2-4,12/01/12,Lose,150,No Location Recorded,4:00 PM,19:26,"REBOUND OFF by DAVIS,JAKE",0,0,,0,1,,,1,0,0.0,,,,0,0,,,39,2366
6,Emory MBB,Rhodes Men's Basketball,70-48,70,48,5-2,2-4,12/01/12,Lose,150,No Location Recorded,4:00 PM,19:22,"MISS LAYUP by DAVIS,JAKE",0,0,,0,1,layup,miss,2,0,0.0,,,,0,0,,,39,2362
6,Emory MBB,Rhodes Men's Basketball,70-48,70,48,5-2,2-4,12/01/12,Lose,150,No Location Recorded,4:00 PM,19:22,,0,0,"REBOUND DEF by GALOW,ANDREW",0,1,,,2,0,0.0,,,,0,0,,,39,2362
6,Emory MBB,Rhodes Men's Basketball,70-48,70,48,5-2,2-4,12/01/12,Lose,150,No Location Recorded,4:00 PM,19:13,,0,2,"GOOD LAYUP by GALOW,ANDREW(in the paint)",2,1,,,2,0,0.0,,layup,good,1,0,1.0,,39,2353
6,Emory MBB,Rhodes Men's Basketball,70-48,70,48,5-2,2-4,12/01/12,Lose,150,No Location Recorded,4:00 PM,19:13,"FOUL  by GREVEN,ALEX",0,2,,2,1,foul,,2,0,0.0,,,,1,0,1.0,,39,2353
6,Emory MBB,Rhodes Men's Basketball,70-48,70,48,5-2,2-4,12/01/12,Lose,150,No Location Recorded,4:00 PM,19:13,,0,2,"MISS FT by GALOW,ANDREW",2,1,,,2,0,0.0,,ft,miss,2,0,0.5,,39,2353
6,Emory MBB,Rhodes Men's Basketball,70-48,70,48,5-2,2-4,12/01/12,Lose,150,No Location Recorded,4:00 PM,19:13,"REBOUND DEF by GREVEN,ALEX",0,2,,2,1,,,2,0,0.0,,,,2,0,0.5,,39,2353
6,Emory MBB,Rhodes Men's Basketball,70-48,70,48,5-2,2-4,12/01/12,Lose,150,No Location Recorded,4:00 PM,18:48,"GOOD LAYUP by FRIEDBERG,MICHAEL(in the paint)",2,2,,0,1,layup,good,3,0,0.333,,,,2,0,0.5,,38,2328
6,Emory MBB,Rhodes Men's Basketball,70-48,70,48,5-2,2-4,12/01/12,Lose,150,No Location Recorded,4:00 PM,18:48,"ASSIST  by GREVEN,ALEX",2,2,,0,1,,,3,0,0.333,,,,2,0,0.5,,38,2328
6,Emory MBB,Rhodes Men's Basketball,70-48,70,48,5-2,2-4,12/01/12,Lose,150,No Location Recorded,4:00 PM,18:27,,2,2,"MISS LAYUP by LIVSEY,GEOFF",0,1,,,3,0,0.333,,layup,miss,3,0,0.333,,38,2307
6,Emory MBB,Rhodes Men's Basketball,70-48,70,48,5-2,2-4,12/01/12,Lose,150,No Location Recorded,4:00 PM,18:27,"BLOCK  by FRIEDBERG,MICHAEL",2,2,,0,1,,,3,0,0.333,,,,3,0,0.333,,38,2307
6,Emory MBB,Rhodes Men's Basketball,70-48,70,48,5-2,2-4,12/01/12,Lose,150,No Location Recorded,4:00 PM,18:27,,2,2,REBOUND DEADB by TEAM,0,1,,,3,0,0.333,,,,3,0,0.333,,38,2307
6,Emory MBB,Rhodes Men's Basketball,70-48,70,48,5-2,2-4,12/01/12,Lose,150,No Location Recorded,4:00 PM,18:13,"MISS JUMPER by GREVEN,ALEX",2,2,,0,1,jumper,miss,4,0,0.25,,,,3,0,0.333,,38,2293
6,Emory MBB,Rhodes Men's Basketball,70-48,70,48,5-2,2-4,12/01/12,Lose,150,No Location Recorded,4:00 PM,18:13,,2,2,"REBOUND DEF by HARTWELL,THEO",0,1,,,4,0,0.25,,,,3,0,0.333,,38,2293
6,Emory MBB,Rhodes Men's Basketball,70-48,70,48,5-2,2-4,12/01/12,Lose,150,No Location Recorded,4:00 PM,17:55,"FOUL  by GREVEN,ALEX",2,2,,0,1,foul,,4,0,0.25,,,,3,0,0.333,,37,2275
