game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
7,Miss College MBB,Rhodes Men's Basketball,60-82,60,82,4-3,3-4,12/14/12,Win,100,No Location Recorded,7:00 PM,20:00,"SUB IN by RAGLAND,TURMONTE",0,0,,0,1,,,0,0,,,,,0,0,,,40,2400
7,Miss College MBB,Rhodes Men's Basketball,60-82,60,82,4-3,3-4,12/14/12,Win,100,No Location Recorded,7:00 PM,20:00,"SUB IN by BLAKE,BRANDON",0,0,,0,1,,,0,0,,,,,0,0,,,40,2400
7,Miss College MBB,Rhodes Men's Basketball,60-82,60,82,4-3,3-4,12/14/12,Win,100,No Location Recorded,7:00 PM,20:00,"SUB IN by SMITH,ADAM",0,0,,0,1,,,0,0,,,,,0,0,,,40,2400
7,Miss College MBB,Rhodes Men's Basketball,60-82,60,82,4-3,3-4,12/14/12,Win,100,No Location Recorded,7:00 PM,20:00,"SUB IN by VIC MCLIN,JR",0,0,,0,1,,,0,0,,,,,0,0,,,40,2400
7,Miss College MBB,Rhodes Men's Basketball,60-82,60,82,4-3,3-4,12/14/12,Win,100,No Location Recorded,7:00 PM,20:00,"SUB IN by DUNCAN,DARYL",0,0,,0,1,,,0,0,,,,,0,0,,,40,2400
7,Miss College MBB,Rhodes Men's Basketball,60-82,60,82,4-3,3-4,12/14/12,Win,100,No Location Recorded,7:00 PM,20:00,,0,0,"SUB IN by DUNAVANT,JOHN",0,1,,,0,0,,,,,0,0,,,40,2400
7,Miss College MBB,Rhodes Men's Basketball,60-82,60,82,4-3,3-4,12/14/12,Win,100,No Location Recorded,7:00 PM,20:00,,0,0,"SUB IN by GALOW,ANDREW",0,1,,,0,0,,,,,0,0,,,40,2400
7,Miss College MBB,Rhodes Men's Basketball,60-82,60,82,4-3,3-4,12/14/12,Win,100,No Location Recorded,7:00 PM,20:00,,0,0,"SUB IN by MCGRAIL,PATRICK",0,1,,,0,0,,,,,0,0,,,40,2400
7,Miss College MBB,Rhodes Men's Basketball,60-82,60,82,4-3,3-4,12/14/12,Win,100,No Location Recorded,7:00 PM,20:00,,0,0,"SUB IN by LIVSEY,GEOFF",0,1,,,0,0,,,,,0,0,,,40,2400
7,Miss College MBB,Rhodes Men's Basketball,60-82,60,82,4-3,3-4,12/14/12,Win,100,No Location Recorded,7:00 PM,20:00,,0,0,"SUB IN by HARTWELL,THEO",0,1,,,0,0,,,,,0,0,,,40,2400
7,Miss College MBB,Rhodes Men's Basketball,60-82,60,82,4-3,3-4,12/14/12,Win,100,No Location Recorded,7:00 PM,19:39,,0,2,"GOOD JUMPER by LIVSEY,GEOFF(in the paint)",2,1,,,0,0,,,jumper,good,1,0,1.0,,39,2379
7,Miss College MBB,Rhodes Men's Basketball,60-82,60,82,4-3,3-4,12/14/12,Win,100,No Location Recorded,7:00 PM,19:27,"MISS JUMPER by BLAKE,BRANDON",0,2,,2,1,jumper,miss,1,0,0.0,,,,1,0,1.0,,39,2367
7,Miss College MBB,Rhodes Men's Basketball,60-82,60,82,4-3,3-4,12/14/12,Win,100,No Location Recorded,7:00 PM,19:27,"REBOUND OFF by DUNCAN,DARYL",0,2,,2,1,,,1,0,0.0,,,,1,0,1.0,,39,2367
7,Miss College MBB,Rhodes Men's Basketball,60-82,60,82,4-3,3-4,12/14/12,Win,100,No Location Recorded,7:00 PM,19:13,"MISS JUMPER by BLAKE,BRANDON",0,2,,2,1,jumper,miss,2,0,0.0,,,,1,0,1.0,,39,2353
7,Miss College MBB,Rhodes Men's Basketball,60-82,60,82,4-3,3-4,12/14/12,Win,100,No Location Recorded,7:00 PM,19:13,,0,2,"REBOUND DEF by DUNAVANT,JOHN",2,1,,,2,0,0.0,,,,1,0,1.0,,39,2353
7,Miss College MBB,Rhodes Men's Basketball,60-82,60,82,4-3,3-4,12/14/12,Win,100,No Location Recorded,7:00 PM,18:52,,0,2,"MISS 3PTR by MCGRAIL,PATRICK",2,1,,,2,0,0.0,,3ptr,miss,2,1,0.5,0.0,38,2332
7,Miss College MBB,Rhodes Men's Basketball,60-82,60,82,4-3,3-4,12/14/12,Win,100,No Location Recorded,7:00 PM,18:52,"REBOUND DEF by BLAKE,BRANDON",0,2,,2,1,,,2,0,0.0,,,,2,1,0.5,0.0,38,2332
7,Miss College MBB,Rhodes Men's Basketball,60-82,60,82,4-3,3-4,12/14/12,Win,100,No Location Recorded,7:00 PM,18:32,"TURNOVER  by SMITH,ADAM",0,2,,2,1,,,2,0,0.0,,,,2,1,0.5,0.0,38,2312
