game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
16,Oglethorpe,Rhodes,66-63,66,63,"7-9, 2-3 SAA","8-8, 2-3 SAA",01/22/16,Lose,201,No Location Recorded,9:40 p.m.,19:39,,0,2,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",2,1,,,0,0,,,layup,good,1,0,1.0,,39,2379
16,Oglethorpe,Rhodes,66-63,66,63,"7-9, 2-3 SAA","8-8, 2-3 SAA",01/22/16,Lose,201,No Location Recorded,9:40 p.m.,19:24,,0,2,"FOUL  by GEE,TYLER",2,1,,,0,0,,,foul,,1,0,1.0,,39,2364
16,Oglethorpe,Rhodes,66-63,66,63,"7-9, 2-3 SAA","8-8, 2-3 SAA",01/22/16,Lose,201,No Location Recorded,9:40 p.m.,19:11,"GOOD 3PTR by LAWRENCE,CHRIS",3,2,,-1,1,3ptr,good,1,1,1.0,1.0,,,1,0,1.0,,39,2351
16,Oglethorpe,Rhodes,66-63,66,63,"7-9, 2-3 SAA","8-8, 2-3 SAA",01/22/16,Lose,201,No Location Recorded,9:40 p.m.,19:11,"ASSIST  by SMITH,CONNOR",3,2,,-1,1,,,1,1,1.0,1.0,,,1,0,1.0,,39,2351
16,Oglethorpe,Rhodes,66-63,66,63,"7-9, 2-3 SAA","8-8, 2-3 SAA",01/22/16,Lose,201,No Location Recorded,9:40 p.m.,18:43,"FOUL  by SMITH,CONNOR",3,2,,-1,1,foul,,1,1,1.0,1.0,,,1,0,1.0,,38,2323
16,Oglethorpe,Rhodes,66-63,66,63,"7-9, 2-3 SAA","8-8, 2-3 SAA",01/22/16,Lose,201,No Location Recorded,9:40 p.m.,18:41,,3,2,"TURNOVER  by GEE,TYLER",-1,1,,,1,1,1.0,1.0,,,1,0,1.0,,38,2321
16,Oglethorpe,Rhodes,66-63,66,63,"7-9, 2-3 SAA","8-8, 2-3 SAA",01/22/16,Lose,201,No Location Recorded,9:40 p.m.,18:40,"STEAL  by WARDLAW,CHASE",3,2,,-1,1,,,1,1,1.0,1.0,,,1,0,1.0,,38,2320
16,Oglethorpe,Rhodes,66-63,66,63,"7-9, 2-3 SAA","8-8, 2-3 SAA",01/22/16,Lose,201,No Location Recorded,9:40 p.m.,18:38,"TURNOVER  by PERRY,WILL",3,2,,-1,1,,,1,1,1.0,1.0,,,1,0,1.0,,38,2318
16,Oglethorpe,Rhodes,66-63,66,63,"7-9, 2-3 SAA","8-8, 2-3 SAA",01/22/16,Lose,201,No Location Recorded,9:40 p.m.,18:25,,3,2,"TURNOVER  by BUTTS,KEYSHAWN",-1,1,,,1,1,1.0,1.0,,,1,0,1.0,,38,2305
16,Oglethorpe,Rhodes,66-63,66,63,"7-9, 2-3 SAA","8-8, 2-3 SAA",01/22/16,Lose,201,No Location Recorded,9:40 p.m.,18:24,"STEAL  by WARDLAW,CHASE",3,2,,-1,1,,,1,1,1.0,1.0,,,1,0,1.0,,38,2304
16,Oglethorpe,Rhodes,66-63,66,63,"7-9, 2-3 SAA","8-8, 2-3 SAA",01/22/16,Lose,201,No Location Recorded,9:40 p.m.,18:19,"GOOD LAYUP by PERRY,WILL(fastbreak)(in the paint)",5,2,,-3,1,layup,good,2,1,1.0,1.0,,,1,0,1.0,,38,2299
16,Oglethorpe,Rhodes,66-63,66,63,"7-9, 2-3 SAA","8-8, 2-3 SAA",01/22/16,Lose,201,No Location Recorded,9:40 p.m.,18:19,"ASSIST  by INUNGU,TOM",5,2,,-3,1,,,2,1,1.0,1.0,,,1,0,1.0,,38,2299
