game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,19:50,,0,0,"TURNOVER  by ALLISON,ZACH",0,1,,,0,0,,,,,0,0,,,39,2390
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,19:50,"STEAL  by BERRY,BRYCE",0,0,,0,1,,,0,0,,,,,0,0,,,39,2390
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,19:42,"TURNOVER  by BERRY,BRYCE",0,0,,0,1,,,0,0,,,,,0,0,,,39,2382
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,19:42,,0,0,"STEAL  by DENBESTEN,COLE",0,1,,,0,0,,,,,0,0,,,39,2382
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,19:19,,0,0,"MISS JUMPER by SPENCE,BEN",0,1,,,0,0,,,jumper,miss,1,0,0.0,,39,2359
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,19:19,"BLOCK  by GIROUX,PRESTON",0,0,,0,1,,,0,0,,,,,1,0,0.0,,39,2359
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,19:19,"REBOUND DEF by WEATHERFORD,MITCH",0,0,,0,1,,,0,0,,,,,1,0,0.0,,39,2359
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,18:53,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",2,0,,-2,1,jumper,good,1,0,1.0,,,,1,0,0.0,,38,2333
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,18:30,,2,2,"GOOD JUMPER by SPENCE,BEN",0,1,,,1,0,1.0,,jumper,good,2,0,0.5,,38,2310
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,18:17,"MISS 3PTR by DARST,DANIEL",2,2,,0,1,3ptr,miss,2,1,0.5,0.0,,,2,0,0.5,,38,2297
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,18:17,,2,2,"REBOUND DEF by GONDA,MATT",0,1,,,2,1,0.5,0.0,,,2,0,0.5,,38,2297
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,17:57,,2,2,"TURNOVER  by SPENCE,BEN",0,1,,,2,1,0.5,0.0,,,2,0,0.5,,37,2277
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,17:57,"STEAL  by JAMES,MAC",2,2,,0,1,,,2,1,0.5,0.0,,,2,0,0.5,,37,2277
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,17:51,"GOOD LAYUP by DARST,DANIEL(fastbreak)(in the paint)",4,2,,-2,1,layup,good,3,1,0.667,0.0,,,2,0,0.5,,37,2271
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,17:51,"ASSIST  by JAMES,MAC",4,2,,-2,1,,,3,1,0.667,0.0,,,2,0,0.5,,37,2271
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,17:51,,4,2,"FOUL  by SPENCE,BEN",-2,1,,,3,1,0.667,0.0,foul,,2,0,0.5,,37,2271
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,17:51,,4,2,"SUB OUT by STEWART,CHRISTIAN",-2,1,,,3,1,0.667,0.0,,,2,0,0.5,,37,2271
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,17:51,,4,2,"SUB IN by WALDRUM,AIDAN",-2,1,,,3,1,0.667,0.0,,,2,0,0.5,,37,2271
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,17:51,"GOOD FT by DARST,DANIEL(fastbreak)",5,2,,-3,1,ft,good,4,1,0.75,0.0,,,2,0,0.5,,37,2271
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,17:48,,5,5,"GOOD 3PTR by DENBESTEN,COLE",0,1,,,4,1,0.75,0.0,3ptr,good,3,1,0.667,1.0,37,2268
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,17:48,,5,5,"ASSIST  by ALLISON,ZACH",0,1,,,4,1,0.75,0.0,,,3,1,0.667,1.0,37,2268
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,17:33,"MISS JUMPER by JAMES,MAC",5,5,,0,1,jumper,miss,5,1,0.6,0.0,,,3,1,0.667,1.0,37,2253
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,17:33,,5,5,"REBOUND DEF by WALDRUM,AIDAN",0,1,,,5,1,0.6,0.0,,,3,1,0.667,1.0,37,2253
23,Rhodes,Birmingham-So.,66-71,66,71,No record reported,No record reported,02/08/19,Win,302,No Location Recorded,8:00 PM,17:18,,5,8,"GOOD 3PTR by DENBESTEN,COLE",3,1,,,5,1,0.6,0.0,3ptr,good,4,2,0.75,1.0,37,2238
