game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,19:49,"MISS 3PTR by ROLAND,DEVIN",0,0,,0,1,3ptr,miss,1,1,0.0,0.0,,,0,0,,,39,2389
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,19:49,,0,0,"REBOUND DEF by BERRY,BRYCE",0,1,,,1,1,0.0,0.0,,,0,0,,,39,2389
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,19:32,,0,0,"MISS LAYUP by DARST,DANIEL",0,1,,,1,1,0.0,0.0,layup,miss,1,0,0.0,,39,2372
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,19:32,,0,0,"REBOUND OFF by DARST,DANIEL",0,1,,,1,1,0.0,0.0,,,1,0,0.0,,39,2372
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,19:16,,0,2,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",2,1,,,1,1,0.0,0.0,layup,good,2,0,0.5,,39,2356
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,19:16,,0,2,"ASSIST  by BERRY,BRYCE",2,1,,,1,1,0.0,0.0,,,2,0,0.5,,39,2356
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,19:07,,0,2,"FOUL  by WEATHERFORD,MITCH",2,1,,,1,1,0.0,0.0,foul,,2,0,0.5,,39,2347
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,18:56,"GOOD 3PTR by HOLLAND,MICHAEL",3,2,,-1,1,3ptr,good,2,2,0.5,0.5,,,2,0,0.5,,38,2336
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,18:56,"ASSIST  by MERCADEL,JUSTICE",3,2,,-1,1,,,2,2,0.5,0.5,,,2,0,0.5,,38,2336
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,18:49,,3,2,"TURNOVER  by DARST,DANIEL",-1,1,,,2,2,0.5,0.5,,,2,0,0.5,,38,2329
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,18:49,"STEAL  by MERCADEL,JUSTICE",3,2,,-1,1,,,2,2,0.5,0.5,,,2,0,0.5,,38,2329
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,18:46,"TURNOVER  by MERCADEL,JUSTICE",3,2,,-1,1,,,2,2,0.5,0.5,,,2,0,0.5,,38,2326
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,18:39,,3,2,"MISS 3PTR by JAMES,MAC",-1,1,,,2,2,0.5,0.5,3ptr,miss,3,1,0.333,0.0,38,2319
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,18:39,"REBOUND DEF by HOGAN,KAM",3,2,,-1,1,,,2,2,0.5,0.5,,,3,1,0.333,0.0,38,2319
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,18:29,"MISS 3PTR by HOLLAND,MICHAEL",3,2,,-1,1,3ptr,miss,3,3,0.333,0.333,,,3,1,0.333,0.0,38,2309
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,18:29,,3,2,"REBOUND DEF by GIROUX,PRESTON",-1,1,,,3,3,0.333,0.333,,,3,1,0.333,0.0,38,2309
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,18:21,,3,2,"MISS LAYUP by WEATHERFORD,MITCH",-1,1,,,3,3,0.333,0.333,layup,miss,4,1,0.25,0.0,38,2301
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,18:21,"REBOUND DEF by MERCADEL,JUSTICE",3,2,,-1,1,,,3,3,0.333,0.333,,,4,1,0.25,0.0,38,2301
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,18:15,"FOUL  by HOGAN,KAM",3,2,,-1,1,foul,,3,3,0.333,0.333,,,4,1,0.25,0.0,38,2295
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,18:15,"TURNOVER  by HOGAN,KAM",3,2,,-1,1,,,3,3,0.333,0.333,,,4,1,0.25,0.0,38,2295
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,17:58,,3,5,"GOOD 3PTR by BERRY,BRYCE",2,1,,,3,3,0.333,0.333,3ptr,good,5,2,0.4,0.5,37,2278
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,17:58,,3,5,"ASSIST  by WEATHERFORD,MITCH",2,1,,,3,3,0.333,0.333,,,5,2,0.4,0.5,37,2278
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,17:33,,3,5,"FOUL  by DARST,DANIEL",2,1,,,3,3,0.333,0.333,foul,,5,2,0.4,0.5,37,2253
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,17:29,"MISS LAYUP by HOLLAND,MICHAEL",3,5,,2,1,layup,miss,4,3,0.25,0.333,,,5,2,0.4,0.5,37,2249
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,17:29,"REBOUND OFF by FEIDER,JP",3,5,,2,1,,,4,3,0.25,0.333,,,5,2,0.4,0.5,37,2249
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,17:24,"MISS LAYUP by FEIDER,JP",3,5,,2,1,layup,miss,5,3,0.2,0.333,,,5,2,0.4,0.5,37,2244
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,17:24,"REBOUND OFF by ROLAND,DEVIN",3,5,,2,1,,,5,3,0.2,0.333,,,5,2,0.4,0.5,37,2244
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,17:19,"GOOD LAYUP by ROLAND,DEVIN(in the paint)",5,5,,0,1,layup,good,6,3,0.333,0.333,,,5,2,0.4,0.5,37,2239
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,17:07,,5,7,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",2,1,,,6,3,0.333,0.333,layup,good,6,2,0.5,0.5,37,2227
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,17:07,,5,7,"ASSIST  by JAMES,MAC",2,1,,,6,3,0.333,0.333,,,6,2,0.5,0.5,37,2227
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,16:54,"TURNOVER  by HOLLAND,MICHAEL",5,7,,2,1,,,6,3,0.333,0.333,,,6,2,0.5,0.5,36,2214
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,16:54,,5,7,"STEAL  by BERRY,BRYCE",2,1,,,6,3,0.333,0.333,,,6,2,0.5,0.5,36,2214
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,16:38,,5,9,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",4,1,,,6,3,0.333,0.333,jumper,good,7,2,0.571,0.5,36,2198
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,16:29,"MISS JUMPER by ROLAND,DEVIN",5,9,,4,1,jumper,miss,7,3,0.286,0.333,,,7,2,0.571,0.5,36,2189
2,Austin,Rhodes,60-97,60,97,1-1,2-0,11/11/18,Win,275,No Location Recorded,1:00 PM,16:29,REBOUND OFF by TEAM,5,9,,4,1,,,7,3,0.286,0.333,,,7,2,0.571,0.5,36,2189
