GameID,VisitorName,HomeName,VisitorWinPercent,HomeWinPercent,Outcome,Away Team Score,Home Team Score,Point Differential,Period,Home Shooting PCT,Home 3PTRs PCT,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Secs,Seconds Elapsed,Play
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,0,0,0,1,0.0,0.0,0.0,0.0,2385,15,"MISS 3PTR by HATCHER,JON"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,0,0,0,1,0.0,0.0,0.0,0.0,2385,15,"REBOUND OFF by UNDERWOOD,DIMITRIUS"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,0,0,0,1,0.0,0.0,0.0,0.0,2379,21,"TURNOVER  by BANKS,CALEB"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,0,0,0,1,0.0,0.0,0.0,0.0,2377,23,"STEAL  by DARST,DANIEL"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,0,0,0,1,0.0,0.0,0.0,0.0,2369,31,"MISS JUMPER by BERRY,BRYCE"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,0,0,0,1,0.0,0.0,0.0,0.0,2369,31,REBOUND DEF by TEAM
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,0,0,0,1,0.0,0.0,0.0,0.0,2363,37,"MISS JUMPER by PRUITT,KELDEN"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,0,0,0,1,0.0,0.0,0.0,0.0,2363,37,"REBOUND OFF by HATCHER,JON"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,2,0,-2,1,0.333,0.0,0.25,0.0,2360,40,"GOOD LAYUP by HATCHER,JON(in the paint)"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,2,2,0,1,0.333,0.0,0.4,0.0,2336,64,"GOOD LAYUP by DARST,DANIEL(in the paint)"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,2,2,0,1,0.25,0.0,0.333,0.0,2316,84,"MISS JUMPER by HATCHER,JON"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,2,2,0,1,0.25,0.0,0.333,0.0,2316,84,"REBOUND OFF by PRUITT,KELDEN"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,2,2,0,1,0.2,0.0,0.286,0.0,2309,91,"MISS JUMPER by PRUITT,KELDEN"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,2,2,0,1,0.2,0.0,0.286,0.0,2309,91,"REBOUND OFF by PRUITT,KELDEN"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,4,2,-2,1,0.333,0.0,0.375,0.0,2308,92,"GOOD JUMPER by PRUITT,KELDEN(in the paint)"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,4,2,-2,1,0.333,0.0,0.333,0.0,2295,105,"MISS JUMPER by BERRY,BRYCE"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,4,2,-2,1,0.333,0.0,0.333,0.0,2295,105,"REBOUND DEF by UNDERWOOD,DIMITRIUS"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,6,2,-4,1,0.429,0.0,0.4,0.0,2289,111,"GOOD LAYUP by BANKS,CALEB(fastbreak)(in the paint)"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,6,2,-4,1,0.429,0.0,0.4,0.0,2289,111,"ASSIST  by UNDERWOOD,DIMITRIUS"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,6,2,-4,1,0.429,0.0,0.4,0.0,2287,113,TIMEOUT 30SEC by TEAM
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,6,2,-4,1,0.429,0.0,0.4,0.0,2287,113,"SUB IN by NESTLEHUTT,JAKE"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,6,2,-4,1,0.429,0.0,0.4,0.0,2287,113,"SUB IN by WEATHERFORD,MITCH"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,6,2,-4,1,0.429,0.0,0.4,0.0,2287,113,"SUB IN by SAMSON,VAUGHN"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,6,2,-4,1,0.429,0.0,0.4,0.0,2287,113,"SUB IN by GIROUX,PRESTON"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,6,2,-4,1,0.429,0.0,0.4,0.0,2287,113,"SUB IN by GALVIN,OWEN"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,6,2,-4,1,0.429,0.0,0.4,0.0,2287,113,"SUB OUT by GRUBBS,COBY"
17_12_29_6_10,UT-Dallas,Rhodes,0.7,0.556,Lose,6,2,-4,1,0.429,0.0,0.4,0.0,2287,113,"SUB OUT by BERRY,BRYCE"
